study_id,id,title,authors,year,doi,arxiv_id,relevance_score,pdf_status,download_url,source_db,batch
P237,P01_0678,"Helpful, harmless, honest? Sociotechnical limits of AI alignment and safety through Reinforcement Learning from Human Feedback","Dahlgren Lindström, A.; Methnani, L.; Krause, L.; Ericson, P.; de Rituerto de Troya, Í.M.; Coelho Mollo, D.; Dobbe, R.",2025,10.1007/s10676-025-09837-2,,5,downloaded,https://doi.org/10.1007/s10676-025-09837-2,,B1-doi-rel5-4
P249,P01_0696,From Human Mind to Artificial Intelligence: Advancing AI Value Alignment Through Psychological Theories,"Jin, S.; Liu, C.",2025,10.16719/j.cnki.1671-6981.20250402,,5,downloaded,https://doi.org/10.16719/j.cnki.1671-6981.20250402,,B1-doi-rel5-4
P276,P01_0744,METAETHICAL FOUNDATIONS OF ARTIFICIAL INTELLIGENCE ALIGNMENT METHODOLOGICAL APPROACHES AND THEIR LIMITATIONS,"Snetkov, I.",2025,10.17323/2587-8719-2025-3-277-302,,5,downloaded,https://doi.org/10.17323/2587-8719-2025-3-277-302,,B1-doi-rel5-4
P279,P01_0750,"Reward Hacking in Reinforcement Learning and RLHF: A Multidisciplinary Examination of Vulnerabilities, Mitigation Strategies, and Alignment Challenges","Hu, T.; Zhu, W.; Yan, Y.",2025,10.1109/ICSC65596.2025.11140447,,5,downloaded,https://doi.org/10.1109/ICSC65596.2025.11140447,,B1-doi-rel5-4
P305,P01_0807,Counter-productivity and suspicion: two arguments against talking about the AGI control problem,"Stenseke, J.",2025,10.1007/s11098-025-02379-9,,5,downloaded,https://doi.org/10.1007/s11098-025-02379-9,,B1-doi-rel5-4
P309,P01_0812,Normative conflicts and shallow AI alignment,"Millière, R.",2025,10.1007/s11098-025-02347-3,,5,downloaded,https://doi.org/10.1007/s11098-025-02347-3,,B1-doi-rel5-4
P310,P01_0815,Value-aligned but misguided: a dilemma in AI and AGI decision making,"Song, Z.",2025,10.1007/s11229-025-05232-y,,5,downloaded,https://doi.org/10.1007/s11229-025-05232-y,,B1-doi-rel5-4
P334,P01_0855,IWPO: Sample Importance Weight-Based Human Preference Optimization for Large Language Models,"Ma, T.; Luo, X.; Yuan, Y.",2025,10.1109/TASLPRO.2025.3615458,,5,downloaded,https://doi.org/10.1109/TASLPRO.2025.3615458,,B1-doi-rel5-4
P342,P01_0872,Misalignment or misuse? The AGI alignment tradeoff,"Hellrigel-Holderbaum, M.; Dung, L.",2025,10.1007/s11098-025-02403-y,,5,downloaded,https://doi.org/10.1007/s11098-025-02403-y,,B1-doi-rel5-4
P350,P01_0887,Existentialist risk and value misalignment,"Tubert, A.; Tiehen, J.",2025,10.1007/s11098-024-02142-6,,5,downloaded,https://doi.org/10.1007/s11098-024-02142-6,,B1-doi-rel5-4
P352,P01_0890,Adversarial Preference Learning for Robust LLM Alignment,"Wang, Y.; Wang, P.; Xi, C.; Tang, B.; Zhu, J.; Wei, W.; Chen, C.; Yang, C.; Zhang, J.; Lu, C.; Niu, Y.; Mao, K.; Li, Z.; Xiong, F.; Hu, J.; Yang, M.",2025,10.18653/v1/2025.findings-acl.1126,,5,downloaded,https://doi.org/10.18653/v1/2025.findings-acl.1126,,B1-doi-rel5-4
P372,P01_0932,Designing AI Systems with Value Alignment Mechanisms,"Sribhashyam, A.S.; Gore, S.; Sharma, A.; Jadhav, B.; Suriya, M.; Kumar, G.R.",2025,10.1109/CINS67018.2025.11412115,,5,downloaded,https://doi.org/10.1109/CINS67018.2025.11412115,,B1-doi-rel5-4
P375,P01_0937,AI alignment is all your need for future drug discovery,"Li, C.",2025,10.3389/frai.2025.1668794,,5,downloaded,https://doi.org/10.3389/frai.2025.1668794,,B1-doi-rel5-4
P382,P01_0952,A timing problem for instrumental convergence,"Southan, R.; Ward, H.; Semler, J.",2025,10.1007/s11098-025-02370-4,,5,downloaded,https://doi.org/10.1007/s11098-025-02370-4,,B1-doi-rel5-4
P388,P01_0965,Focus-N-Fix: Region-Aware Fine-Tuning for Text-to-Image Generation,"Xing, X.; Saha, A.; He, J.; Hao, S.; Vicol, P.; Ryu, M.; Li, G.; Singla, S.; Young, S.; Li, Y.; Yang, F.; Ramachandran, D.",2025,10.1109/CVPR52734.2025.01723,,5,downloaded,https://doi.org/10.1109/CVPR52734.2025.01723,,B1-doi-rel5-4
P399,P01_0981,Personalized Constitutionally-Aligned Agentic Superego: Secure AI Behavior Aligned to Diverse Human Values,"Watson, N.; Amer, A.; Harris, E.; Ravindra, P.; Zhang, S.",2025,10.3390/info16080651,,5,downloaded,https://doi.org/10.3390/info16080651,,B1-doi-rel5-4
P410,P01_1008,A Phase-Based Ethical Alignment Framework for Mitigating In-Context Scheming Behaviour in Superintelligent Systems,"Nagaraju, C.; Prateek, J.H.",2025,10.1109/ICECIT67774.2025.11450986,,5,downloaded,https://doi.org/10.1109/ICECIT67774.2025.11450986,,B1-doi-rel5-4
P420,P01_1026,AI Alignment Versus AI Ethical Treatment: 10 Challenges,"Bradley, A.; Saad, B.",2025,10.1111/phib.12380,,5,downloaded,https://doi.org/10.1111/phib.12380,,B1-doi-rel5-4
P426,P01_1040,Artificial Intelligence: Approaches to Safety,"D'Alessandro, W.; Kirk-Giannini, C.D.",2025,10.1111/phc3.70039,,5,downloaded,https://doi.org/10.1111/phc3.70039,,B1-doi-rel5-4
P442,P01_1077,Removing Prompt-template Bias in Reinforcement Learning from Human Feedback,"Wang, C.; Shi, H.; Tian, L.; An, B.; Yan, S.",2025,10.18653/v1/2025.findings-acl.1237,,5,downloaded,https://doi.org/10.18653/v1/2025.findings-acl.1237,,B1-doi-rel5-4
P491,P01_1193,Global solutions vs. Local solutions for the ai safety problem,"Turchin, A.; Denkenberger, D.; Green, B.P.",2019,10.3390/bdcc3010016,,5,downloaded,https://doi.org/10.3390/bdcc3010016,,B1-doi-rel5-4
P502,P01_1223,Interpretable Preferences via Multi-Objective Reward Modeling and Mixture-of-Experts,"Wang, H.; Xiong, W.; Xie, T.; Zhao, H.; Zhang, T.",2024,10.18653/v1/2024.findings-emnlp.620,,5,downloaded,https://doi.org/10.18653/v1/2024.findings-emnlp.620,,B1-doi-rel5-4
P506,P01_1232,Alleviating Action Hallucination for LLM-based Embodied Agents via Inner and Outer Alignment,"Li, K.; Zheng, Q.; Zhan, Y.; Zhang, C.; Zhang, T.; Lin, X.; Qi, C.; Li, L.; Tao, D.",2024,10.1109/PRAI62207.2024.10826957,,5,downloaded,https://doi.org/10.1109/PRAI62207.2024.10826957,,B1-doi-rel5-4
P518,P01_1257,Taking into Account Sentient Non-Humans in AI Ambitious Value Learning: Sentientist Coherent Extrapolated Volition,"Moret, A.R.",2023,10.1142/S2705078523500042,,5,downloaded,https://doi.org/10.1142/S2705078523500042,,B1-doi-rel5-4
P520,P01_1263,Hybrid strategies towards safe “self-aware” superintelligent systems,"Aliman, N.-M.; Kester, L.",2018,10.1007/978-3-319-97676-1_1,,5,paywalled-confirmed,https://doi.org/10.1007/978-3-319-97676-1_1,,X-inaccessible-or-paywalled
P523,P01_1271,Current cases of AI misalignment and their implications for future risks,"Dung, L.",2023,10.1007/s11229-023-04367-0,,5,downloaded,https://doi.org/10.1007/s11229-023-04367-0,,B1-doi-rel5-4
P553,P01_1324,Friendly Superintelligent AI: All You Need Is Love,"Prinzing, M.",2018,10.1007/978-3-319-96448-5_31,,5,downloaded,https://doi.org/10.1007/978-3-319-96448-5_31,,B1-doi-rel5-4
P573,P01_1370,Orthogonality-based disentanglement of responsibilities for ethical intelligent systems,"Aliman, N.-M.; Kester, L.; Werkhoven, P.; Yampolskiy, R.",2019,10.1007/978-3-030-27005-6_3,,5,downloaded,https://doi.org/10.1007/978-3-030-27005-6_3,,B1-doi-rel5-4
P583,P01_1386,Multiparty dynamics and failure modes for machine learning and artificial intelligence,"Manheim, D.",2019,10.3390/bdcc3020021,,5,downloaded,https://doi.org/10.3390/bdcc3020021,,B1-doi-rel5-4
P624,P01_1583,Design principles for integrated AI alignment,"Reis, B; La Cava, WG",2026,10.1016/j.patter.2026.101587,,5,downloaded,https://doi.org/10.1016/j.patter.2026.101587,,B1-doi-rel5-4
P004,P01_0036,The necessary roadblock to artificial general intelligence: corrigibility,Yat Long Lo; Chung Yu Woo; Ka Lok Ng,2019,10.1145/3362077.3362089,,4,downloaded,https://doi.org/10.1145/3362077.3362089,,B1-doi-rel5-4
P007,P01_0113,"Relative Principals, Pluralistic Alignment, and the Structural Value Alignment Problem",Travis LaCroix,2026,10.1145/3805689.3812420,,4,downloaded,https://doi.org/10.1145/3805689.3812420,,B1-doi-rel5-4
P009,P01_0162,Incomplete Contracting and AI Alignment,Dylan Hadfield-Menell; Gillian K. Hadfield,2019,10.1145/3306618.3314250,,4,downloaded,https://doi.org/10.1145/3306618.3314250,,B1-doi-rel5-4
P013,P01_0185,Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training,"Bao, R.; Yu, D.; Fan, K.; Liao, M.",2025,10.18653/v1/2025.acl-long.865,,4,downloaded,https://doi.org/10.18653/v1/2025.acl-long.865,,B1-doi-rel5-4
P016,P01_0189,Belief-Driven Value Alignment for Human-Robot Collaboration,"Li, S.; Shi, B.; Xia, Y.; Su, X.",2026,10.1609/aaai.v40i21.38809,,4,downloaded,https://doi.org/10.1609/aaai.v40i21.38809,,B1-doi-rel5-4
P022,P01_0205,Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning,"Holgado-Sánchez, A.; Vamplew, P.; Dazeley, R.; Ossowski, S.; Billhardt, H.",2026,10.65109/NLVD8864,,4,downloaded,https://doi.org/10.65109/NLVD8864,,B1-doi-rel5-4
P026,P01_0214,Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation,"Hu, B.; Pang, J.",2026,10.1145/3796263.3796290,,4,downloaded,https://doi.org/10.1145/3796263.3796290,,B1-doi-rel5-4
P034,P01_0224,Towards a societal AI alignment benchmark for evaluating human–machine value convergence,"Bojic, L.; Seychell, D.; Cabarkapa, M.",2026,10.1057/s41599-026-07255-3,,4,downloaded,https://doi.org/10.1057/s41599-026-07255-3,,B1-doi-rel5-4
P036,P01_0231,Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework,"Cheng, Y.; Zhou, X.; Zhao, H.; Liang, G.; Wen, F.; Zhao, J.",2026,10.1016/j.energy.2026.140027,,4,downloaded,https://doi.org/10.1016/j.energy.2026.140027,,B1-doi-rel5-4
P041,P01_0245,Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment,"Song, J.; Cui, S.; Chen, D.; Li, Z.; Huang, D.; Xu, N.",2026,10.1109/ISOIRS70157.2026.11545282,,4,downloaded,https://doi.org/10.1109/ISOIRS70157.2026.11545282,,B1-doi-rel5-4
P044,P01_0251,Parallel Diffusion Solver via Residual Dirichlet Policy Optimization,"Wang, R.; Li, Z.; Zhu, B.; Yuan, L.; Zhang, H.; Yang, X.; Chang, X.; Zhang, C.",2026,10.1109/TPAMI.2026.3692227,,4,downloaded,https://doi.org/10.1109/TPAMI.2026.3692227,,B1-doi-rel5-4
P049,P01_0261,FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making,"Pan, W.; Yu, Z.; Wu, Y.; Liang, X.; Jin, Z.; Fu, Q.; Shang, P.; Lin, B.; He, X.; Ye, J.",2026,10.1609/aaai.v40i21.38819,,4,downloaded,https://doi.org/10.1609/aaai.v40i21.38819,,B1-doi-rel5-4
P050,P01_0262,Reward Hacking Mitigation using Verifiable Composite Rewards,"Bin Tarek, M.F.; Beheshti, R.",2025,10.1145/3765612.3767230,,4,downloaded,https://doi.org/10.1145/3765612.3767230,,B1-doi-rel5-4
P053,P01_0265,"A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning","Liu, T.; Ye, L.; Yan, W.",2026,10.1016/j.caeai.2026.100565,,4,downloaded,https://doi.org/10.1016/j.caeai.2026.100565,,B1-doi-rel5-4
P056,P01_0273,Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning,"Wei, W.; Liu, Y.-A.; Zhang, R.; Guo, J.; Su, L.; Wang, S.; Yin, D.; de Rijke, M.; Cheng, X.",2026,10.1609/aaai.v40i40.40675,,4,downloaded,https://doi.org/10.1609/aaai.v40i40.40675,,B1-doi-rel5-4
P058,P01_0275,Exploring ‘Value Alignment’: A Genealogy and Three Conceptions,"López-Castro, D.",2026,10.1007/978-3-032-13063-1_11,,4,paywalled-confirmed,https://doi.org/10.1007/978-3-032-13063-1_11,,X-inaccessible-or-paywalled
P080,P01_0327,A data-driven generative strategy to avoid reward hacking in multi-objective molecular design,"Yoshizawa, T.; Ishida, S.; Sato, T.; Ohta, M.; Honma, T.; Terayama, K.",2025,10.1038/s41467-025-57582-3,,4,downloaded,https://doi.org/10.1038/s41467-025-57582-3,,B1-doi-rel5-4
P084,P01_0338,Multi-Metric Preference Alignment for Generative Speech Restoration,"Zhang, J.; Zhang, X.; Yang, J.; Wang, Y.; Fan, F.; Wu, Z.",2026,10.1609/aaai.v40i41.40775,,4,downloaded,https://doi.org/10.1609/aaai.v40i41.40775,,B1-doi-rel5-4
P092,P01_0357,Multi-objective reinforcement learning for provably incentivising alignment with value systems,"Rodriguez-Soto, M.; Rădulescu, R.; Bistaffa, F.; Ricart, O.; Mayoral-Macau, A.; Lopez-Sanchez, M.; Rodriguez-Aguilar, J.A.; Nowé, A.",2026,10.1016/j.artint.2025.104460,,4,downloaded,https://doi.org/10.1016/j.artint.2025.104460,,B1-doi-rel5-4
P095,P01_0367,Toward Complementary Intelligence: Integrating Cognitive and Machine AI,"Gonzalez, C.; Malloy, T.",2026,10.1177/09637214251407571,,4,downloaded,https://doi.org/10.1177/09637214251407571,,B1-doi-rel5-4
P097,P01_0373,Few-shot Fine-grained Image Classification with Interpretable Prompt Learning through Distribution Alignment,"Guo, D.; Zhao, H.; Rossi, R.; Kim, S.; Lipka, N.; Yu, T.; Li, S.",2025,10.1145/3716553.3750817,,4,downloaded,https://doi.org/10.1145/3716553.3750817,,B1-doi-rel5-4
P098,P01_0377,Moral disagreement and the limits of AI value alignment: a dual challenge of epistemic justification and political legitimacy,"Schuster, N.; Kilov, D.",2025,10.1007/s00146-025-02427-2,,4,downloaded,https://doi.org/10.1007/s00146-025-02427-2,,B1-doi-rel5-4
P100,P01_0384,RewardHackingAgents: Benchmarking Evaluation Integrity for LLM ML-Engineering Agents,"Atinafu, Y.; Cohen, R.",2026,10.1109/ICDEW71238.2026.00009,,4,downloaded,https://doi.org/10.1109/ICDEW71238.2026.00009,,B1-doi-rel5-4
P101,P01_0385,Values in science and AI alignment research,"Dung, L.",2026,10.1080/0020174X.2026.2615773,,4,downloaded,https://doi.org/10.1080/0020174X.2026.2615773,,B1-doi-rel5-4
P110,P01_0405,A Cognitively Plausible Neural-Symbolic Model for Syntactic Disambiguation in Minimalist Grammar,"Leyva-Capote, C.A.; Alers-Valentín, H.",2026,10.5220/0014481700004052,,4,downloaded,https://doi.org/10.5220/0014481700004052,,B1-doi-rel5-4
P111,P01_0407,Preventing Process Reward Model Hacking When Training Large Language Models on Verifiable Rewards,"Forbes, G.C.; Villalobos-Arias, L.; Wang, J.; Jhala, A.; Roberts, D.L.",2026,10.65109/BWFN6920,,4,downloaded,https://doi.org/10.65109/BWFN6920,,B1-doi-rel5-4
P112,P01_0409,"The Ultimate Consequence: Why Humanity, Not AI, Ends Itself – A Reply to Lavazza and Vilaça","Yamada, K.",2026,10.1007/s13347-026-01137-x,,4,downloaded,https://doi.org/10.1007/s13347-026-01137-x,,B1-doi-rel5-4
P118,P01_0421,Coadaptive Value Alignment Blue Sky Ideas Track,"Tsoi, N.; Hsiung, E.; Yamazaki, M.; Chaudhuri, S.; Stone, P.; Biswas, J.",2026,10.65109/NAIK4475,,4,downloaded,https://doi.org/10.65109/NAIK4475,,B1-doi-rel5-4
P124,P01_0437,Winning at All Cost: A Small Environment for Eliciting Specification Gaming Behaviors in Large Language Models,"Malmqvist, L.",2026,10.1007/978-3-032-01823-6_4,,4,downloaded,https://doi.org/10.1007/978-3-032-01823-6_4,,B1-doi-rel5-4
P128,P01_0443,Roadmap on Incentive Compatibility for AI Alignment and Governance in Sociotechnical Systems,"Zhang, Z.; Bai, F.; Wang, M.; Ye, H.; Ma, C.; Yang, Y.",2026,10.1007/978-3-032-00800-8_33,,4,downloaded,https://doi.org/10.1007/978-3-032-00800-8_33,,B1-doi-rel5-4
P129,P01_0445,Theory of Mind as a Core Component of Artificial General Intelligence,"Schneider, H.",2026,10.1007/978-3-032-00800-8_16,,4,paywalled-confirmed,https://doi.org/10.1007/978-3-032-00800-8_16,,X-inaccessible-or-paywalled
P130,P01_0446,"Agents, Alignment, and the Many Faces of Autonomy","Fischli, R.; Franklin, M.; Manzini, A.; Gabriel, I.",2026,10.1007/s11023-026-09786-9,,4,downloaded,https://doi.org/10.1007/s11023-026-09786-9,,B1-doi-rel5-4
P139,P01_0470,"Different Models, Different Values: Educational Preference Structures across Alignment Methodologies in Large Language Models","Autenrieth, D.",2026,10.5220/0014949500004021,,4,downloaded,https://doi.org/10.5220/0014949500004021,,B1-doi-rel5-4
P140,P01_0472,Four Settings and a Proposal for the Exploration of Value Alignment in AI,"Noriega, P.; Plaza, E.",2026,10.1007/978-3-032-13063-1_13,,4,downloaded,https://doi.org/10.1007/978-3-032-13063-1_13,,B1-doi-rel5-4
P142,P01_0476,Guiding artificial intelligence in public health and medicine with epidemiology: A lifecycle framework for mitigating AI misalignment,"Hassoon, A.; Lin, C.; Woo, H.Y.; Irimia, R.; Marsteller, J.A.; Li, A.; Banderia, A.; Leo, H.; Peng, X.; Rastall, D.; Dredze, M.",2025,10.1016/j.annepidem.2025.11.004,,4,downloaded,https://doi.org/10.1016/j.annepidem.2025.11.004,,B1-doi-rel5-4
P144,P01_0478,Differences in Alignment Behavior between Single-Agent and Multi-Agent LLM Systems: Implications for Human-AI Teaming,"Hermann, A.; Tomé-Moreira, C.; Werner, M.",2026,10.1007/978-3-032-30836-8_39,,4,paywalled-confirmed,https://doi.org/10.1007/978-3-032-30836-8_39,,X-inaccessible-or-paywalled
P150,P01_0490,"The Alignment Target Problem: Divergent Moral Judgments of Humans, AI Systems, and Their Designers","Chen, B.M.; Xie, X.",2026,10.1145/3805689.3812297,,4,downloaded,https://doi.org/10.1145/3805689.3812297,,B1-doi-rel5-4
P151,P01_0491,An Identity Based Agent Model for AI Value Alignment,"Sama, K.; Chhabra, J.; Malavalli, A.S.; Deshmukh, J.; Srinivasa, S.",2026,10.1007/978-3-032-07638-0_23,,4,downloaded,https://doi.org/10.1007/978-3-032-07638-0_23,,B1-doi-rel5-4
P153,P01_0499,Granularity paradox: how emotion taxonomies shape GPT-5’s affective cognition and human-AI alignment,"Zhang, F.; Chen, J.",2026,10.3389/fpsyg.2026.1786724,,4,downloaded,https://doi.org/10.3389/fpsyg.2026.1786724,,B1-doi-rel5-4
P157,P01_0506,Towards an Axiology of Intelligent Hybrid Systems,"Toboso-Martín, M.",2026,10.1007/978-3-032-13063-1_12,,4,downloaded,https://doi.org/10.1007/978-3-032-13063-1_12,,B1-doi-rel5-4
P163,P01_0518,HADA: Human-AI Agent Decision Alignment Architecture,"Pitkäranta, T.; Pitkäranta, L.",2026,10.1007/978-3-032-15632-7_5,,4,downloaded,https://doi.org/10.1007/978-3-032-15632-7_5,,B1-doi-rel5-4
P167,P01_0524,Scaling International Legal Workflows with Ordinis: A Neuro-Symbolic Framework for GenAI in High-Stakes Domains,"Ndikum, P.; Ndikum, S.",2026,10.1145/3769126.3769223,,4,downloaded,https://doi.org/10.1145/3769126.3769223,,B1-doi-rel5-4
P170,P01_0529,An Affective-Taxis Hypothesis for Alignment and Interpretability,"Sennesh, E.; Ramstead, M.",2026,10.1007/978-3-032-00800-8_17,,4,downloaded,https://doi.org/10.1007/978-3-032-00800-8_17,,B1-doi-rel5-4
P171,P01_0531,Do You Trust Me? Cognitive-Affective Signatures of Trustworthiness in Large Language Models,"Yeo, G.C.; Churina, S.; Jaidka, K.",2026,10.1145/3774904.3792925,,4,downloaded,https://doi.org/10.1145/3774904.3792925,,B1-doi-rel5-4
P172,P01_0535,Ethical Governance Frameworks for AGI in Cyber-Physical Systems,"Chatterjee, S.; Kumar, V.; Kakaraparthi, G.C.",2026,10.1109/SoutheastCon63549.2026.11476039,,4,downloaded,https://doi.org/10.1109/SoutheastCon63549.2026.11476039,,B1-doi-rel5-4
P176,P01_0550,What Would It Look Like to Align Humans with Ants?,"Conitzer, V.",2026,10.1002/9781394258840.ch17,,4,downloaded,https://doi.org/10.1002/9781394258840.ch17,,B1-doi-rel5-4
P178,P01_0552,Hybrid Explanation-Guided Learning for Transformer-Based Chest X-Ray Diagnosis,"Shu, S.Z.; Luo, H.; Poellinger, A.; Reyes, M.",2026,10.1007/978-3-032-17611-0_4,,4,downloaded,https://doi.org/10.1007/978-3-032-17611-0_4,,B1-doi-rel5-4
P179,P01_0557,Editable XAI: Toward Bidirectional Human-AI Alignment with Co-Editable Explanations of Interpretable Attributes,"Chen, H.; Bai, J.; Tian, F.; Lim, B.Y.",2026,10.1145/3772318.3791375,,4,downloaded,https://doi.org/10.1145/3772318.3791375,,B1-doi-rel5-4
P181,P01_0565,On the Artificial Aesthetic Education of an Architect,"Koh, I.",2026,10.1007/978-981-95-0760-3_17,,4,downloaded,https://doi.org/10.1007/978-981-95-0760-3_17,,B1-doi-rel5-4
P182,P01_0566,Domain-Guided Soft Actor-Critic for Network Slicing in Cell-Free Massive MIMO Systems,"Li, N.; Song, M.; Shan, H.; Ni, W.; Wang, Y.; Li, X.; Quek, T.Q.S.; Jamalipour, A.",2026,10.1109/TCOMM.2026.3712554,,4,downloaded,https://doi.org/10.1109/TCOMM.2026.3712554,,B1-doi-rel5-4
P184,P01_0571,A New Perspective for Alignment Research in Artificial Intelligence,"Jayaswal, B.; Bhardwaj, A.",2026,10.1063/5.0327662,,4,paywalled-confirmed,https://doi.org/10.1063/5.0327662,,X-inaccessible-or-paywalled
P187,P01_0578,Cooperative Multi-Agent Alignment via Boolean Task Algebras and Team Morality Chains,"Rosen, S.",2026,10.65109/SCKG1056,,4,downloaded,https://doi.org/10.65109/SCKG1056,,B1-doi-rel5-4
P190,P01_0586,"A Mathematical Formulation of AGI in the (C, U, V) Framework","He, D.; Fang, C.; Wang, Y.; Peng, Y.; Wang, Y.; Zhu, S.-C.",2026,10.1016/j.eng.2025.08.034,,4,downloaded,https://doi.org/10.1016/j.eng.2025.08.034,,B1-doi-rel5-4
P210,P01_0636,The Landscape of AI Alignment: A Comprehensive Review of Theories and Methods,"Li, X.; Jiang, Q.; Jiang, L.; Zhang, S.; Hu, S.",2026,10.1142/S021800142539001X,,4,paywalled-confirmed,https://doi.org/10.1142/S021800142539001X,,X-inaccessible-or-paywalled
P212,P01_0638,Hierarchical Reward Function Design for Autonomous Driving Based on Reinforcement Learning,"Li, Y.",2025,10.1145/3778450.3778525,,4,downloaded,https://doi.org/10.1145/3778450.3778525,,B1-doi-rel5-4
P221,P01_0649,Measuring and Enhancing Human Value Alignment in Zero-Shot Document-Level Claim Extraction,"Hao, Y.; Wu, D.",2026,10.1145/3774904.3792299,,4,downloaded,https://doi.org/10.1145/3774904.3792299,,B1-doi-rel5-4
