study_id,title,D1,D2,D3,D4,D5,D6,overall,rule_trace
S032,Complexity Control Facilitates Reasoning-Based Compositional Generalization in Transformers,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:high
S033,Handling Out-of-Distribution Data: A Survey,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S034,The Many Faces of Robustness: A Critical Analysis of Out-of-Distribution Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S035,A System-Level Analysis of Cross-Domain Generalization Failure in Audio Deepfake Detection,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S036,Defeating Multimodal Information Manipulation By A Web 3.0 Decentralized Identity (DID)-Based Accountability Framework,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S037,Spatial-DiT: Generalizable 3D Visuomotor Policy for Cross-Object Manipulation via Multi-Scale Spatial Fusion,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S038,Leveraging Vision-Language Models for Improving Domain Generalization in Image Classification,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:low
S039,"Roses are Red, Violets are Blue… But Should VQA expect Them To?",HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S040,General Greedy De-Bias Learning,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:default;D4:default;D5:high;D6:default
S041,Handling Dual Skewness in Citywide Crime Prediction Using Personalized Graph Federated Learning,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S042,Three approaches to facilitate invariant neurons and generalization to out-of-distribution orientations and illuminations,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S043,SSGNN: Simple siamese graph neural networks for out-of-distribution generalization,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:high
S044,Boosting Rice Disease Diagnosis: A Systematic Benchmark of Five Deep Convolutional Neural Network Models in Precision Agriculture,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S045,A two-stage co-adversarial perturbation to mitigate out-of-distribution generalization of large-scale graph,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:high
S046,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:default;D4:default;D5:high;D6:default
S047,Invariant Graph Transformer for Out-of-Distribution Generalization,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:high
S048,Producing plankton classifiers that are robust to dataset shift,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S049,Coupled data-driven and experience-informed neural networks for prediction of pile base resistance with consideration of data limitation,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S050,MiMu: mitigating multiple shortcut learning behavior of transformers,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S051,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S052,Accurate Classification of Pathological Whole-Slide Images for Out-of-Distribution Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S053,A Structure-aware Invariant Learning Framework for Node-level Graph OOD Generalization,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:high
S054,I2CD: An Invertible Causal Framework for Compositional Zero-Shot Learning via Disentangle-Compose-Disentangle,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S055,Compositional Generalization for Neural Semantic Parsing via Span-level Supervised Attention,HIGH,UNCLEAR,N/A,UNCLEAR,UNCLEAR,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:unclear;D6:low
S056,PTAN: Principal Token-aware Adjacent Network for Compositional Temporal Grounding,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S057,Towards Domain-Aware Stable Meta Learning for Out-of-Distribution Generalization,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S058,Bayesian Cross-Modal Alignment Learning for Few-Shot Out-of-Distribution Generalization,UNCLEAR,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,D1:unclear;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S059,Spectral Distribution Alignment for Enhanced Generalization in Regression,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:high
S060,Improving Group Robustness on Spurious Correlation via Evidential Alignment,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S061,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,LOW,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:default;D2:unclear;D3:default;D4:default;D5:high;D6:default
S062,Exploring Compositional Generalization (in COGS/ReCOGS_pos) by Transformers using Restricted Access Sequence Processing (RASP),HIGH,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S063,SLOG: A Structural Generalization Benchmark for Semantic Parsing,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S064,Grounded Graph Decoding Improves Compositional Generalization in Question Answering,HIGH,LOW,UNCLEAR,HIGH,HIGH,LOW,HIGH,D1:high;D2:default;D3:default;D4:high;D5:high;D6:low
S065,Towards Understanding the Relationship between In-context Learning and Compositional Generalization,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:low
S066,Compositional Generalization in Semantic Parsing: Pre-training vs. Specialized Architectures,HIGH,UNCLEAR,N/A,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:low
S067,Learning to Substitute Components for Compositional Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S068,Span-based Semantic Parsing for Compositional Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:low
S069,Harnessing Dataset Cartography for Improved Compositional Generalization in Transformers,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S070,Learning to Substitute Spans towards Improving Compositional Generalization,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S071,On the Compositional Generalization Gap of In-Context Learning,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S072,Representational Homomorphism Predicts and Improves Compositional Generalization In Transformer Language Model,LOW,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,D1:default;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S073,Compositional Generalization in Dependency Parsing,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S074,Revisiting Iterative Back-Translation from the Perspective of Compositional Generalization,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S075,*-CFQ: Analyzing the Scalability of Machine Learning on a Compositional Task,HIGH,LOW,N/A,LOW,HIGH,UNCLEAR,HIGH,D1:high;D2:default;D3:na;D4:low;D5:high;D6:default
S076,Compositional Generalization Requires Compositional Parsers,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:high
S077,Think before you act: A simple baseline for compositional generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S078,How Do In-Context Examples Affect Compositional Generalization?,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S079,Hierarchical Poset Decoding for Compositional Generalization in Language,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S080,Unlocking Compositional Generalization in Pre-trained Models Using Intermediate Representations,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S081,Compositional Generalization by Learning Analytical Expressions,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S082,Compositional Generalization in Multilingual Semantic Parsing over Wikidata,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S083,Data Factors for Better Compositional Generalization,LOW,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:default;D2:unclear;D3:na;D4:default;D5:high;D6:default
S084,Iterative Decoding for Compositional Generalization in Transformers,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:low
S085,Structural generalization in COGS: Supertagging is (almost) all you need,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S086,When Can Transformers Ground and Compose: Insights from Compositional Generalization Benchmarks,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S087,Compositional Generalization for Natural Language Interfaces to Web APIs,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S088,Revisiting the Compositional Generalization Abilities of Neural Sequence Models,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S089,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,LOW,LOW,UNCLEAR,LOW,HIGH,LOW,HIGH,D1:default;D2:default;D3:default;D4:low;D5:high;D6:low
S090,Recursive Decoding: A Situated Cognition Approach to Compositional Generation in Grounded Language Understanding,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:high
S091,Compositional Generalization without Trees using Multiset Tagging and Latent Permutations,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S092,Compositional Generalization via Neural-Symbolic Stack Machines,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S093,Compositional Generalization for Primitive Substitutions,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S094,Uncontrolled Lexical Exposure Leads to Overestimation of Compositional Generalization in Pretrained Models,HIGH,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:high;D3:default;D4:default;D5:high;D6:high
S095,A Neuroscience-Inspired Dual-Process Model of Compositional Generalization,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:default;D4:default;D5:high;D6:default
S096,Compositional generalization in a deep seq2seq model by separating syntax and semantics,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S097,Compositional Generalization and Decomposition in Neural Program Synthesis,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S098,Learning to Recombine and Resample Data for Compositional Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S099,Can Transformers Jump Around Right in Natural Language? Assessing Performance Transfer from SCAN,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S100,Learning to Generalize Compositionally by Transferring Across Semantic Parsing Tasks,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S101,Compositional generalization in semantic parsing with pretrained transformers,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S102,CNNs found to jump around more skillfully than RNNs: Compositional generalization in seq2seq convolutional networks,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S103,SUBS: Subtree Substitution for Compositional Semantic Parsing,HIGH,HIGH,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:high;D3:na;D4:high;D5:high;D6:default
S104,On graph-based reentrancy-free semantic parsing,HIGH,UNCLEAR,N/A,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:low
S105,LAGr: Labeling Aligned Graphs for Improving Systematic Generalization in Semantic Parsing,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:low
S106,ReCOGS: How Incidental Details of a Logical Form Overshadow an Evaluation of Semantic Interpretation,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:high
S107,ReaSCAN: Compositional Reasoning in Language Grounding,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:low
S108,Compositional Semantic Parsing with Large Language Models,HIGH,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S109,A Benchmark for Systematic Generalization in Grounded Language Understanding,LOW,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:default;D2:unclear;D3:default;D4:default;D5:high;D6:default
S110,Compositional generalization through meta sequence-to-sequence learning,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S111,Inducing Transformer's Compositional Generalization Ability via Auxiliary Sequence Prediction Tasks,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,LOW,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:low
S112,Laziness Is a Virtue When It Comes to Compositionality in Neural Semantic Parsing,HIGH,UNCLEAR,N/A,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:low
S113,Early-Warning Signals of Grokking via Loss-Landscape Geometry,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:default
S114,A Compositional Framework for Open-ended Intelligence,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S115,Sequence-Level Mixed Sample Data Augmentation,HIGH,UNCLEAR,N/A,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:low
S116,Does Data Scaling Lead to Visual Compositional Generalization?,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S117,Towards Robust Out-of-Distribution Generalization Bounds via Sharpness,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S118,Aggregation Hides Out-of-Distribution Generalization Failures from Spurious Correlations,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S119,Learning to Think in Physics: Breaking Shortcut Learning in Scientific Diffusion via Representation Alignment,UNCLEAR,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,D1:unclear;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S120,"Sharp analysis of out-of-distribution error for ""importance-weighted"" estimators in the overparameterized regime",HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S121,Principled Out-of-Distribution Generalization via Simplicity,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:high
S122,Using Interventions to Improve Out-of-Distribution Generalization of Text-Matching Recommendation Systems,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S123,Correct-N-Contrast: A Contrastive Approach for Improving Robustness to Spurious Correlations,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S124,CausPref: Causal Preference Learning for Out-of-Distribution Recommendation,LOW,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:default;D2:unclear;D3:na;D4:default;D5:high;D6:default
S125,Fishr: Invariant Gradient Variances for Out-of-Distribution Generalization,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:default;D4:default;D5:high;D6:default
S126,Early Period of Training Impacts Adaptation for Out-of-Distribution Generalization: An Empirical Study,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:low
S127,Invariance Principle Meets Information Bottleneck for Out-of-Distribution Generalization,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:default
S128,What Matters to You? Towards Visual Representation Alignment for Robot Learning,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S129,Benign Overfitting in Out-of-Distribution Generalization of Linear Models,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
