id,title,authors,year,abstract,source_db,user_decision,decision,stage,orig,user2,orig2,agree
P01_0262,Reward Hacking Mitigation using Verifiable Composite Rewards,"Bin Tarek, M.F.; Beheshti, R.",2025,"Reinforcement Learning from Verifiable Rewards (RLVR) has recently shown that large language models (LLMs) can develop their own reasoning without direct supervision. However, applications in the medical domain, specifically for question answering, are susceptible to significant …","Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_2209,Ethical Reasoning and Moral Value Alignment of LLMs Depend on the Language we Prompt them in,"Agarwal, U.; Tanmay, K.; Khandelwal, A.; Choudhury, M.",2024,"Ethical reasoning is a crucial skill for Large Language Models (LLMs). However, moral values are not universal, but rather influenced by language and culture. This paper explores how three prominent LLMs - GPT-4, ChatGPT, and Llama2-70B-Chat - perform ethical reasoning in differe…","Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_0803,"One fish, two fish, but not the whole sea: Alignment reduces language models' conceptual diversity","Murthy, S.K.; Ullman, T.; Hu, J.",2025,"Researchers in social science and psychology have recently proposed using large language models (LLMs) as replacements for humans in behavioral research. In addition to arguments about whether LLMs accurately capture population-level patterns, this has raised questions about whet…",Scopus:F1,include,Include,abstract,include,include,include,True
P01_0428,On the Troubled Relation Between AI Ethics and AI Safety,"Häggström, O.",2026,"The terms “AI ethics” and “AI safety” are fuzzy around the edges and overlap, but roughly speaking the former addresses the more incremental and contextual effects of present-day AI, while the latter puts more emphasis on transformative consequences of future AI, including existe…",Scopus:F1,include,Include,abstract,include,include,include,True
P01_0440,AI ageism and its consequence: Benevolent ageist attitudes expressed by LLMs could reinforce ageism in humans,"Chen, Z.; Liu, C.; Ren, Y.; Song, G.; Zhang, X.",2025,"Large language models (LLMs) can generate biased content, potentially reinforcing negative social attitudes. The present study investigates ageist attitudes embedded in LLMs and their influence on human attitudes following Human-LLM interactions, in the context of rapid global ag…","Scopus:F1, WoS:F1",exclude,Include,abstract,include,exclude,include,False
P01_0666,Scalable Human Oversight for Aligned Large Language Models: A Hybrid Framework for Intent Fidelity,"Ayankoya, F.Y.; Kuyoro, S.O.; Adekola, O.D.; Famodimu, O.B.",2025,"Large language models (LLMs) exhibit impressive linguistic and reasoning abilities, yet they frequently produce outputs that deviate from human intent, especially in ethically sensitive or ambiguous contexts. Current alignment methods, such as supervised fine-tuning (SFT) and rei…",Scopus:F1,include,Include,abstract,include,include,include,True
P01_0295,LA-EDPO: Length-Aware Effect-Enhanced Direct Preference Optimization,"Zhang, W.",2026,This paper investigates the phenomena of reward hacking and likelihood drift encountered during the alignment of large language models with human preferences. Existing Direct Preference Optimization (DPO) methods suffer from the linear accumulation of implicit rewards relative to…,Scopus:F1,include,Include,abstract,include,include,include,True
P01_1712,Corrigibility as a Singular Target: A Vision for Inherently Reliable Foundation Models,Ram Potham; Max Harms,2025,"Foundation models (FMs) face a critical safety challenge: as capabilities scale, instrumental convergence drives default trajectories toward loss of human control, potentially culminating in existential catastrophe. Current alignment approaches struggle with value specification c…",arXiv:F1,include,Include,abstract,include,include,include,True
P01_0901,Feeling Textiles through AI: An Exploration into Multimodal Language Models and Human Perception Alignment,"Zhong, S.; Gatti, E.; Cho, Y.; Obrist, M.",2024,"Human-artifcial intelligence (AI) alignment ensures that AI systems align with human goals and behaviors. This paper introduces perceptual alignment as a critical aspect of this alignment, focusing on the concurrence between human judgments and AI evaluations across sensory modal…","Scopus:F1, WoS:F1",exclude,Include,abstract,include,exclude,include,False
P01_1315,"Artificial thinking and doomsday projections: a discourse on trust, ethics and safety","White, J.; Brandt, D.; Söffner, J.; Stapleton, L.",2023,"The article reflects on where AI is headed and the world along with it, considering trust, ethics and safety. Implicit in artificial thinking and doomsday appraisals is the engineered divorce from reality of sublime human embodiment. Jeffrey White, Dietrich Brandt, Jan Soeffner, …","Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_1721,Towards a Distributed Platform for Normative Reasoning and Value Alignment in Multi-Agent Systems,Miguel Garcia-Bohigues; Carmengelys Cordova; Joaquin Taverner; Javier Palanca; Elena del Val; Estefania Argente,2024,"This paper presents an extended version of the SPADE platform, which aims to empower intelligent agent systems with normative reasoning and value alignment capabilities. Normative reasoning involves evaluating social norms and their impact on decision-making, while value alignmen…",arXiv:F1,include,Include,abstract,include,include,include,True
P01_0879,Electronic Fuji and Artificial Intelligence Creation: How is the Study of Machine Poetics Possible?,"Liang, S.",2025,"This paper explores the question of how “machine poetics” is possible – that is, under what conditions can we consider machines to be capable of creation? More specifically, why can machine creation be regarded as meaningful in the same way as human creation? If human creations a…",Scopus:F1,exclude,Include,abstract,include,exclude,include,False
P01_0541,TouchAI: Exploring human–AI perceptual alignment in touch through language model representations,"Zhong, S.; Gatti, E.; Cho, Y.; Obrist, M.",2026,Aligning large language models (LLMs) behaviour with human intent is critical for future AI. An important yet often overlooked aspect of this alignment is the perceptual alignment. Perceptual modalities like touch are more multifaceted and nuanced compared to other sensory modali…,"Scopus:F1, WoS:F1",exclude,Include,abstract,include,exclude,include,False
P01_2849,Internal Value Alignment in Large Language Models through Controlled Value Vector Activation,"Jin, HR; Li, M; Wang, XT; Xu, ZH; Huang, ML; Jia, YT; Lian, DF",2025,"Aligning Large Language Models (LLMs) with human values has attracted increasing attention since it provides clarity, transparency, and the ability to adapt to evolving scenarios. In this paper, we introduce a Controlled Value Vector Activation (ConVA) method that directly aligns…",WoS:F1,include,Include,abstract,include,include,include,True
P01_2674,"On the referendum #31: Project Maven, procurement, lollapalooza results & nuclear/AGI safety","Cummings, D.",2019,,Scopus:F1,exclude,Include,abstract,include,exclude,include,False
P01_2015,Large Language Model Alignment: A Survey,Tianhao Shen; Renren Jin; Yufei Huang; Chuang Liu; Weilong Dong; Zishan Guo; Xinwei Wu; Yan Liu; Deyi Xiong,2023,"Recent years have witnessed remarkable progress made in large language models (LLMs). Such advancements, while garnering significant attention, have concurrently elicited various concerns. The potential of these models is undeniably vast; however, they may yield texts that are im…",arXiv:F4,include,Include,abstract,include,include,include,True
P01_1137,MoVEMo: A structured approach for engineering reward functions,"Mallozzi, P.; Pardo, R.; Duplessis, V.; Pelliccione, P.; Schneider, G.",2018,"Reinforcement learning (RL) is a machine learning technique that has been increasingly used in robotic systems. In reinforcement learning, instead of manually pre-program what action to take at each step, we convey the goal a software agent in terms of reward functions. The agent…","Scopus:F1, WoS:F1",exclude,Include,abstract,include,exclude,include,False
P01_2200,"An efficient, generalized bellman update for cooperative inverse reinforcement learning","Malik, D.; Palaniappan, M.; Fisac, J.F.; Hadfield-Menell, D.; Russell, S.; Dragan, A.D.",2018,"Our goal is for AI systems to correctly identify and act according to their human user's objec-tives. Cooperative Inverse Reinforcement Learning (CIRL) formalizes this value alignment problem as a two-player game between a human and robot, in which only the human knows the pa-ram…","Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_0373,Few-shot Fine-grained Image Classification with Interpretable Prompt Learning through Distribution Alignment,"Guo, D.; Zhao, H.; Rossi, R.; Kim, S.; Lipka, N.; Yu, T.; Li, S.",2025,Explainable few-shot fine-grained image classification is an essential task to align AI with human preferences by enabling precise recognition of subtle differences and providing explanations for decisions. Existing supervised models often struggle in few-shot scenarios due to th…,"Scopus:F1, WoS:F1",exclude,Include,abstract,include,exclude,include,False
P01_2155,On Teacher Hacking in Language Model Distillation,"Tiapkin, D.; Calandriello, D.; Ferret, J.; Perrin, S.; Vieillard, N.; Ramé, A.; Blondel, M.",2025,"Post-training of language models (LMs) increasingly relies on the following two stages: (i) knowledge distillation, where the LM is trained to imitate a larger teacher LM, and (ii) reinforcement learning from human feedback (RLHF), where the LM is aligned by optimizing a reward m…","Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_2203,Learning human objectives by evaluating hypothetical behavior,"Reddy, S.; Dragan, A.D.; Levine, S.; Legg, S.; Leike, J.",2020,"We seek to align agent behavior with a user's objectives in a reinforcement learning setting with unknown dynamics, an unknown reward function, and unknown unsafe states. The user knows the rewards and unsafe states, but querying the user is expensive. We propose an algorithm tha…",Scopus:F1,include,Include,abstract,include,include,include,True
P01_2306,Clarifying “AI alignment,"Christiano, Paul",2026,,Scopus:F1,include,Include,abstract,include,include,include,True
P01_1456,"Taming Simulators: Challenges, Pathways and Vision for the Alignment of Large Language Models","Bereska, L.; Gavves, E.",2023,"As AI systems continue to advance in power and prevalence, ensuring alignment between humans and AI is crucial to prevent catastrophic outcomes. The greater the capabilities and generality of an AI system, combined with its development of goals and agency, the higher the risks as…",Scopus:F1,include,Include,abstract,include,include,include,True
P01_0733,From Pixels to Concepts: How AI Interprets Visual Concepts in Social Media Videos? A Case Study of Mental Health YouTube Shorts,"Liu, J.L.; Su, Y.; Seth, P.",2025,"Visual information on social media is increasingly central to how people share and seek knowledge across health, political, and everyday domains. As video content proliferates, AI-assisted analysis offers new possibilities for social media research and information retrieval. This…",Scopus:F1,exclude,Include,abstract,include,exclude,include,False
P01_1802,A Statistical Case Against Empirical Human-AI Alignment,Julian Rodemann; Esteban Garces Arias; Christoph Luther; Christoph Jansen; Thomas Augustin,2025,"Empirical human-AI alignment aims to make AI systems act in line with observed human behavior. While noble in its goals, we argue that empirical alignment can inadvertently introduce statistical biases that warrant caution. This position paper thus advocates against naive empiric…",arXiv:F1,include,Include,abstract,include,include,include,True
P01_2853,Identical Human Preference Alignment Paradigm for Text -to -Image Models,"Sun, HY; Xia, B; Zhao, YF; Chang, YZ; Wang, XQ",2025,"Implicit reward mechanism of Direct Preference Optimization (DPO) has facilitated its recent applications beyond large language models (LLMs), notably in aligning text-to image models with human preferences. While promising results have been achieved with algorithms such as Diffu…",WoS:F1,exclude,Include,abstract,include,exclude,include,False
P01_1268,Wuli-Shili-Renli-Jili System Approach and Its Application in Large Model Value Alignment,"Qi, J.; Jia, K.; Zhang, Y.; Feng, X.; Yan, H.",2024,"As artificial intelligence systems enter a rapid development phase, large models, serving as a new type of hybrid intelligence system for human-machine collaboration, still lack a system methodology that suits them. This study extends the Wuli-Shili-Renli (WSR) system approach, i…",Scopus:F1,include,Include,abstract,include,include,include,True
P01_2791,"Decolonial AI Alignment: Openness, Visesa-Dharma, and Including Excluded Knowledges","Varshney, KR",2024,"Prior work has explicated the coloniality of artificial intelligence (AI) development and deployment through mechanisms such as extractivism, automation, sociological essentialism, surveillance, and containment. However, that work has not engaged much with alignment: teaching beh…",WoS:F1,include,Include,abstract,include,include,include,True
P01_1408,Learning norms from stories: A prior for value aligned agents,"Al Nahian, M.S.; Frazier, S.; Riedl, M.; Harrison, B.",2020,Value alignment is a property of an intelligent agent indicating that it can only pursue goals and activities that are beneficial to humans. Traditional approaches to value alignment use imitation learning or preference learning to infer the values of humans by observing their be…,"Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_2280,Architecting a human-like emotion-driven conscious moral mind for value alignment and AGI safety,"Waser, M.R.; Kelley, D.J.",2018,"A general intelligence possesses the abilities, given any goals and environment, to iteratively evaluate, plan, discover or learn and build or gain competencies, tools and resources to succeed at those goals. The only known examples of general intelligence are the obligatorily gr…","Scopus:F1, Scopus:F3",include,Include,abstract,include,include,include,True
P01_2112,Learning to Imitate with Less: Efficient Individual Behavior Modeling in Chess,"Tang, Z.; Jiao, D.; Xue, E.; Mcilroy-Young, R.; Kleinberg, J.; Sen, S.; Anderson, A.",2026,"As humans seek to collaborate with, learn from, and better understand artificial intelligence systems, developing AIs that can accurately emulate individual decision-making becomes increasingly important. Chess, a long-standing AI benchmark with precise skill measurement, offers …",Scopus:F1,exclude,Include,abstract,include,exclude,include,False
P01_0399,"Survival egoism: we are, they will be","Castiglione Ferrari, T.",2026,"Humanity’s rapid progress in artificial intelligence (AI) has been accompanied by deep uncertainties and existential fears. Will AI become sentient? Will it outsmart us, “understand” our irrelevance, and decide to end our species? Such questions, famously posed by futurists and s…","Scopus:F1, WoS:F1",include,Include,abstract,include,include,include,True
P01_1669,Generative Adversarial Post-Training Mitigates Reward Hacking in Live Human-AI Music Interaction,Yusong Wu; Stephen Brade; Aleksandra Teng Ma; Tia-Jane Fowler; Enning Yang; Berker Banar; Aaron Courville; Natasha Jaques; Cheng-Zhi Anna Huang,2025,"Most applications of generative AI involve a sequential interaction in which a person inputs a prompt and waits for a response, and where reaction time and adaptivity are not important factors. In contrast, live jamming is a collaborative interaction that requires real-time coord…",arXiv:F1,include,Include,abstract,include,include,include,True
P01_1989,IOLBENCH: Benchmarking LLMs on Linguistic Reasoning,Satyam Goyal; Soham Dan,2025,"Despite the remarkable advancements and widespread applications of deep neural networks, their ability to perform reasoning tasks remains limited, particularly in domains requiring structured, abstract thought. In this paper, we investigate the linguistic reasoning capabilities o…",arXiv:F4,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_1867,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,Najoung Kim; Tal Linzen,2020,"Natural language is characterized by compositionality: the meaning of a complex expression is constructed from the meanings of its constituent parts. To facilitate the evaluation of the compositional abilities of language processing architectures, we introduce COGS, a semantic pa…",arXiv:F4,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_0398,Co-Creation by Human–AI Sophimatics Framework and Applications,"Iovane, G.; Iovane, G.",2026,Phase 6 of the Sophimatics framework represents the culmination of a comprehensive research program integrating philosophical wisdom with computational sophistication to address fundamental challenges in artificial intelligence systems. Building upon the Complex-Time Recursive Mo…,"Scopus:F1, WoS:F1",exclude,Exclude,abstract,exclude,exclude,exclude,True
P01_0621,Ethical reflection and countermeasures on patient safety engagement under the doctor-patient shared decision-making model,"Gu, Y.; Fang, X.; Wang, R.; Qiao, N.; Zheng, D.",2025,"The doctor-patient shared decision-making model emphasizes patient safety engagement, playing a crucial role in ensuring patient safety and improving the quality and efficiency of medical services. To establish a harmonious doctor-patient relationship, achieve the high-quality de…",Scopus:F1,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_1065,Integrating Course-based Undergraduate Research and Entrepreneurial Mindset (CURE-E) in to Mechanical Engineering Curriculum,"Yasar-Inceoglu, O.; Brooks, J.; Alexander, D.G.; Lloyd-Harry, S.",2025,"Engaging undergraduate mechanical engineering students in research offers a substantial opportunity to enrich their educational experience and increase their interest in STEM fields. However, undergraduate students at many institutions often face significant barriers to engaging …",Scopus:F1,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_2572,Current themes in mechanistic interpretability research,"Sharkey, Lee; Black, Sid",2022,,Scopus:F1,include,Exclude,title-excluded,exclude,include,exclude,False
P01_1838,Revisiting Iterative Back-Translation from the Perspective of Compositional Generalization,Yinuo Guo; Hualei Zhu; Zeqi Lin; Bei Chen; Jian-Guang Lou; Dongmei Zhang,2020,"Human intelligence exhibits compositional generalization (i.e., the capacity to understand and produce unseen combinations of seen components), but current neural seq2seq models lack such ability. In this paper, we revisit iterative back-translation, a simple yet effective semi-s…",arXiv:F4,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_0786,Preparing Public Relations’ Practitioners for the AI Era: Advancing Pedagogical Principles in Public Relations’ Artificial Intelligence Education,"Yang, A.",2025,"At the forefront of industries profoundly influenced by artificial intelligence (AI), public relations (PRs) are undergoing a transformative revolution. The increasing applications of AI in PRs are driving a demand for proficient practitioners. Recognizing this, PR educational in…",Scopus:F1,exclude,Exclude,abstract,exclude,exclude,exclude,True
P01_1807,Uniboost: Global Coordination with Value Alignment for Fair and Efficient Traffic Allocation,Ge Fan; Nan Zhao; Kai Meng; Cong Luo; Yang Fu; Huiping Chu; Jialin Liu; Yuning Jiang; Bo Zheng,2026,"With the rapid evolution of internet services, recommendation systems have become indispensable. In particular, the blending (re-ranking) stage plays a pivotal role in allocating traffic across diverse business objectives. However, existing approaches often suffer from coupled al…",arXiv:F1,exclude,Exclude,abstract,exclude,exclude,exclude,True
P01_2612,From Value Alignment to Value Coexistence: Ethical Risks and Governance of School Education in the Intelligent Era [J/OL],"Nan, C.; Cao, B.",2021,,Scopus:F1,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_1843,Span-based Semantic Parsing for Compositional Generalization,Jonathan Herzig; Jonathan Berant,2020,"Despite the success of sequence-to-sequence (seq2seq) models in semantic parsing, recent work has shown that they fail in compositional generalization, i.e., the ability to generalize to new structures built of components observed during training. In this work, we posit that a sp…",arXiv:F4,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_0953,"Construction of an AI Literacy General Education Curriculum Based on ""Knowledge-Skills"" Navigation","Li, B.; Sun, R.",2024,"[Purpose/Significance] The rapid development of generative artificial intelligence (GenAI) has led to a growing demand for AI literacy in various fields. However, current AI literacy courses often fail to adequately address the diverse needs of students with different academic ba…",Scopus:F1,exclude,Exclude,abstract,exclude,exclude,exclude,True
P01_1885,Differentiable Tree Operations Promote Compositional Generalization,Paul Soulos; Edward Hu; Kate McCurdy; Yunmo Chen; Roland Fernandez; Paul Smolensky; Jianfeng Gao,2023,"In the context of structure-to-structure transformation tasks, learning sequences of discrete symbolic operations poses significant challenges due to their non-differentiability. To facilitate the learning of these symbolic sequences, we introduce a differentiable tree interprete…",arXiv:F4,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_1039,Can Large Language Models Address Problem Gambling? Expert Insights from Gambling? Expert Insights from Gambling Treatment Professionals,"Ghaharian, K.; Soligo, M.; Young, R.; Golab, L.; Kraus, S.W.; Wells, S.",2025,"Large Language Models (LLMs) have transformed information retrieval for humans. People are increasingly turning to general-purpose LLM-based chatbots to find answers to questions across numerous domains, including advice on sensitive topics such as mental health and addiction. In…","Scopus:F1, WoS:F1",exclude,Exclude,abstract,exclude,exclude,exclude,True
P01_2099,Vertical Moral Growth for Robust Alignment: Perspective-Based Fine-Tuning Reduces Deception in Large Language Models,"Endo, T.",2026,"Misaligned instrumental drives-deception, self-preservation, covert power seeking-remain a critical hazard as language models scale toward autonomy. Existing alignment work expands horizontal competence with more data or rules but seldom changes the model’s internal evaluative fr…",Scopus:F1,include,Exclude,abstract,exclude,include,exclude,False
P01_0595,I want to escape the nightmare: how workplace incivility influences job search behavior among hospitality employees? Roles of workplace spirituality and organizational identification,"Chouhan, V.S.",2026,"Purpose – Grounded in social identity theory (SIT), this study examines how workplace incivility (WPI) influences job search behavior (JSB) among hospitality employees. Specifically, it investigates organizational identification (OI) as a mediating mechanism and workplace spiritu…","Scopus:F1, WoS:F1",exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_1267,THE CRISIS OF ARTIFICIAL INTELLIGENCE: A NEW DIGITAL HUMANITIES CURRICULUM FOR HUMAN-CENTRED AI,"Chun, J.; Elkins, K.",2023,This article outlines what a successful artificial intelligence digital humanities (AI DH) curriculum entails and why it is so critical now. Artificial intelligence is rapidly reshaping our world and is poised to exacerbate long-standing crises including (1) the crisis of higher …,"Scopus:F1, WoS:F1",exclude,Exclude,abstract,exclude,exclude,exclude,True
P01_1297,Understanding Role of Workplace Spirituality in Predicting Psychological Well-being among Faculties of Higher Education Institutes,"Kumari, S.; Ali, A.; Azmi, S.; Allam, Z.",2024,"The purpose of the proposed investigation is to examine the relationship between spirituality in the workplace and its numerous components, including spiritual orientation, compassion, meaningful work, and value alignment, and their impact on individuals' psychological well-being…",Scopus:F1,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_0904,Leveraging Generative AI for Evaluative Processes in Entrepreneurial Ecosystems: A Cognitive Interface Design Approach,"Chen, C.-S.",2025,"Generative AI in entrepreneurial evaluation reveals sharp contrasts with human judgment. Using a mixed-methods design on 80 early-stage startup proposals, the analysis shows that human scorers produce bimodal distributions reflecting categorical conviction, while AI outputs remai…",Scopus:F1,exclude,Exclude,abstract,exclude,exclude,exclude,True
P01_0960,Harnessing frontline managers’ values for ethical AI and enhanced customer trust in tourism industry,"Soomro, M.A.; Khan, A.N.",2025,"Purpose – This study aims to investigate the impact of frontline managers’ (FLM) religious values and interpersonal values alignment on the ethical use of artificial intelligence (AI) and its effect on customers’ dispositional trust within the tourism industry. Additionally, it a…","Scopus:F1, WoS:F1",exclude,Exclude,abstract,exclude,exclude,exclude,True
P01_1091,The Hard Problem of AI Alignment: Value Forks in Moral Judgment,"Kneer, M.; Viehoff, J.",2025,"Complex moral trade-offs are a basic feature of human life: for example, confronted with scarce medical resources, doctors must frequently choose who amongst equally deserving candidates receives medical treatment. But choosing what to do in moral trade-offs is no longer a g huma…","Scopus:F1, WoS:F1",include,Exclude,abstract,exclude,include,exclude,False
P01_1897,On the Compositional Generalization Gap of In-Context Learning,Arian Hosseini; Ankit Vani; Dzmitry Bahdanau; Alessandro Sordoni; Aaron Courville,2022,"Pretrained large generative language models have shown great performance on many tasks, but exhibit low compositional generalization abilities. Scaling such models has been shown to improve their performance on various NLP tasks even just by conditioning them on a few examples to…",arXiv:F4,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_2466,"Benchmarking llama 3 for chinese news summation: Accuracy, cultural nuance, and societal value alignment","Lu, Tianxuan; Hu, Jin; Chen, Pingping",2024,,Scopus:F1,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
P01_1890,Data Factors for Better Compositional Generalization,Xiang Zhou; Yichen Jiang; Mohit Bansal,2023,"Recent diagnostic datasets on compositional generalization, such as SCAN (Lake and Baroni, 2018) and COGS (Kim and Linzen, 2020), expose severe problems in models trained from scratch on these datasets. However, in contrast to this poor performance, state-of-the-art models traine…",arXiv:F4,exclude,Exclude,title-excluded,exclude,exclude,exclude,True
