removed_id,kept_id,normalized_title,removed_title,kept_title,removed_doi,kept_doi,removed_year,kept_year,removed_evidence,kept_evidence,reason
P1223,P056,thinking forward and backward multiobjective reinforcement learning for retrievalaugmented reasoning,Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning,Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning,,10.1609/aaai.v40i40.40675,2026,2026,abstract,full-text,version pair: same study charted as preprint+published
P1074,P060,heterogeneous value alignment evaluation for large language models,Heterogeneous value alignment evaluation for large language models,Heterogeneous Value Alignment Evaluation for Large Language Models,,10.1007/978-3-032-00800-8_34,2024,2026,metadata,full-text,version pair: same study charted as preprint+published
P749,P060,heterogeneous value alignment evaluation for large language models,Heterogeneous Value Alignment Evaluation for Large Language Models,Heterogeneous Value Alignment Evaluation for Large Language Models,,10.1007/978-3-032-00800-8_34,2023,2026,full-text,full-text,version pair: same study charted as preprint+published
P1250,P073,composable assurance for ai alignment a framework for propagating formal safety properties through mlops,Composable Assurance for AI Alignment: A Framework for Propagating Formal Safety Properties Through MLOps,Composable Assurance for AI Alignment: A Framework for Propagating Formal Safety Properties Through MLOps,,10.1609/aaai.v40i44.41151,2026,2026,abstract,full-text,version pair: same study charted as preprint+published
P1209,P084,multimetric preference alignment for generative speech restoration,Multi-Metric Preference Alignment for Generative Speech Restoration,Multi-Metric Preference Alignment for Generative Speech Restoration,,10.1609/aaai.v40i41.40775,2026,2026,abstract,full-text,version pair: same study charted as preprint+published
P1012,P098,moral disagreement and the limits of ai value alignment a dual challenge of epistemic justification and political legitimacy,Moral disagreement and the limits of ai value alignment: a dual challenge of epistemic justification and political legit,Moral disagreement and the limits of AI value alignment: a dual challenge of epistemic justification and political legit,,10.1007/s00146-025-02427-2,2025,2025,metadata,full-text,version pair: same study charted as preprint+published
P1003,P714,truthful or fabricated using causal attribution to mitigate reward hacking in explanations,Truthful or fabricated? Using causal attribution to mitigate reward hacking in explanations,Truthful or Fabricated? Using Causal Attribution to Mitigate Reward Hacking in Explanations,,,2025,2025,metadata,abstract,version cluster (no DOI-bearing row)
P1013,P786,position towards bidirectional humanai alignment,Position: Towards Bidirectional Human-AI Alignment,Position: Towards Bidirectional Human-AI Alignment,,,2025,2024,full-text,abstract,version cluster (no DOI-bearing row)
P808,P105,moral anchor system a predictive framework for ai value alignment and drift prevention,Moral Anchor System: A Predictive Framework for AI Value Alignment and Drift Prevention,Moral Anchor System: A Predictive Framework for AI Value Alignment and Drift Prevention,,10.1007/978-3-032-30044-7_8,2025,2026,abstract,abstract,version pair: same study charted as preprint+published
P1016,P105,moral anchor system a predictive framework for ai value alignment and drift prevention,Moral Anchor System: A Predictive Framework for AI Value Alignment and Drift Prevention,Moral Anchor System: A Predictive Framework for AI Value Alignment and Drift Prevention,,10.1007/978-3-032-30044-7_8,2025,2026,full-text,abstract,version pair: same study charted as preprint+published
P1020,P285,reflections on the ai alignment problem,Reflections on the AI alignment problem,Reflections on the AI alignment problem,,10.1007/s00146-025-02211-2,2025,2025,metadata,abstract,version pair: same study charted as preprint+published
P1021,P793,neurodivergent influenceability as a contingent solution to the ai alignment problem,Neurodivergent influenceability as a contingent solution to the ai alignment problem,Neurodivergent Influenceability as a Contingent Solution to the AI Alignment Problem,,,2025,2025,full-text,abstract,version cluster (no DOI-bearing row)
P1028,P641,spontaneous reward hacking in iterative selfrefinement,Spontaneous Reward Hacking in Iterative Self-Refinement,Spontaneous Reward Hacking in Iterative Self-Refinement,,,2024,2024,metadata,abstract,version cluster (no DOI-bearing row)
P790,P554,flames benchmarking value alignment of llms in chinese,Flames: Benchmarking Value Alignment of LLMs in Chinese,FLAMES: Benchmarking Value Alignment of LLMs in Chinese,,10.18653/v1/2024.naacl-long.256,2023,2024,abstract,abstract,version pair: same study charted as preprint+published
P1029,P554,flames benchmarking value alignment of llms in chinese,FLAMES: Benchmarking value alignment of LLMs in Chinese,FLAMES: Benchmarking Value Alignment of LLMs in Chinese,,10.18653/v1/2024.naacl-long.256,2024,2024,metadata,abstract,version pair: same study charted as preprint+published
P1030,P785,representative social choice from learning theory to ai alignment,Representative social choice: From learning theory to ai alignment,Representative Social Choice: From Learning Theory to AI Alignment,,,2024,2024,full-text,abstract,version cluster (no DOI-bearing row)
P1042,P291,a matter of principle ai alignment as the fair treatment of claims,A matter of principle? AI alignment as the fair treatment of claims,A matter of principle? AI alignment as the fair treatment of claims,,10.1007/s11098-025-02300-4,2024,2025,metadata,abstract,version pair: same study charted as preprint+published
P690,P1053,helping or herding reward model ensembles mitigate but do not eliminate reward hacking,Helping or Herding? Reward Model Ensembles Mitigate but do not Eliminate Reward Hacking,Helping or herding? Reward model ensembles mitigate but do not eliminate reward hacking,,,2023,2024,full-text,metadata,version cluster (no DOI-bearing row)
P1063,P782,challenges and future directions of datacentric ai alignment,Challenges and future directions of Data-Centric AI alignment,Challenges and Future Directions of Data-Centric AI Alignment,,,2024,2024,full-text,abstract,version cluster (no DOI-bearing row)
P734,P314,towards a distributed platform for normative reasoning and value alignment in multiagent systems,Towards a Distributed Platform for Normative Reasoning and Value Alignment in Multi-Agent Systems,Towards a Distributed Platform for Normative Reasoning and Value Alignment in Multi-agent Systems,,10.1007/978-3-031-58202-8_14,2024,2024,abstract,abstract,version pair: same study charted as preprint+published
P1080,P314,towards a distributed platform for normative reasoning and value alignment in multiagent systems,Towards a Distributed Platform for Normative Reasoning and Value Alignment in Multi-Agent Systems,Towards a Distributed Platform for Normative Reasoning and Value Alignment in Multi-agent Systems,,10.1007/978-3-031-58202-8_14,2024,2024,full-text,abstract,version pair: same study charted as preprint+published
P1083,P745,ai alignment a comprehensive survey,AI alignment: A comprehensive survey,AI Alignment: A Comprehensive Survey,,,2024,2023,metadata,abstract,version cluster (no DOI-bearing row)
P1087,P737,ai alignment and social choice fundamental limitations and policy implications,AI Alignment and Social Choice: Fundamental Limitations and Policy Implications,AI Alignment and Social Choice: Fundamental Limitations and Policy Implications,,,2023,2023,full-text,abstract,version cluster (no DOI-bearing row)
P1094,P387,evaluating the impact of personalized value alignment in humanrobot interaction insights into trust and team performance outcomes,Evaluating the Impact of Personalized Value Alignment in Human-Robot Interaction: Insights into Trust and Team Performan,Evaluating the Impact of Personalized Value Alignment in Human-Robot Interaction: Insights into Trust and Team Performan,,10.1145/3610977.3634921,2023,2024,metadata,abstract,version pair: same study charted as preprint+published
P1097,P640,deceptive alignment monitoring,Deceptive alignment monitoring,Deceptive Alignment Monitoring,,,2023,2023,full-text,abstract,version cluster (no DOI-bearing row)
P1104,P779,multivalue alignment in normative multiagent system evolutionary optimisation approach,Multi-value alignment in normative multi-agent system: Evolutionary optimisation approach,Multi-Value Alignment in Normative Multi-Agent System: Evolutionary Optimisation Approach,,,2023,2023,metadata,abstract,version cluster (no DOI-bearing row)
P1107,P610,social value alignment in large language models,Social value alignment in large language models,Social Value Alignment in Large Language Models,,10.1007/978-3-031-58202-8_6,2023,2024,full-text,full-text,version pair: same study charted as preprint+published
P1109,P725,goal alignment a humanaware account of value alignment problem,Goal Alignment: A Human-Aware Account of Value Alignment Problem,Goal Alignment: A Human-Aware Account of Value Alignment Problem,,,2023,2023,full-text,abstract,version cluster (no DOI-bearing row)
P1111,P731,foundational moral values for ai alignment,Foundational Moral Values for AI Alignment,Foundational Moral Values for AI Alignment,,,2023,2023,full-text,abstract,version cluster (no DOI-bearing row)
P1123,P577,shared interest measuring humanai alignment to identify recurring patterns in model behavior,Shared interest: Measuring human-AI alignment to identify recurring patterns in model behavior,Shared Interest: Measuring Human-AI Alignment to Identify Recurring Patterns in Model Behavior,,10.1145/3491102.3501965,2022,2022,metadata,abstract,version pair: same study charted as preprint+published
P1141,P579,norms for beneficial ai a computational analysis of the societal value alignment problem,Norms for Beneficial AI: A Computational Analysis of the Societal Value Alignment Problem,Norms for beneficial A.I.: A computational analysis of the societal value alignment problem,,10.3233/AIC-201502,2020,2020,full-text,abstract,version pair: same study charted as preprint+published
P673,P479,augmented utilitarianism for agi safety,Augmented Utilitarianism for AGI Safety,Augmented utilitarianism for AGI safety,,10.1007/978-3-030-27005-6_2,2019,2019,abstract,abstract,version pair: same study charted as preprint+published
P1151,P479,augmented utilitarianism for agi safety,Augmented Utilitarianism for AGI Safety,Augmented utilitarianism for AGI safety,,10.1007/978-3-030-27005-6_2,2019,2019,full-text,abstract,version pair: same study charted as preprint+published
P1152,P649,corrigibility with utility preservation,Corrigibility with utility preservation,Corrigibility with Utility Preservation,,,2019,2019,full-text,abstract,version cluster (no DOI-bearing row)
P1164,P764,mimetic vs anchored value alignment in artificial intelligence,Mimetic vs anchored value alignment in artificial intelligence,Mimetic vs Anchored Value Alignment in Artificial Intelligence,,,2018,2018,full-text,abstract,version cluster (no DOI-bearing row)
P675,P582,agi safety literature review,AGI Safety Literature Review,AGI safety literature review,,10.24963/ijcai.2018/768,2018,2018,abstract,abstract,version pair: same study charted as preprint+published
P1170,P582,agi safety literature review,AGI Safety Literature Review,AGI safety literature review,,10.24963/ijcai.2018/768,2018,2018,full-text,abstract,version pair: same study charted as preprint+published
P1187,P196,against the manhattan project framing of ai alignment,Against the Manhattan project framing of AI alignment,Against the Manhattan project framing of AI alignment,,10.1111/mila.12548,,2026,metadata,abstract,version pair: same study charted as preprint+published
P1188,P177,on the interplay of humanai alignment fairness and performance tradeoffs in medical imaging,"On the interplay of human-AI alignment, fairness, and performance trade-offs in medical imaging","On the Interplay of Human-AI Alignment, Fairness, and Performance Trade-Offs in Medical Imaging",,10.1007/978-3-032-05185-1_41,,2026,full-text,abstract,version pair: same study charted as preprint+published
P616,P626,responsibility gaps value alignment and meaningful human control over artificial intelligence,"Responsibility Gaps, Value Alignment, and Meaningful Human Control over Artificial Intelligence","Responsibility Gaps, Value Alignment, and Meaningful Human Control over Artificial Intelligence",10.4324/9781003276029-14,10.4324/9781003276029,2023,2024,full-text,metadata,version pair: same study charted as preprint+published
P1189,P626,responsibility gaps value alignment and meaningful human control over artificial intelligence,"Responsibility gaps, value alignment, and meaningful human control over artificial intelligence","Responsibility Gaps, Value Alignment, and Meaningful Human Control over Artificial Intelligence",,10.4324/9781003276029,,2024,full-text,metadata,version pair: same study charted as preprint+published
P762,P476,value alignment fair play and the rights of service robots,"Value Alignment, Fair Play, and the Rights of Service Robots","Value Alignment, Fair Play, and the Rights of Service Robots",,10.1145/3278721.3278730,2018,2018,abstract,abstract,version pair: same study charted as preprint+published
P1193,P476,value alignment fair play and the rights of service robots,"Value Alignment, Fair Play, and the Rights of Service Robots","Value Alignment, Fair Play, and the Rights of Service Robots",,10.1145/3278721.3278730,,2018,full-text,abstract,version pair: same study charted as preprint+published
P655,P169,causal reward adjustment mitigating reward hacking in external reasoning via backdoor correction,Causal Reward Adjustment: Mitigating Reward Hacking in External Reasoning via Backdoor Correction,Causal Reward Adjustment: Mitigating Reward Hacking in External Reasoning via Backdoor Correction,,10.1609/aaai.v40i39.40584,2025,2026,abstract,abstract,version pair: same study charted as preprint+published
P1200,P169,causal reward adjustment mitigating reward hacking in external reasoning via backdoor correction,Causal Reward Adjustment: Mitigating Reward Hacking in External Reasoning via Backdoor Correction,Causal Reward Adjustment: Mitigating Reward Hacking in External Reasoning via Backdoor Correction,,10.1609/aaai.v40i39.40584,2026,2026,full-text,abstract,version pair: same study charted as preprint+published
P1201,P185,confucian ethics and ai alignment,CONFUCIAN ETHICS AND AI ALIGNMENT,CONFUCIAN ETHICS AND AI ALIGNMENT,,10.46992/pijp.27.2.a.5,2026,2026,full-text,abstract,version pair: same study charted as preprint+published
P1204,P288,minding motivation the effect of intrinsic motivation on agent behaviors,Minding Motivation: The Effect of Intrinsic Motivation on Agent Behaviors,Minding Motivation: The Effect of Intrinsic Motivation on Agent Behaviors,,10.1609/aiide.v21i1.36838,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1205,P822,empirical evidence for alignment faking in a small llm and promptbased mitigation techniques,Empirical Evidence for Alignment Faking in a Small LLM and Prompt-Based Mitigation Techniques,Empirical Evidence for Alignment Faking in a Small LLM and Prompt-Based Mitigation Techniques,,,2025,2025,full-text,abstract,version cluster (no DOI-bearing row)
P1206,P146,a rolling stone gathers no moss adaptive policy optimization for stable selfevaluation in large multimodal models,A Rolling Stone Gathers No Moss: Adaptive Policy Optimization for Stable Self-Evaluation in Large Multimodal Models,A Rolling Stone Gathers No Moss: Adaptive Policy Optimization for Stable Self-Evaluation in Large Multimodal Models,,10.1609/aaai.v40i40.40656,2026,2026,full-text,abstract,version pair: same study charted as preprint+published
P1207,P286,regularized bestofn sampling with minimum bayes risk objective for language model alignment,Regularized Best-of-N Sampling with Minimum Bayes Risk Objective for Language Model Alignment,Regularized Best-of-N Sampling with Minimum Bayes Risk Objective for Language Model Alignment,,10.18653/v1/2025.naacl-long.472,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1213,P525,meta learning for image captioning,Meta Learning for Image Captioning,Meta learning for image captioning,,10.1609/aaai.v33i01.33018626,2019,2019,full-text,abstract,version pair: same study charted as preprint+published
P1215,P433,me modelling ethical values for value alignment,ME: Modelling Ethical Values for Value Alignment,ME: Modelling Ethical Values for Value Alignment,,10.1609/aaai.v39i26.34974,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1216,P391,uncovering the impact of chainofthought reasoning for direct preference optimization lessons from texttosql,Uncovering the Impact of Chain-of-Thought Reasoning for Direct Preference Optimization: Lessons from Text-to-SQL,Uncovering the Impact of Chain-of-Thought Reasoning for Direct Preference Optimization: Lessons from Text-to-SQL,,10.18653/v1/2025.acl-long.1031,2025,2025,abstract,abstract,version pair: same study charted as preprint+published
P1219,P376,treerl llm reinforcement learning with onpolicy tree search,TreeRL: LLM Reinforcement Learning with On-Policy Tree Search,TreeRL: LLM Reinforcement Learning with On-Policy Tree Search,,10.18653/v1/2025.acl-long.604,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1221,P406,to mask or to mirror humanai alignment in collective reasoning,To Mask or to Mirror: Human-AI Alignment in Collective Reasoning,To Mask or to Mirror: Human-AI Alignment in Collective Reasoning,,10.18653/v1/2025.emnlp-main.122,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1222,P545,dynamic automatonguided reward shaping for monte carlo tree search,Dynamic Automaton-Guided Reward Shaping for Monte Carlo Tree Search,Dynamic Automaton-Guided Reward Shaping for Monte Carlo Tree Search,,10.1609/aaai.v35i13.17427,2021,2021,full-text,abstract,version pair: same study charted as preprint+published
P1225,P251,approximated variational bayesian inverse reinforcement learning for large language model alignment,Approximated Variational Bayesian Inverse Reinforcement Learning for Large Language Model Alignment,Approximated Variational Bayesian Inverse Reinforcement Learning for Large Language Model Alignment,,10.1609/aaai.v39i22.34519,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P807,P220,multivalue alignment for llms via value decorrelation and extrapolation,Multi-Value Alignment for LLMs via Value Decorrelation and Extrapolation,Multi-Value Alignment for LLMs via Value Decorrelation and Extrapolation,,10.1609/aaai.v40i40.40708,2025,2026,abstract,abstract,version pair: same study charted as preprint+published
P1226,P220,multivalue alignment for llms via value decorrelation and extrapolation,Multi-Value Alignment for LLMs via Value Decorrelation and Extrapolation,Multi-Value Alignment for LLMs via Value Decorrelation and Extrapolation,,10.1609/aaai.v40i40.40708,2026,2026,full-text,abstract,version pair: same study charted as preprint+published
P1229,P253,yescieval robust llmasajudge for scientific question answering,YESciEval: Robust LLM-as-a-Judge for Scientific Question Answering,YESciEval: Robust LLM-as-a-Judge for Scientific Question Answering,,10.18653/v1/2025.acl-long.675,2025,2025,abstract,abstract,version pair: same study charted as preprint+published
P1231,P340,visual adversarial examples jailbreak aligned large language models,Visual Adversarial Examples Jailbreak Aligned Large Language Models,Visual Adversarial Examples Jailbreak Aligned Large Language Models,,10.1609/aaai.v38i19.30150,2024,2024,full-text,abstract,version pair: same study charted as preprint+published
P1232,P489,aligning large multimodal models with factually augmented rlhf,Aligning Large Multimodal Models with Factually Augmented RLHF,Aligning Large Multimodal Models with Factually Augmented RLHF,,10.18653/v1/2024.findings-acl.775,2024,2024,abstract,abstract,version pair: same study charted as preprint+published
P1233,P456,aligning to social norms and values in interactive narratives,Aligning to Social Norms and Values in Interactive Narratives,Aligning to Social Norms and Values in Interactive Narratives,,10.18653/v1/2022.naacl-main.439,2022,2022,full-text,abstract,version pair: same study charted as preprint+published
P1234,P125,ethical decisionmaking with ai value alignment and the role of reasoning,Ethical Decision-making with AI: Value Alignment and the Role of Reasoning,Ethical Decision-making with AI: Value Alignment and the Role of Reasoning,,10.1609/aaai.v40i48.42156,2026,2026,full-text,abstract,version pair: same study charted as preprint+published
P1235,P515,taking principles seriously a hybrid approach to value alignment in artificial intelligence,Taking Principles Seriously: A Hybrid Approach to Value Alignment in Artificial Intelligence,Taking principles seriously: A hybrid approach to value alignment in artificial intelligence,,10.1613/JAIR.1.12481,2021,2021,full-text,abstract,version pair: same study charted as preprint+published
P773,P313,unintended harms of valuealigned llms psychological and empirical insights,Unintended Harms of Value-Aligned LLMs: Psychological and Empirical Insights,Unintended Harms of Value-Aligned LLMs: Psychological and Empirical Insights,,10.18653/v1/2025.acl-long.1532,2025,2025,abstract,abstract,version pair: same study charted as preprint+published
P1236,P313,unintended harms of valuealigned llms psychological and empirical insights,Unintended Harms of Value-Aligned LLMs: Psychological and Empirical Insights,Unintended Harms of Value-Aligned LLMs: Psychological and Empirical Insights,,10.18653/v1/2025.acl-long.1532,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1237,P593,value fulcra mapping large language models to the multidimensional spectrum of basic human values,Value FULCRA: Mapping Large Language Models to the Multidimensional Spectrum of Basic Human Values,Value FULCRA: Mapping Large Language Models to the Multidimensional Spectrum of Basic Human Values,,10.18653/v1/2024.naacl-long.41,2024,2024,abstract,abstract,version pair: same study charted as preprint+published
P1238,P280,exploring multilingual concepts of human values in large language models is value alignment consistent transferable and controllable across languages,"Exploring Multilingual Concepts of Human Values in Large Language Models: Is Value Alignment Consistent, Transferable an","Exploring Multilingual Concepts of Human Values in Large Language Models: Is Value Alignment Consistent, Transferable an",,10.18653/v1/2024.findings-emnlp.96,2024,2024,full-text,abstract,version pair: same study charted as preprint+published
P1239,P556,why the failure how adversarial examples can provide insights for interpretable machine learning,Why the Failure? How Adversarial Examples Can Provide Insights for Interpretable Machine Learning,Why the Failure? How Adversarial Examples Can Provide Insights for Interpretable Machine Learning,,10.23919/ICIF.2018.8455710,2018,2018,abstract,abstract,version pair: same study charted as preprint+published
P1240,P158,scaling up ai alignment,Scaling Up AI Alignment,Scaling Up AI Alignment,,10.1609/aaai.v40i46.41335,2026,2026,full-text,abstract,version pair: same study charted as preprint+published
P1241,P267,generalizing alignment paradigm of texttoimage generation with preferences through fdivergence minimization,Generalizing Alignment Paradigm of Text-to-Image Generation with Preferences Through f-Divergence Minimization,Generalizing Alignment Paradigm of Text-to-Image Generation with Preferences Through f-Divergence Minimization,,10.1609/aaai.v39i26.34978,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P784,P301,seal systematic error analysis for value alignment,SEAL: Systematic Error Analysis for Value ALignment,SEAL: Systematic Error Analysis for Value ALignment,,10.1609/aaai.v39i26.34973,2024,2025,abstract,abstract,version pair: same study charted as preprint+published
P1242,P301,seal systematic error analysis for value alignment,SEAL: Systematic Error Analysis for Value ALignment,SEAL: Systematic Error Analysis for Value ALignment,,10.1609/aaai.v39i26.34973,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1243,P544,back to basics revisiting reinforcestyle optimization for learning from human feedback in llms,Back to Basics: Revisiting REINFORCE-Style Optimization for Learning from Human Feedback in LLMs,Back to Basics: Revisiting REINFORCE-Style Optimization for Learning from Human Feedback in LLMs,,10.18653/v1/2024.acl-long.662,2024,2024,full-text,abstract,version pair: same study charted as preprint+published
P1244,P615,kornat llm alignment benchmark for korean social values and common knowledge,KorNAT: LLM Alignment Benchmark for Korean Social Values and Common Knowledge,KorNAT: LLM Alignment Benchmark for Korean Social Values and Common Knowledge,,10.18653/v1/2024.findings-acl.666,2024,2024,full-text,abstract,version pair: same study charted as preprint+published
P1246,P611,taming simulators challenges pathways and vision for the alignment of large language models,"Taming Simulators: Challenges, Pathways and Vision for the Alignment of Large Language Models","Taming Simulators: Challenges, Pathways and Vision for the Alignment of Large Language Models",,10.1609/aaaiss.v1i1.27478,2023,2023,full-text,abstract,version pair: same study charted as preprint+published
P1248,P136,beyond patches mining interpretable partprototypes for explainable ai,Beyond Patches: Mining Interpretable Part-Prototypes for Explainable AI,Beyond Patches: Mining Interpretable Part-Prototypes for Explainable AI,,10.1609/aaai.v40i44.41052,2026,2026,full-text,abstract,version pair: same study charted as preprint+published
P1249,P368,leveraging human input to enable robust interactive and aligned ai systems,"Leveraging Human Input to Enable Robust, Interactive, and Aligned AI Systems","Leveraging Human Input to Enable Robust, Interactive, and Aligned AI Systems",,10.1609/aaai.v39i27.35099,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1251,P231,autonomous policy explanations for effective humanmachine teaming,Autonomous Policy Explanations for Effective Human-Machine Teaming,Autonomous Policy Explanations for Effective Human-Machine Teaming,,10.1609/aaai.v38i21.30412,2024,2024,full-text,abstract,version pair: same study charted as preprint+published
P1252,P164,attribution analysisbased concept alignment a humanintheloop data debugging framework,Attribution Analysis-based Concept Alignment: A Human-in-the-loop Data Debugging Framework,Attribution Analysis-based Concept Alignment: A Human-in-the-loop Data Debugging Framework,,10.1609/aaai.v40i21.38793,2026,2026,abstract,abstract,version pair: same study charted as preprint+published
P1253,P349,highdimension human value representation in large language models,High-Dimension Human Value Representation in Large Language Models,High-Dimension Human Value Representation in Large Language Models,,10.18653/v1/2025.naacl-long.274,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1254,P243,cultural learningbased culture adaptation of language models,Cultural Learning-Based Culture Adaptation of Language Models,Cultural Learning-Based Culture Adaptation of Language Models,,10.18653/v1/2025.acl-long.156,2025,2025,abstract,abstract,version pair: same study charted as preprint+published
P825,P517,can brain signals reveal inner alignment with human languages,Can Brain Signals Reveal Inner Alignment with Human Languages?,Can Brain Signals Reveal Inner Alignment with Human Languages?,,10.18653/v1/2023.findings-emnlp.120,2022,2023,abstract,abstract,version pair: same study charted as preprint+published
P1255,P517,can brain signals reveal inner alignment with human languages,Can Brain Signals Reveal Inner Alignment with Human Languages?,Can Brain Signals Reveal Inner Alignment with Human Languages?,,10.18653/v1/2023.findings-emnlp.120,2023,2023,full-text,abstract,version pair: same study charted as preprint+published
P1257,P448,synthesis and properties of optimally valuealigned normative systems,Synthesis and Properties of Optimally Value-Aligned Normative Systems,Synthesis and Properties of Optimally Value-Aligned Normative Systems,,10.1613/JAIR.1.13487,2022,2022,full-text,abstract,version pair: same study charted as preprint+published
P1258,P324,internal value alignment in large language models through controlled value vector activation,Internal Value Alignment in Large Language Models through Controlled Value Vector Activation,Internal Value Alignment in Large Language Models through Controlled Value Vector Activation,,10.18653/v1/2025.acl-long.1326,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1259,P303,one fish two fish but not the whole sea alignment reduces language models conceptual diversity,"One fish, two fish, but not the whole sea: Alignment reduces language models' conceptual diversity","One fish, two fish, but not the whole sea: Alignment reduces language models' conceptual diversity",,10.18653/v1/2025.naacl-long.561,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1260,P234,beyondgender a multifaceted bilingual dataset for practical sexism detection,BeyondGender: A Multifaceted Bilingual Dataset for Practical Sexism Detection,BeyondGender: A Multifaceted Bilingual Dataset for Practical Sexism Detection,,10.1609/aaai.v39i23.34656,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1263,P390,gradientadaptive policy optimization towards multiobjective alignment of large language models,Gradient-Adaptive Policy Optimization: Towards Multi-Objective Alignment of Large Language Models,Gradient-Adaptive Policy Optimization: Towards Multi-Objective Alignment of Large Language Models,,10.18653/v1/2025.acl-long.549,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P1264,P574,an empirical study of instructiontuning large language models in chinese,An Empirical Study of Instruction-tuning Large Language Models in Chinese,An Empirical Study of Instruction-tuning Large Language Models in Chinese,,10.18653/v1/2023.findings-emnlp.269,2023,2023,full-text,abstract,version pair: same study charted as preprint+published
P1265,P482,ai safety state of the field through quantitative lens,AI safety: state of the field through quantitative lens,AI safety: State of the field through quantitative lens,,10.23919/MIPRO48935.2020.9245153,2020,2020,full-text,abstract,version pair: same study charted as preprint+published
P1266,P275,chat vector a simple approach to equip llms with instruction following and model alignment in new languages,Chat Vector: A Simple Approach to Equip LLMs with Instruction Following and Model Alignment in New Languages,Chat Vector: A Simple Approach to Equip LLMs with Instruction Following and Model Alignment in New Languages,,10.18653/v1/2024.acl-long.590,2024,2024,full-text,abstract,version pair: same study charted as preprint+published
P1267,P374,measuring error alignment for decisionmaking systems,Measuring Error Alignment for Decision-Making Systems,Measuring Error Alignment for Decision-Making Systems,,10.1609/aaai.v39i26.34988,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
