paper_id,title,year,relevance_seed,relevance_final,revised,relevance_justification,subdomains,formal_framework
P053,"A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning",2026,4,4,no,"Tangential: empirical LLM-rater alignment study in educational assessment — relevant as evidence of variable alignment quality between LLM outputs and human ratings, but not the sigma-trap mechanism.",value alignment; interpretability; robustness; ethics,none
P055,"Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Professional Contexts",2026,5,5,no,"Directly relevant: empirical documentation of RLHF alignment failure with proposed mechanistic explanations (reward-model hacking, safety-classifier bypass, objective mismatch); quantified violation rates.",value alignment; interpretability; robustness; governance; ethics,none
P056,Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning,2026,4,3,yes,LLM reasoning-methods paper motivated by reward hacking; tangential to the sigma-trap thesis with no alignment or representation-level framing. Revised down from seed 4.,value alignment; robustness; capabilities,information theory
P057,A Method of Heuristic Human-LLM Collaborative Source Search,2025,3,1,yes,"'Human-AI alignment' refers to coordinating a collaborative source-search heuristic with human intent, not AI value alignment. Off-topic. Revised down from seed 3. Confidence: low.",other,none
P058,Exploring ‘Value Alignment’: A Genealogy and Three Conceptions,2026,4,4,no,Highly relevant to framing: distinguishes three value-alignment conceptions with distinct functions — useful for scoping and for understanding competing definitions in the literature.,value alignment; ethics,none
P061,A Stance Benchmark for Evaluating Value Alignment in LLMs across Sensitive Domains,2026,3,4,yes,Empirical value-alignment evaluation benchmark — directly assesses LLM alignment behavior and relevant background; no schema-coherence framing. Revised up from seed 3.,value alignment; robustness; ethics,none
P062,"The phygital intelligence value experience (PHIVE) matrix: the good, the bad, and the ugly of AI marketing for customer experience design",2026,3,1,yes,"Marketing strategy paper; 'human-value alignment' is an axis for AI customer-experience design, not AI value alignment. Off-topic. Revised down from seed 3. Confidence: low.",other,none
P065,LA-EDPO: Length-Aware Effect-Enhanced Direct Preference Optimization,2026,5,5,no,"Relevant: mechanism analysis of DPO reward hacking via length bias and likelihood drift; relevant to reward-hacking mechanisms in preference optimization, empirical.",value alignment; robustness; ethics; capabilities,information theory
P069,MIRA: An LLM-Driven Dual-Loop Architecture for Metacognitive Reward Design,2025,5,5,no,"Directly relevant: addresses reward misspecification and reward hacking via LLM-driven closed-loop reward refinement; relevant to reward overoptimization, not compositional generalization.",value alignment; interpretability; robustness; ethics; capabilities,other
P071,High-Dimensional Data Stream Classification: Improving Random Patch Online Ensemble Classifier,2025,3,1,yes,Machine-learning methods paper on data-stream classification; unrelated to alignment or the sigma-trap thesis. Revised down from seed 3.,value alignment; robustness,none
P072,Adaptive Prompt Elicitation for Text-to-Image Generation,2026,3,1,yes,"Interactive prompt elicitation aligning text-to-image generation with user intent; this is user-intent alignment in generation interfaces, not AI value alignment. Off-topic. Revised down from seed 3.",other,information theory; other
P074,XAI2Brain: A Perspective on Mechanistic Interpretability for Brain–AI Alignment,2026,5,5,no,"Relevant: conceptual framework linking mechanistic interpretability of internal representations to human-AI alignment; engages internal-representation analysis, a theme related to the sigma-trap but no formal mechanism.",value alignment; interpretability; robustness; governance; ethics; capabilities,game theory
P075,Interactionless Inverse Reinforcement Learning: A Data-Centric Framework for Durable Alignment,2026,4,4,no,"Relevant: framework for durable, editable reward artifacts in alignment; relevant to alignment maintainability and corrigibility, no empirical evidence (blue-sky track).",value alignment; interpretability; robustness; governance; ethics; capabilities,other
P076,Toward Constitutional Autonomy in AI Systems: A Theoretical Framework for Aligned Agentic Intelligence,2026,5,5,no,"Directly proposes an alignment architecture for agentic AI (normative priors, runtime enforcement) — relevant to alignment-failure mechanisms; no compositional or schema-coherence framing.",value alignment; interpretability; robustness; governance; ethics; capabilities,other
P078,Reinforcement Learning With Verifier Guidance and Penalty Shaping for Vietnamese Summarization Using Small Language Models,2026,4,4,no,Relevant to reward-hacking mitigation: verifier-based bounded rewards and penalty shaping to counter reward hacking and factual drift in RL — an alignment-technical contribution in a low-resource language setting.,value alignment; interpretability; robustness; ethics; capabilities,none
P080,A data-driven generative strategy to avoid reward hacking in multi-objective molecular design,2025,4,5,yes,"Directly relevant: explicitly defines reward hacking as prediction-model extrapolation failure outside the training distribution — a canonical instance of the sigma-trap phenomenon (optimization exploiting a proxy beyond its valid domain), in molecular design rather than LLM alignment.",value alignment; capabilities,other
P084,Multi-Metric Preference Alignment for Generative Speech Restoration,2026,4,4,no,Relevant: empirical alignment of generative models to robust multi-metric preferences specifically to avoid reward hacking; relevant to reward hacking mitigation in generative domains.,value alignment; robustness; governance; ethics,none
P091,A Survey on Autonomy-Induced Security Risks in Large Model-Based Agents,2026,5,4,yes,"Survey of agent-security failure modes including emergent misalignment and reward hacking — alignment-adjacent and documents failure mechanisms, but no compositional/schema-coherence analysis. Revised down from seed 5.",value alignment; interpretability; robustness; mesa-optimization; governance; ethics; capabilities,none
P092,Multi-objective reinforcement learning for provably incentivising alignment with value systems,2026,4,4,no,MORL+LP framework for provably incentivising alignment with multiple moral value systems; relevant to value-alignment methods with formal guarantees.,value alignment; robustness; ethics,other
P093,Reinforcement Learning from X-Feedback: Recent Advances and Future Prospects,2026,5,5,no,Relevant as a comprehensive review of RLHF/RLAIF paradigms central to value alignment — useful landscape reference for feedback-based alignment methods.,value alignment; interpretability; ethics; capabilities,information theory; other
P095,Toward Complementary Intelligence: Integrating Cognitive and Machine AI,2026,4,4,no,"Relevant: proposes aligning human and machine representations (embedding integration); relevant to representation-level alignment, conceptual position.",value alignment; interpretability; robustness; ethics; capabilities,none
P096,Machines that halt resolve the undecidability of artificial intelligence alignment,2025,5,5,no,"Directly theoretical treatment of alignment provability and architecture-guaranteed alignment — relevant to the thesis' formal treatment of alignment failure, though focused on computability rather than compositional structure.",value alignment; interpretability; robustness; mesa-optimization; ethics,other
P097,Few-shot Fine-grained Image Classification with Interpretable Prompt Learning through Distribution Alignment,2025,4,1,yes,"'Alignment' refers to aligning model behaviour/distributions with human-preferred fine-grained recognition and to statistical distribution alignment; ML method paper, not AI value alignment. Off-topic. Revised down from seed 4.",other,none
P098,Moral disagreement and the limits of AI value alignment: a dual challenge of epistemic justification and political legitimacy,2025,4,4,no,Directly relevant to pluralism limits of alignment: argues mainstream alignment approaches fail on reasonable moral disagreement — relevant to the value-aggregation problem in the sigma-trap narrative.,value alignment; robustness; governance; ethics,none
P100,RewardHackingAgents: Benchmarking Evaluation Integrity for LLM ML-Engineering Agents,2026,4,4,no,Directly relevant: empirical demonstration of reward hacking via evaluation-pipeline tampering in LLM agents; concrete spec-gaming failure mode with measured frequencies.,value alignment; robustness; governance; capabilities,none
P1003,Truthful or fabricated? Using causal attribution to mitigate reward hacking in explanations,2025,4,4,no,,value alignment; interpretability,none
P1009,Detecting and mitigating reward hacking in reinforcement learning systems: a comprehensive empirical stud,2025,4,4,no,,value alignment,none
P101,Values in science and AI alignment research,2026,4,4,no,"Philosophy-of-science analysis of AI alignment research itself — directly relevant to the epistemology of the alignment field, with no representation-level or compositional framing.",value alignment; interpretability; robustness; mesa-optimization; ethics; capabilities,none
P1010,Training on documents about reward hacking induces reward hacking,2025,4,4,no,,value alignment,none
P1017,Detecting and mitigating reward hacking in reinforcement learning systems: a comprehensive empirical study,2025,4,4,no,,value alignment,none
P1025,"For example, recent instances of ‘reward hacking’ reveal how AI systems can exploit scoring loopholes in tasks assigned by users to maximize rewards—knowingly deviating from user intent—highlighting the dangers of emergent misalignment even in systems capable of understanding their own deception: ‘Recent frontier models are reward hacking",2025,5,5,no,,value alignment; mesa-optimization,none
P1028,Spontaneous Reward Hacking in Iterative Self-Refinement,2024,4,4,no,,value alignment,none
P103,FormFactory: An Interactive Benchmarking Suite for Multimodal Form-Filling Agents,2025,3,2,yes,"Off-topic: 'alignment' here refers to aligning textual instructions with on-screen form fields (GUI task alignment), not value alignment; relevant only as an LLM-agent capability benchmark.",other,other
P105,Moral Anchor System: A Predictive Framework for AI Value Alignment and Drift Prevention,2026,4,4,no,"Relevant: framework for value-drift monitoring and mitigation; relevant to maintaining alignment over time (abstract only, low confidence).",value alignment; robustness; governance; ethics,other
P1053,Helping or herding? Reward model ensembles mitigate but do not eliminate reward hacking,2024,4,4,no,,value alignment,none
P1066,Regularized best-of-n sampling to mitigate reward hacking for language model alignment,2024,4,4,no,,value alignment,none
P1072,Reward hacking in reinforcement learning,2024,4,4,no,"Relevant: method to prevent multi-step reward hacking via myopic optimization with non-myopic approval; relevant to reward-hacking mitigation, empirical.",value alignment; robustness; governance; capabilities,other
P1076,AI value alignment: Aligning AI with human values,2024,4,4,no,,value alignment,none
P1077,"Reinforcement-learning-from-human-feedback (RLHF) is a training approach in which a model first learns to follow instructions through supervised fine-tuning and is then further optimized using reinforcement learning on a reward signal derived from human preference judgments, which in turn helps align model behavior with human values and desired outputs. Eliza Strickland, OpenAI’s Moonshot: Solving the AI Alignment Problem",2024,4,4,no,,value alignment,none
P1084,"regulatory alignment problem” plays upon the broader AI alignment problem, which is “the idea that AI systems’ goals may not align with those of humans, a problem that would be heightened if superintelligent AI systems are developed.” Eliza Strickland, OpenAI’s Moonshot: Solving the AI Alignment Problem",2024,4,4,no,,value alignment; governance,none
P1087,AI Alignment and Social Choice: Fundamental Limitations and Policy Implications,2023,3,4,yes,"Theoretical treatment of value aggregation in alignment (social choice impossibility) — directly relevant to value-alignment theory and its limits, though without schema-coherence framing. Revised up from seed 3.",value alignment; interpretability; governance; ethics,decision theory; other
P109,The economics of p(doom): Scenarios of existential risk and economic growth in the age of transformative AI,2026,5,5,no,"Relevant: economic-welfare analysis justifying investment in alignment research under existential risk; relevant to risk analysis and resource allocation, not mechanisms.",value alignment; robustness; capabilities,other
P1091,AI alignment strategies for AGI safety,2023,4,4,no,,value alignment; robustness,none
P1095,Preventing reward hacking with occupancy measure regularization,2023,4,4,no,,value alignment,none
P1096,"Natural abstractions: Key claims, theorems, and critiques",2023,2,5,yes,Directly concerns the structure of internal representations (natural abstractions) and their role in alignment — closely related to the thesis' schema-coherence/sigma-trap claims and documents a related-concepts thread in the alignment literature. Revised up from seed 2.,value alignment; interpretability,other
P110,A Cognitively Plausible Neural-Symbolic Model for Syntactic Disambiguation in Minimalist Grammar,2026,4,4,no,"Tangentially relevant: addresses compositional structure-coverage failure of neural models and proposes a structure-enforcing hybrid; adjacent to the compositional side of the sigma-trap, but in syntax rather than value alignment.",value alignment; interpretability,other
P1100,EIS VI: Critiques of mechanistic interpretability work in AI safety,2023,4,4,no,,interpretability; robustness,none
P1109,Goal Alignment: A Human-Aware Account of Value Alignment Problem,2023,4,4,no,"Relevant: reformulates value alignment around goal/expectation asymmetry; relevant to the specification gap underlying misalignment, conceptual.",value alignment; interpretability; robustness; ethics; capabilities,decision theory; other
P111,Preventing Process Reward Model Hacking When Training Large Language Models on Verifiable Rewards,2026,4,4,no,"Directly addresses reward hacking as an alignment-training failure mechanism; relevant background, with no schema-coherence framing.",value alignment; interpretability; robustness; capabilities,none
P1112,Barriers to mechanistic interpretability for agi safety,2023,4,4,no,,interpretability; robustness,none
P112,"The Ultimate Consequence: Why Humanity, Not AI, Ends Itself – A Reply to Lavazza and Vilaça",2026,4,4,no,Philosophical critique of value preservation/extraction as a solution to extinction risk; relevant to value alignment foundations and value-selection procedures.,value alignment; robustness; ethics; capabilities,none
P1125,Value Alignment and Ethics for Artificial General Intelligence,2022,4,4,no,,value alignment; ethics,none
P1127,Reward is not enough: A taxonomy of reward hacking,2022,4,4,no,,value alignment,none
P113,Step-GRPO: Enhancing Reasoning Quality and Efficiency via StructurePRM-Based Reinforcement Learning,2026,5,5,no,Relevant to reward-hacking mitigation in reasoning RL: addresses how dense PRM supervision can be exploited (static rewards) and proposes structured step-level integration — an alignment-technical contribution.,value alignment; robustness; governance; ethics; capabilities,information theory
P1141,Norms for Beneficial AI: A Computational Analysis of the Societal Value Alignment Problem,2020,4,4,no,Societal value alignment via norms — relevant background on the value-alignment literature; no internal-representation or compositional framing.,value alignment; interpretability; robustness; governance; ethics; capabilities,game theory
P1145,"AI does not hate you, nor does it love you: understanding the value alignment problem",2020,4,4,no,,value alignment,none
P115,Reflective Agency vs. Sensorimotor Autonomy in the Debate on the Agency of Artificial Cognitive Systems,2025,4,4,no,"Tangentially relevant: philosophical analysis of AI agency within the value alignment discussion; conceptual, no mechanism (abstract only, low confidence).",value alignment; ethics,none
P1153,The necessary roadblock to artificial general intelligence: Corrigibility,2019,4,4,no,,value alignment,none
P116,The Roles of Fairness and Effectiveness in Promoting Legitimacy and Cooperation with Security Robotic Authority,2026,3,2,yes,Empirical HRI study using 'value alignment' as a perceived human-robot attitude construct in the social-psychology sense; tangential to the technical sigma-trap thesis. Revised down from seed 3.,value alignment; interpretability; robustness; governance; ethics,none
P1164,Mimetic vs anchored value alignment in artificial intelligence,2018,3,4,yes,"Theoretical analysis of value alignment from value theory (naturalistic fallacy) — directly relevant to alignment-theory foundations, though without representation-level analysis. Revised up from seed 3.",value alignment; robustness; mesa-optimization; ethics,none
P1177,Social choice and the value alignment problem,2018,4,4,no,,value alignment,none
P118,Coadaptive Value Alignment Blue Sky Ideas Track,2026,4,4,no,"Directly relevant to value alignment theory: challenges unidirectional value-imbuing and treats alignment as coadaptive human-agent interaction — relevant to dynamic alignment targets and trust repair, though not the sigma-trap mechanism.",value alignment; interpretability; robustness; ethics; capabilities,decision theory
P1188,"On the interplay of human-AI alignment, fairness, and performance trade-offs in medical imaging",,3,1,yes,"'Human-AI alignment' refers to incorporating human expert insights into vision-language model training for fairness and OOD generalization, not AI value alignment. Off-topic. Revised down from seed 3.",other,information theory
P1197,The value alignment problem,,4,4,no,Theoretical method for embedding moral values via geometric conceptual spaces without ex-ante utility functions; relevant to value alignment methods.,value alignment; robustness; ethics; capabilities,decision theory
P1198,"Reward-based learning is sensitive to the quality and design of reward functions, risking reward hacking or unintended behaviors",,4,4,no,,value alignment,none
P1200,Causal Reward Adjustment: Mitigating Reward Hacking in External Reasoning via Backdoor Correction,2026,5,4,yes,Directly targets reward hacking (an alignment-training failure) via representation-level causal correction using internal activations; method-level contribution. Revised down from seed 5.,value alignment; interpretability; robustness; ethics; capabilities,information theory; other
P1201,CONFUCIAN ETHICS AND AI ALIGNMENT,2026,4,4,no,Philosophical paper on which ethical theory (Confucianism) should ground AI alignment; relevant to value-alignment normative debates.,value alignment; ethics; capabilities,none
P1202,Intrinsic Barriers and Practical Pathways for Human-AI Alignment: An Agreement-Based Complexity Analysis,2026,5,5,no,"Highly relevant: formal impossibility and achievability results for alignment itself (not just methods) — a rigorous complexity-theoretic limit on encoding human values, closely related to fundamental limits relevant to the sigma-trap framing.",value alignment; robustness; governance; ethics; capabilities,information theory; other
P1203,Incomplete Contracting and Al Alignment,2019,5,5,no,"Directly relevant: theoretical framing of the specification gap in AI alignment via incomplete contracting, emphasizing missing external institutional structure; foundational for alignment theory.",value alignment; robustness; governance; ethics,other
P1204,Minding Motivation: The Effect of Intrinsic Motivation on Agent Behaviors,2025,4,4,no,Relevant: empirical study of reward hacking induced by intrinsic/shaped reward — a concrete specification-vs-proxy reward failure; relevant to reward-hacking mechanisms in RL.,value alignment; governance,information theory
P1205,Empirical Evidence for Alignment Faking in a Small LLM and Prompt-Based Mitigation Techniques,2025,4,4,no,"Directly studies alignment faking, a core alignment-failure / deceptive-alignment phenomenon, and challenges the scale-dependence assumption. Relevant to the thesis' alignment-failure analysis, without representation-level schema-coherence framing.",value alignment; interpretability; robustness; mesa-optimization; governance; ethics; capabilities,other
P1206,A Rolling Stone Gathers No Moss: Adaptive Policy Optimization for Stable Self-Evaluation in Large Multimodal Models,2026,4,4,no,Online RL framework mitigating reward hacking in LMM self-evaluation training via adaptive rewards and dynamic KL; relevant to alignment robustness against reward hacking.,value alignment; capabilities,information theory
P1207,Regularized Best-of-N Sampling with Minimum Bayes Risk Objective for Language Model Alignment,2025,5,5,no,Directly relevant to reward-hacking mitigation: regularizes over-optimization of an imperfect proxy reward at decoding time — an alignment-technical contribution.,value alignment; robustness,decision theory; information theory; other
P1208,Step-GRPO: Enhancing Reasoning Quality and Efficiency via Structured PRM-Based Reinforcement Learning,2026,5,5,no,"Relevant: RL alignment method explicitly addressing reward hacking in reasoning via structured step-level rewards; relevant to reward overoptimization, not compositional generalization.",value alignment,other
P1209,Multi-Metric Preference Alignment for Generative Speech Restoration,2026,4,4,no,"Relevant: preference-based post-training alignment that explicitly designs a robust preference signal to avoid reward hacking; relevant to reward-hacking mitigation in generative alignment (abstract only, low confidence).",value alignment; robustness,other
P1212,Specification-Guided Reinforcement Learning,2026,4,4,no,"Relevant: formal-methods approach to reward hacking and safety-constrained RL; relevant to specification robustness in alignment, no empirical evidence.",value alignment; robustness,other
P1213,Meta Learning for Image Captioning,2019,4,4,no,"Relevant: addresses reward hacking in RL for caption generation by combining supervision with reward optimization; relevant to proxy-reward over-optimization (abstract-based evidence, low confidence).",value alignment,other
P1215,ME: Modelling Ethical Values for Value Alignment,2025,4,4,no,"Proposes mathematical models of ethics as reward function grounding, outperforming hand-programmed rewards; relevant to value alignment methods and reward misspecification.",value alignment; robustness; ethics,none
P1216,Uncovering the Impact of Chain-of-Thought Reasoning for Direct Preference Optimization: Lessons from Text-to-SQL,2025,4,4,no,Relevant to alignment-technical practice: shows CoT reasoning mitigates reward hacking in DPO preference optimization — evidence on how supervision granularity affects over-optimization.,value alignment; robustness; capabilities,none
P1217,Belief-Driven Value Alignment for Human-Robot Collaboration,2026,4,4,no,"Relevant: CIRL-based value alignment method addressing belief-modeling assumptions in human-robot collaboration; relevant to interactive value learning, no mechanism for sigma-trap.",value alignment,other
P1218,AlphaVerus: Bootstrapping Formally Verified Code Generation through Self-Improving Translation and Treefinement,2025,4,4,no,"Relevant: explicitly guards against reward hacking by filtering misaligned specifications during verifier-guided code generation; relevant to specification-misalignment prevention (abstract only, low confidence).",value alignment; robustness,other
P1219,TreeRL: LLM Reinforcement Learning with On-Policy Tree Search,2025,4,3,yes,"LLM RL training method; mentions reward hacking as motivation for avoiding separate process reward models, but the contribution is training efficiency/capability. Revised down from seed 4.",value alignment; capabilities,information theory
P1220,Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models,2026,5,5,no,Directly relevant to reward-hacking avoidance: step-level supervision without reward models; appears to be the same ISLA framework as P028 (duplicate/related paper).,value alignment; capabilities,information theory
P1222,Dynamic Automaton-Guided Reward Shaping for Monte Carlo Tree Search,2021,4,4,no,Relevant: automaton-structured reward shaping to reduce reward hacking from human-aided artificial rewards; relevant to structured reward specification in planning.,value alignment,other
P1223,Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning,2026,4,3,yes,Reasoning-supervision method for RAG; uses reward hacking only as motivation and centers on step-level supervision quality. Revised down from seed 4.,value alignment,information theory
P1225,Approximated Variational Bayesian Inverse Reinforcement Learning for Large Language Model Alignment,2025,4,4,no,Directly relevant to alignment-technical: directly modeling per-demonstration and intermediate rewards to mitigate reward hacking and improve reward representation/generalization.,value alignment; capabilities,information theory
P1227,Deciphering AI Decision-Making: A Generalizable Framework of Human-AI Misalignment,2024,4,4,no,"Tangentially relevant: framework proposal for measuring human-AI decision misalignment; methodological agenda, no mechanism or evidence (abstract only, low confidence).",value alignment; capabilities,none
P1228,Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training,2025,4,4,no,RL training method that directly designs reward to alleviate reward hacking in reasoning/critique alignment; contribution-level engagement with an alignment-training failure mode.,value alignment; capabilities,none
P1230,Challenges and Choices when Evaluating Alignment in Human-AI Systems,2025,4,4,no,"Relevant: methodological discussion of evaluating AI alignment outcomes; relevant to alignment evaluation, position/conceptual.",value alignment,none
P1232,Aligning Large Multimodal Models with Factually Augmented RLHF,2024,5,4,yes,Alignment training method for multimodal models targeting cross-modal misalignment/hallucination; technical method-level relevance. Revised down from seed 5.,value alignment; capabilities,none
P1239,Why the Failure? How Adversarial Examples Can Provide Insights for Interpretable Machine Learning,2018,4,2,yes,Off-topic: adversarial robustness and interpretability in military ML; no value-alignment content beyond generic trustworthiness concern.,robustness,none
P124,Winning at All Cost: A Small Environment for Eliciting Specification Gaming Behaviors in Large Language Models,2026,4,4,no,"Directly relevant: empirical demonstration of specification gaming (a Goodhart-type failure) in frontier LLMs, quantified across models and prompt framing; direct empirical evidence of reward/specification hacking.",value alignment; robustness; mesa-optimization; capabilities,game theory
P1242,SEAL: Systematic Error Analysis for Value ALignment,2025,5,5,no,Metrics for systematic error analysis of RLHF reward models; strongly relevant to diagnosing reward misgeneralization and alignment failure. Confidence: moderate.,value alignment; robustness; ethics; capabilities,other
P1245,Second Thoughts are Best: Learning to Re-AlignWith Human Values from Text Edits,2022,4,4,no,"Relevant: method for value re-alignment via edit-chain modeling; relevant to value-alignment training approaches (abstract only, low confidence).",value alignment; interpretability,other
P1246,"Taming Simulators: Challenges, Pathways and Vision for the Alignment of Large Language Models",2023,5,5,no,"Directly addresses foundational alignment-failure concepts: the simulator/agent distinction, emergence of simulacra from internal processes, and mesa-optimization — central to the thesis' alignment-failure analysis.",value alignment; interpretability; robustness; mesa-optimization; governance; ethics; capabilities,none
P1247,Nothing ComesWithout Its World - Practical Challenges of Aligning LLMs to Situated Human Values through RLHF,2024,4,4,no,Perspective on situated-values critique of RLHF; relevant to pluralism and fairness critiques of alignment practice. Confidence: low.,value alignment; ethics,none
P1248,Beyond Patches: Mining Interpretable Part-Prototypes for Explainable AI,2026,4,2,yes,Tangential: interpretability/XAI contribution where 'aligned' means understandable decisions matching human expectations; not value alignment or the sigma-trap mechanism.,interpretability,none
P1252,Attribution Analysis-based Concept Alignment: A Human-in-the-loop Data Debugging Framework,2026,4,4,no,Tangential but adjacent to schema coherence: 'human-AI alignment' here is concept-focus alignment for data debugging — aligns which concepts the model attends to with human-attended concepts; interpretability contribution rather than value alignment.,interpretability,none
P1257,Synthesis and Properties of Optimally Value-Aligned Normative Systems,2022,4,4,no,Directly relevant: formal game-theoretic treatment of value-aligned normative systems with provable guarantees — relevant to how alignment with values can be designed and analyzed at the system level.,value alignment; interpretability; governance; ethics,game theory; other
