paper_id,year,publication_type,evidence_basis,citation_count,D1,D6,D2,D3,D4,D5,D7,D8,composite,tier,weight_set,notes,low_credibility
P015,2026,review,abstract,,2,,1,2,,3,1,2,2.06,C,pos_review,moved:datasets_used(review) | moved:sample_size(review) | moved:effect_sizes(review) | | moved:datasets_used(review) | moved:sample_size(review) | moved:effect_sizes(review) | d1:doi_peer | d6:n/a citation_count missing; AF/LW inbound supplement required (quality-criteria.md §8.2) | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
P016,2026,empirical,full-text,0,2,3,1,2,2,3,2,3,2.20,C,empirical,ft_file=Belief-Driven Value Alignment for Human-Robot Collaboration.pdf | ft_file=Belief-Driven Value Alignment for Human-Robot Collaboration.pdf | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P017,2026,empirical,full-text,,2,,1,2,2,3,2,3,2.06,C,empirical,ft_file=Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination.pdf | ft_file=Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination.pdf | d1:proceedings | d6:n/a citation_count missing; AF/LW inbound supplement required (quality-criteria.md §8.2) | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P018,2026,theoretical,full-text,0,2,3,1,2,,3,2,2,2.25,C,theoretical,ft_file=Alignment with Psychological Concept Network.pdf | ai-revised:publication_type=review->theoretical | ft_file=Alignment with Psychological Concept Network.pdf | ai-revised:publication_type=review->theoretical | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=2,0
P019,2026,empirical,full-text,0,2,3,1,2,2,3,1,2,2.10,C,empirical,ft_file=Data sparse inference of operator spatial reward models in uncertain environments.pdf | ai-revised:publication_type=other->empirical | moved:formal_framework(none->other) | ft_file=Data sparse inference of operator spatial reward models in uncertain environments.pdf | ai-revised:publication_type=other->empirical | moved:formal_framework(none->other) | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
P020,2026,review,full-text,0,2,3,1,2,,3,1,2,2.20,C,pos_review,"ft_file=Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints.pdf | ft_file=Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints.pdf | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=2",0
P021,2026,other,full-text,0,2,3,2,2,,3,1,3,2.50,B,pos_review,"ft_file=Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures.pdf | ft_file=Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures.pdf | d1:proceedings | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3",0
P022,2026,empirical,full-text,0,2,3,2,2,2,3,2,3,2.35,C,empirical,ft_file=Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning.pdf | ft_file=Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning.pdf | d1:proceedings | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P023,2025,theoretical,full-text,0,2,0,2,2,,3,1,3,1.95,C,theoretical,ft_file=How Proportional Representation Can Shape Artificial Intelligence.pdf | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3 | ft_file=How Proportional Representation Can Shape Artificial Intelligence.pdf | d1:proceedings | d6:cohort zero citations after grace period,0
P024,2026,opinion,abstract,0,2,3,3,2,,3,1,3,2.65,B,pos_review,d1:doi_peer | d6:cohort p77 | scored:D2=3 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0
P025,2026,review,full-text,4,3,4,1,2,,3,2,2,2.50,B,pos_review,"ft_file=A comprehensive introspection on AI risks: taxonomy, challenges, and future directions.pdf | ft_file=A comprehensive introspection on AI risks: taxonomy, challenges, and future directions.pdf | d1:journal | d6:cohort p100 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=2",0
P026,2026,empirical,full-text,0,2,3,1,2,2,3,1,2,2.10,C,empirical,ft_file=Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation.pdf | ft_file=Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation.pdf | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
P027,2026,review,full-text,0,2,3,1,2,,3,1,2,2.20,C,pos_review,ft_file=ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI.pdf | ft_file=ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI.pdf | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
P028,2026,empirical,full-text,0,2,3,1,2,2,3,1,3,2.15,C,empirical,ft_file=Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models.pdf | ft_file=Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models.pdf | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0
P029,2026,position,full-text,0,2,3,2,2,,3,2,3,2.55,B,pos_review,ft_file=Justifications for Democratizing AI Alignment and Their Prospects.pdf | ai-revised:publication_type=empirical->position | moved:methodology(position) | ft_file=Justifications for Democratizing AI Alignment and Their Prospects.pdf | ai-revised:publication_type=empirical->position | moved:methodology(position) | d1:doi_peer | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P030,2026,other,abstract,0,2,3,3,2,,3,1,3,2.65,B,pos_review,d1:doi_peer | d6:cohort p77 | scored:D2=3 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0
P031,2026,empirical,full-text,0,2,3,2,2,1,3,1,3,2.10,C,empirical,ft_file=Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?.pdf | ft_file=Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?.pdf | d1:doi_peer | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D4=1 | scored:D5=3 | scored:D7=1 | scored:D8=3,0
P032,2025,empirical,full-text,13,3,4,1,2,2,3,1,3,2.40,B,empirical,ft_file=The specification game: rethinking the evaluation of drug response prediction for precision oncology.pdf | pilot-reconcile: D2=1 (bioinformatics prominence != safety track record) | D4=2 (no released code) | D8=3 (builds on DRP eval lit) | ft_file=The specification game: rethinking the evaluation of drug response prediction for precision oncology.pdf | d1:journal | d6:cohort p87,0
P033,2026,empirical,full-text,2,2,4,1,2,2,3,1,2,2.25,C,empirical,ft_file=AI-exhibited Personality Traits Can Shape Human Self-concept through Conversations.pdf | ai-revised:methodology=analysis->experiment | ft_file=AI-exhibited Personality Traits Can Shape Human Self-concept through Conversations.pdf | ai-revised:methodology=analysis->experiment | d1:proceedings | d6:cohort p96 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
P034,2026,empirical,full-text,1,2,4,1,2,2,2,2,2,2.15,C,empirical,"ft_file=Towards a societal AI alignment benchmark for evaluating human-machine value convergence.pdf; pilot=manual-review | pilot-reconcile: D2=1 (academic, not safety researchers) | D4=2 (documented survey, no prereg) | D5=2 (modest argumentative depth) | ft_file=Towards a societal AI alignment benchmark for evaluating human-machine value convergence.pdf; pilot=manual-review | d1:doi_peer | d6:cohort p91",0
P035,2026,empirical,full-text,3,2,4,1,2,2,3,2,2,2.30,C,empirical,"ft_file=AI and My Values: User Perceptions of LLMs' Ability to Extract, Embody, and Explain Human Values from Casual Conversations.pdf | ai-revised:publication_type=theoretical->empirical | ai-revised:methodology=not_applicable->experiment | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=2 | ft_file=AI and My Values: User Perceptions of LLMs' Ability to Extract, Embody, and Explain Human Values from Casual Conversations.pdf | ai-revised:publication_type=theoretical->empirical | ai-revised:methodology=not_applicable->experiment | d1:proceedings | d6:cohort p97",0
P036,2026,other,full-text,1,2,4,1,2,,3,2,2,2.40,B,pos_review,ft_file=Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework.pdf | ft_file=Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework.pdf | d1:doi_peer | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=2,0
P037,2026,empirical,full-text,0,2,3,1,2,2,3,2,2,2.15,C,empirical,ft_file=Interpretable group gated priority traces for scalarized multi-objective reinforcement learning in autonomous drone operations.pdf | ai-revised:subdomains=value alignment; interpretability; robustness; governance; ethics->interpretability; robustness | ft_file=Interpretable group gated priority traces for scalarized multi-objective reinforcement learning in autonomous drone operations.pdf | ai-revised:subdomains=value alignment; interpretability; robustness; governance; ethics->interpretability; robustness | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=2,0
P038,2026,empirical,full-text,1,2,4,1,2,2,3,2,2,2.30,C,empirical,ft_file=Towards Aligning Multimodal LLMs with Human Experts: A Focus on Parent-Child Interaction.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | ft_file=Towards Aligning Multimodal LLMs with Human Experts: A Focus on Parent-Child Interaction.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | d1:proceedings | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=2,0
P039,2026,position,full-text,1,2,4,1,2,,3,2,3,2.55,B,pos_review,ft_file=Will power-seeking AGIs harm human society?.pdf | ft_file=Will power-seeking AGIs harm human society?.pdf | d1:doi_peer | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P040,2025,opinion,full-text,6,2,4,1,2,,3,2,2,2.40,B,pos_review,ft_file=A sociotechnological-system approach to AI ethics.pdf; pilot=manual-review | pilot-reconcile: D5=3 (structured philosophical argument) | D7=2 (no explicit threat model) | ft_file=A sociotechnological-system approach to AI ethics.pdf; pilot=manual-review | d1:doi_peer | d6:cohort p80,0
P041,2026,empirical,full-text,0,2,3,1,2,2,3,2,2,2.15,C,empirical,ft_file=Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->analysis | ft_file=Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->analysis | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=2,0
P042,2026,position,full-text,0,2,3,2,2,,3,2,3,2.55,B,pos_review,"ft_file=Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective.pdf | ai-revised:publication_type=empirical->position | ai-revised:methodology=experiment->not_applicable | ft_file=Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective.pdf | ai-revised:publication_type=empirical->position | ai-revised:methodology=experiment->not_applicable | d1:proceedings | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3",0
P043,2026,position,abstract,0,2,3,1,2,,3,2,3,2.40,B,pos_review,d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P044,2026,empirical,full-text,0,2,3,1,2,1,3,2,3,2.00,C,empirical,ft_file=Parallel Diffusion Solver via Residual Dirichlet Policy Optimization.pdf | ft_file=Parallel Diffusion Solver via Residual Dirichlet Policy Optimization.pdf | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=1 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P045,2026,empirical,abstract,1,2,4,1,2,2,3,1,2,2.25,C,empirical,d1:doi_peer | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
P046,2025,theoretical,full-text,3,2,3,2,3,,3,2,3,2.70,B,theoretical,ft_file=Multi-objective reinforcement learning for designing ethical multi-agent environments.pdf | ai-revised:publication_type=other->theoretical | scored:D2=2 | scored:D3=3 | scored:D5=3 | scored:D7=2 | scored:D8=3 | ft_file=Multi-objective reinforcement learning for designing ethical multi-agent environments.pdf | ai-revised:publication_type=other->theoretical | d1:doi_peer | d6:cohort p69,0
P047,2026,empirical,abstract,1,2,4,1,2,2,2,2,2,2.15,C,empirical,ai-revised:subdomains=value alignment; robustness->other | | ai-revised:subdomains=value alignment; robustness->other | d1:doi_peer | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=2 | scored:D7=2 | scored:D8=2,0
P048,2026,theoretical,abstract,0,2,3,3,2,,3,1,3,2.55,B,theoretical,ai-revised:publication_type=empirical->theoretical | | ai-revised:publication_type=empirical->theoretical | d1:doi_peer | d6:cohort p77 | scored:D2=3 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0
P049,2026,empirical,full-text,0,2,3,1,2,2,3,1,3,2.15,C,empirical,ft_file=FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making.pdf | ft_file=FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making.pdf | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0
P050,2025,empirical,full-text,1,2,2,1,2,2,3,1,3,2.00,C,empirical,ft_file=Reward Hacking Mitigation using Verifiable Composite Rewards.pdf | moved:formal_framework(none->other) | ft_file=Reward Hacking Mitigation using Verifiable Composite Rewards.pdf | moved:formal_framework(none->other) | d1:proceedings | d6:cohort p51 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0
P051,2026,empirical,abstract,0,2,3,1,2,2,3,1,2,2.10,C,empirical,d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
P052,2025,position,abstract,3,2,3,2,2,,3,1,4,2.65,B,pos_review,d1:doi_peer | d6:cohort p69 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=4,0
P053,2026,empirical,full-text,1,2,4,1,2,2,3,2,2,2.30,C,empirical,"ft_file=A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning.pdf | ft_file=A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning.pdf | d1:doi_peer | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=2",0
P054,2026,theoretical,full-text,0,2,3,1,2,,3,1,2,2.20,C,theoretical,ft_file=NP-Hard Lower Bound Complexity for Semantic Self-Verification.pdf | ai-revised:publication_type=position->theoretical | moved:effect_sizes(theoretical) | ft_file=NP-Hard Lower Bound Complexity for Semantic Self-Verification.pdf | ai-revised:publication_type=position->theoretical | moved:effect_sizes(theoretical) | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
P055,2026,empirical,full-text,0,2,3,1,2,2,3,2,3,2.20,C,empirical,"ft_file=Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Professional.pdf | ft_file=Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Professional.pdf | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=3",0
P056,2026,empirical,full-text,0,2,3,1,2,2,3,1,2,2.10,C,empirical,ft_file=Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning.pdf | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2 | ft_file=Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning.pdf | d1:proceedings | d6:cohort p77,0
P057,2025,empirical,abstract,,3,,1,2,2,2,1,1,1.82,C,empirical,ai-revised:subdomains=value alignment->other | | ai-revised:subdomains=value alignment->other | d1:journal | d6:n/a citation_count missing; AF/LW inbound supplement required (quality-criteria.md §8.2) | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=2 | scored:D7=1 | scored:D8=1,0
P058,2026,theoretical,abstract,0,2,3,1,2,,3,1,2,2.20,C,theoretical,ai-revised:publication_type=other->theoretical | | ai-revised:publication_type=other->theoretical | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
P059,2026,empirical,abstract,4,2,4,1,2,2,3,1,2,2.25,C,empirical,d1:doi_peer | d6:cohort p100 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
P060,2026,empirical,full-text,0,2,3,3,2,2,3,1,3,2.45,B,empirical,ft_file=Heterogeneous Value Alignment Evaluation for Large Language Models.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | ft_file=Heterogeneous Value Alignment Evaluation for Large Language Models.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | d1:doi_peer | d6:cohort p77 | scored:D2=3 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0
P061,2026,empirical,abstract,0,2,3,2,2,2,3,1,3,2.30,C,empirical,d1:proceedings | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0
P062,2026,other,abstract,0,3,3,1,2,,2,1,2,2.05,C,pos_review,ai-revised:subdomains=value alignment; capabilities->other | | ai-revised:subdomains=value alignment; capabilities->other | d1:journal | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=2 | scored:D7=1 | scored:D8=2,0
P063,2026,empirical,full-text,0,2,3,1,2,2,3,2,3,2.20,C,empirical,ft_file=Communication Enables Cooperation in LLM Agents: A Comparison with Curriculum-Based Approaches.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | ft_file=Communication Enables Cooperation in LLM Agents: A Comparison with Curriculum-Based Approaches.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P064,2026,empirical,abstract,1,2,4,1,2,2,3,1,2,2.25,C,empirical,ai-revised:publication_type=review->empirical | ai-revised:methodology=not_applicable->analysis | | ai-revised:publication_type=review->empirical | ai-revised:methodology=not_applicable->analysis | d1:doi_peer | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0
P065,2026,empirical,full-text,0,2,3,1,2,2,3,2,3,2.20,C,empirical,ft_file=LA-EDPO: Length-Aware Effect-Enhanced Direct Preference Optimization.pdf | ft_file=LA-EDPO: Length-Aware Effect-Enhanced Direct Preference Optimization.pdf | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0
P066,2026,empirical,full-text,0,3,3,1,2,2,2,2,2,2.10,C,empirical,ft_file=On Algorithmic Ethics: Examining AI Decision-Making Mechanisms From the Perspective of Kant's Moral Philosophy.pdf | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=2 | scored:D7=2 | scored:D8=2 | ft_file=On Algorithmic Ethics: Examining AI Decision-Making Mechanisms From the Perspective of Kant's Moral Philosophy.pdf | d1:journal | d6:cohort p77,0
P067,2026,other,abstract,0,2,3,1,2,,2,1,2,1.95,C,pos_review,d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=2 | scored:D7=1 | scored:D8=2,0
P068,2025,empirical,full-text,15,2,4,1,2,3,3,2,2,2.50,B,empirical,ft_file=LLM ethics benchmark: a three-dimensional assessment system for evaluating moral reasoning in large language models.pdf | ft_file=LLM ethics benchmark: a three-dimensional assessment system for evaluating moral reasoning in large language models.pdf | d1:doi_peer | d6:cohort p89 | scored:D2=1 | scored:D3=2 | scored:D4=3 | scored:D5=3 | scored:D7=2 | scored:D8=2,0
