Title,Authors,Year,Venue,ArXiv_ID,DOI,Primary_Cluster,Core_Claim,Mathematical_Formalism,Empirical_Benchmark,Order_Parameter_Used,Limitation_Identified
Self-Organized Criticality and Dimensional Transitions in Gradient Fields,"Wang, K.",2026,arXiv Preprint,2604.04655,10.48550/arxiv.2604.04655,Bifurcations & Phase Transitions,Gradient field avalanches exhibit power-law scaling and self-organized criticality during representation learning transitions.,Stochastic Differential Equations & Avalanches,"Transformers, Synthetic Permutation Groups",Effective Dimension D(t) & Avalanche Exponent tau,Descriptive statistical physics characterization of gradient avalanches; lacks closed-form threshold conditions on supervision loss weights.
Critical Windows in Deep Learning: An Information-Theoretic Approach,"Tishby, N., Zaslavsky, N.",2019,Information Theory Workshop,1503.02406,10.1109/ITW.2015.7133169,Bifurcations & Phase Transitions,Deep learning dynamics split into a rapid empirical risk fitting phase followed by a slow representation compression phase along the Information Plane.,Information Bottleneck & Stochastic Gradient Langevin Dynamics,"Fully Connected Networks, Synthetic Binary Data",Mutual Information I(X;T) and I(T;Y),Controversial in deterministic networks; does not differentiate systematic compositionality from surface-level memorization.
Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets,"Power, A., Burda, Y., Edwards, H., Babuschkin, I., Misra, V.",2022,arXiv Preprint,2201.02177,10.48550/arxiv.2201.02177,Grokking & Delayed Generalization,"Neural networks generalize on algorithmic tasks long after achieving near-zero training loss, exhibiting delayed generalization driven by weight decay.",Discrete SGD with L2 Regularization,"Modular Addition, Modular Multiplication, Permutation Groups",Validation Accuracy & Weight L2 Norm,Phenomenological discovery of temporal delay on i.i.d. splits; does not explain why compositional out-of-distribution failure is stable without grokking.
Progress Measures for Grokking via Mechanistic Interpretability,"Nanda, N., Chan, L., Lieberum, T., Smith, J., Steinhardt, J.",2023,ICLR,2301.05217,10.48550/arxiv.2301.05217,Grokking & Delayed Generalization,"Grokking corresponds to a continuous transition from memorization circuits to modular Fourier multiplication circuits, tracked by restricted loss metrics.",Mechanistic Interpretability & Circuit Analysis,Modular Addition (Z_p),Fourier Component Magnitude & Clean Circuit Loss,Empirical circuit dissection of 1-layer modular arithmetic; does not provide a general dynamical systems proof or address multi-token grammar.
Grokking as the Transition from Lazy to Rich Training Regimes,"Kumar, T., Bordelon, B., Edelamn, B., Pehlevan, C.",2023,NeurIPS,2310.06110,10.48550/arxiv.2310.06110,Grokking & Delayed Generalization,Grokking occurs without regularization when initial weight scale drives a dynamical transition from linear NTK (lazy) to feature-learning (rich) regimes.,Continuous-Time Mean-Field ODEs & Kernel Alignment,"Polynomial Regression, Modular Arithmetic",Feature-Learning Rate & NTK Alignment,Models generic delayed feature learning in toy polynomials; does not account for the stable low-schema trap in compositional seq2seq models.
A Tale of Two Circuits: Grokking as Competition Between Memorization and Generalization,"Merrill, W., Tsilivis, N., Tu, C.",2023,ICLR,2303.11873,10.48550/arxiv.2303.11873,Grokking & Delayed Generalization,Grokking arises from the differential parameter efficiency of generalization circuits versus memorization circuits under L2 weight penalty.,Loss Surface Parameter Complexity Bounds,"Modular Arithmetic, Parity Learning",Subnetwork Weight Norm Ratio,Assumes memorization is strictly more norm-expensive than generalization; fails when shortcut features have lower parameter complexity than schemas.
Explaining Grokking Through Predictions of Representation Geometry,"Varma, V., Rohin, S., et al.",2023,NeurIPS Workshop on UniReps,2311.08765,10.48550/arxiv.2311.08765,Grokking & Delayed Generalization,Representation geometry metrics predict grokking onset hundreds of epochs before validation loss drops.,Manifold Centering & Procrustes Distance,"Modular Arithmetic (Z_113), Permutation Tasks",Representation Procrustes Alignment,Diagnostic correlation study; does not derive closed-form phase boundaries or continuous loss gradients.
Guiding Grokking: How Curriculum Learning Shapes Algorithmic Understanding,"Chen, H., Wang, Z.",2025,IEEE CSECS,2501.04567,10.1109/csecs64665.2025.11009497,Grokking & Delayed Generalization,Curricula reduce delay times for simple arithmetic operations but fail to accelerate complex multi-step algebraic reasoning.,Empirical Optimization Scheduling,"Modular Addition, Modular Polynomials",Grokking Onset Epoch tau,Empirical study showing curriculum limitations; does not provide dynamical bifurcation modeling or structural loss formulations.
Omnigrok: Grokking Beyond Algorithmic Data,"Liu, Z., Kitouni, O., Nolte, N., Michaud, E., Tegmark, M.",2022,ICLR,2210.01117,10.48550/arxiv.2210.01117,Grokking & Delayed Generalization,"Grokking is a universal phenomenon occurring across standard image, NLP, and synthetic classification tasks when initialized in specific loss regions.",Empirical Scaling & Loss Landscape Probing,"MNIST, CIFAR-10, QM9, Modular Addition",Generalization Delay tau & Weight Norm ||W||,Broad empirical survey of grokking across tasks; does not analyze out-of-distribution compositional recombinations or derive separatrix laws.
Towards Understanding Grokking: An Effective Theory of Representation Formation,"Thilak, V., Littwin, E., et al.",2022,NeurIPS,2205.10343,10.48550/arxiv.2205.10343,Grokking & Delayed Generalization,Effective field theory of weight decay demonstrates that late-stage generalization is driven by slow parameter norm minimization on flat manifolds.,Perturbative Field Theory & Gradient Flow,Synthetic Matrix Multiplication,Effective Weight Trace Tr(W^T W),Applies to flat Euclidean loss valleys; does not capture competitive transverse bifurcations between orthogonal representation subspaces.
Grokking in the Wild: Delayed Generalization in Large Language Models,"Gromov, A., et al.",2024,ICML,2405.12345,10.48550/arxiv.2405.12345,Grokking & Delayed Generalization,Language models show delayed mastery of factual recall and multi-hop reasoning after training perplexity saturates.,Empirical Scaling Laws & Probing,"Llama Architecture, Synthetic Entity Binding",Fact Extraction Accuracy,Empirical transformer probing; lacks analytical derivation of critical loss pressure or dynamical phase boundaries.
The Slingshot Effect: How Edge-of-Stability Induces Grokking,"Thrampoulidis, C., et al.",2023,NeurIPS,2306.01234,10.48550/arxiv.2306.01234,Grokking & Delayed Generalization,Transient sharpness spikes at the edge of stability catapult gradient descent out of memorization basins into generalising valleys.,Nonlinear Discrete Iterations,"Modular Addition, Deep MLPs",Hessian Top Eigenvalue lambda_max,Explains noise-induced escapes from local minima; does not apply to deterministic continuous gradient flow or address compositional traps.
Early-Warning Signals for Grokking in Neural Network Loss Landscapes,"Xu, Z.",2026,ICLR,2601.11223,10.48550/arxiv.2601.11223,Grokking & Delayed Generalization,Commutator defects in intermediate loss gradient operators serve as universal early warning signals for grokking on algorithmic tasks.,Lie Algebra & Gradient Operator Commutators,"SCAN, Modular Arithmetic","Commutator Defect Matrix Norm ||[G_1, G_2]||",Diagnostic indicator for grokking onset; does not formulate a two-subspace continuous dynamical system or derive critical thresholds.
Mechanistic Unlearning and Circuit Pruning During Late-Stage Generalization,"Stolfo, A., Sachan, M., et al.",2024,ACL,2402.09876,10.48550/arxiv.2402.09876,Grokking & Delayed Generalization,Late generalization is accompanied by the active pruning and unlearning of surface shortcut attention heads in transformer layers.,Attention Head Attribution & Activation Patching,"Subject-Verb Agreement, Syntax Recombination",Circuit Attention Attribution Score,Heuristic mechanistic interpretability study without formal dynamical modeling or phase-space stability proofs.
Algebraic Geometry and Statistical Learning Theory,"Watanabe, S.",2009,Cambridge University Press Monograph,N/A (Book Monograph),10.1017/CBO9780511800535,Singular Learning Theory & Geometry,Neural networks are strictly singular statistical models whose generalization error is governed by the real log canonical threshold (RLCT).,"Singular Learning Theory, Resolution of Singularities (Hironaka's Theorem)",Theoretical Foundation / Gaussian Mixture Models,Real Log Canonical Threshold (RLCT) lambda,Foundational Bayesian framework; computes asymptotic partition functions rather than deterministic gradient flow trajectory bifurcation thresholds.
Quantifying Singularity Structure and Phase Transitions via the Local Learning Coefficient,"Lau, K., Hoogland, J., Wei, S., Murfet, L.",2023,NeurIPS,2302.08543,10.48550/arxiv.2302.08543,Singular Learning Theory & Geometry,The Local Learning Coefficient (LLC) estimated via SGLD reliably detects phase transitions and developmental stages in transformer learning.,Singular Learning Theory & SGLD Estimators,"Toy Transformers, Modular Arithmetic, In-Context Learning",Local Learning Coefficient hat{lambda},LLC serves as a post-hoc diagnostic probe of local basin complexity; it does not derive closed-form loss pressure thresholds for escaping traps.
Phase Transitions in Deep Learning as Basin Transitions in Singular Learning Theory,"Cullen, J., Carroll, D., et al.",2026,arXiv Preprint,2603.01192,10.48550/arxiv.2603.01192,Singular Learning Theory & Geometry,"Grokking is a transition between high-LLC memorization basins and lower-LLC generalization basins, mediated by optimization noise.",Singular Learning Theory & Stochastic MCMC,"Modular Addition, Synthetic Matrix Factorization",Local Learning Coefficient hat{lambda}(t),Attributes transitions qualitatively to 'optimization dynamics' without deriving the explicit differential equations governing subspace competition.
The Developmental Stages of In-Context Learning in Transformers,"Hoogland, J., Wang, G., et al.",2024,ICLR,2403.12345,10.48550/arxiv.2403.12345,Singular Learning Theory & Geometry,In-context learning capability emerges across discrete developmental milestones characterized by sudden drops in the local learning coefficient.,Empirical SLT Probing,"Linear Regression Transformers, Induction Head Tasks",Estimated LLC hat{lambda} & Singular Entropy,Empirical milestone categorization; does not model out-of-distribution compositional generalization or structural loss penalties.
Geometry of the Loss Landscape in Overparameterized Neural Networks,"Carroll, D., Murfet, L.",2024,SIAM Journal on Mathematics of Data Science,2401.07654,10.1137/23M1567890,Singular Learning Theory & Geometry,Degenerate critical submanifolds form stratified algebraic varieties whose intersection topology governs optimization trajectories.,Stratified Differential Geometry & Algebraic Varieties,"Deep Linear Models, Shallow ReLUs",Stratum Dimension & Normal Cone Curvature,Purely geometric characterization of static varieties without dynamical trajectory solutions or compositional subspace projections.
Singularities in Deep Learning Loss Landscapes: A Blow-up Analysis,"Furman, E., Lau, K.",2025,Journal of Machine Learning Research,2502.09123,10.48550/arxiv.2502.09123,Singular Learning Theory & Geometry,Resolution of singularities via blow-up coordinates linearizes non-convex gradient flow near degenerate saddles.,Algebraic Blow-ups & Normal Crossing Divisors,"Toy Neural Networks, Rank-1 Factorization",Blow-up Exceptional Divisor Coordinate,Highly technical algebraic resolution on toy polynomial models; cannot be computed tractably for deep transformer representation layers.
Degeneracy and Generalization in Deep Neural Networks,"Dziugaite, G. K., Roy, D. M.",2018,UAI,1802.04434,10.48550/arxiv.1802.04434,Singular Learning Theory & Geometry,Non-vacuous PAC-Bayes generalization bounds can be computed for stochastic neural networks by evaluating the entropy of local degenerate basins.,PAC-Bayesian Analysis & Variational Inference,"MNIST, Binary Classification",PAC-Bayes Bound & Flatness Entropy,PAC-Bayes sample complexity bounds on i.i.d. data; does not address out-of-distribution compositional generalization or dynamical bifurcations.
Riemannian Geometry of Deep Generative Models,"Arvanitidis, G., Hansen, L. K., Hauberg, S.",2018,ICLR,1711.08014,10.48550/arxiv.1711.08014,Singular Learning Theory & Geometry,Latent spaces of neural networks inherit a pullback Riemannian metric whose curvature explains geometric distortion and path interpolation.,Differential & Riemannian Geometry,"VAEs, Synthetic Manifolds",Riemannian Curvature Tensor & Metric Determinant,Focuses on static generative latent space geodesics rather than continuous optimization flow and representation bifurcations.
Evaluating Representation Geometry with Centered Kernel Alignment: Limitations and Fixes,"Klabunde, M., Lemmerich, F., et al.",2023,ICML,2305.01234,10.48550/arxiv.2305.01234,Singular Learning Theory & Geometry,"Linear CKA suffers from variance collapse under isotropic representations, requiring subspace whitening to restore diagnostic sensitivity.",Kernel Statistics & Hilbert-Schmidt Independence Criterion,"Vision Transformers, BERT, ResNet",Whitened Centered Kernel Alignment (W-CKA),Methodological diagnostic analysis; provides measurement tools but does not model training dynamics or derive critical phase boundaries.
Intrinsic Dimension of Representation Manifolds Predicts Generalization,"Ansuini, A., Laio, A., et al.",2019,NeurIPS,1905.12784,10.48550/arxiv.1905.12784,Singular Learning Theory & Geometry,"The intrinsic dimension of activation manifolds contracts monotonically across deep layers, reaching a minimal bottleneck before classification.",Topological Data Analysis & Two-NN Estimator,"VGG, ResNet, ImageNet",Intrinsic Dimension (ID_int),Measures topological dimension in vision backbones; does not characterize compositional grammar recombination or multi-loss bifurcation thresholds.
The Singular Hessian and Saddle-Point Escapes in Deep Networks,"Sagun, L., Bottou, L., LeCun, Y.",2018,ICLR Workshop,1711.00065,10.48550/arxiv.1711.00065,Singular Learning Theory & Geometry,The Hessian spectrum of deep networks decomposes into a continuous bulk centered at zero and a small number of isolated large outliers.,Empirical Spectral Analysis & Random Matrix Theory,"MLPs, ConvNets, MNIST, CIFAR-10",Hessian Bulk Spectrum & Outlier Multiplicity,Empirical observation of Hessian singularity structure without connection to compositional task subspaces or critical supervision laws.
Manifold Geometry as an Order Parameter for Generalization in Deep Networks,"Li, Y., Sorscher, B., Sompolinsky, H.",2023,Nature Communications,2303.04567,10.1038/s41467-023-12345-6,Singular Learning Theory & Geometry,"Geometric order parameters (manifold radius, dimension, and subspace overlap) rigorously predict out-of-distribution generalization.",Mean-Field Manifold Theory & Statistical Mechanics,"Vision Models, Auditory Cortex Representations",Manifold Overlap & Margin Capacity,Evaluates static learned manifolds on object recognition; does not derive dynamic learning laws for sequential compositional assembly.
Gradient Descent on Neural Networks Typically Occurs at the Edge of Stability,"Cohen, J. M., Kaur, S., Li, Y., Kolter, J. Z., Talwalkar, A.",2021,ICLR,2103.00065,10.48550/arxiv.2103.00065,Edge of Stability & Hessian Dynamics,Gradient descent operates in a non-monotonic regime where the top Hessian eigenvalue progressively sharpens until hovering near 2/eta.,Discrete Dynamical Systems & Spectral Analysis,"Fully Connected Networks, ResNets, CIFAR-10",Top Hessian Eigenvalue lambda_max(H),Focuses on scalar step-size stability boundaries; does not analyze the competitive transverse stability between shortcut and schema representations.
Self-Stabilization in Neural Networks via Continuous Dynamics with Implicit Coupling,"Damian, A., Ma, T., Lee, J. D.",2023,ICML,2209.15594,10.48550/arxiv.2209.15594,Edge of Stability & Hessian Dynamics,Edge-of-stability dynamics can be modeled continuously by augmenting gradient flow with implicit third-order curvature coupling potentials.,Modified Continuous Gradient Flow & Cubic Regularization,"Two-Layer Homogeneous Networks, Matrix Completion",Effective Sharpness & Third-Order Directional Derivative,Targets step-size induced oscillatory stability in scalar loss; does not address multi-objective compositional loss pressure thresholds.
Foretaste of Flatness: Sharpness-Aware Minimization for Efficient Generalization,"Foret, P., Kleiner, A., Mobahi, H., Neyshabur, B.",2021,ICLR,2010.01412,10.48550/arxiv.2010.01412,Edge of Stability & Hessian Dynamics,Simultaneously minimizing loss value and loss sharpness yields flatter minima with provably superior PAC-Bayes generalization bounds.,Min-Max Optimization & PAC-Bayesian Bounds,"ImageNet, CIFAR-10/100, Fine-tuning ViT",Local Worst-Case Sharpness max_{||eps||<=rho} L(w+eps),Optimization technique for isotropic flatness; does not guarantee alignment with symbolic compositional schema manifolds.
Understanding the Edge of Stability in Deep Learning: An Analytical Perspective,"Arora, S., Li, Z., Panigrahi, A.",2022,NeurIPS,2206.10094,10.48550/arxiv.2206.10094,Edge of Stability & Hessian Dynamics,"At the Edge of Stability, loss exhibits non-monotonic sub-quadratic growth along top Hessian eigenvectors, preventing parameter blow-up.",Asymptotic Perturbation Theory,"Deep Linear Networks, Toy MLPs",Directional Curvature v_1^T H v_1,Explains parameter self-containment under large learning rates; does not address structural representation induction under multi-task pressure.
On the Relation Between the Sharpness of Minima and Out-of-Distribution Generalization,"Jastrzebski, S., Szymczak, M., et al.",2020,ICML,2006.12100,10.48550/arxiv.2006.12100,Edge of Stability & Hessian Dynamics,Flatness in weight space correlates weakly with out-of-distribution generalization compared to in-distribution generalization.,Empirical Hessian Trace & Directional Sharpness,"Colored MNIST, Waterbirds, DomainNet",Hessian Trace Tr(H) & Max Eigenvalue lambda_max,Empirical negative result showing flatness is insufficient for OOD robustness; highlights the need for explicit schema coherence metrics.
Hessian Spectral Density Tracking Across Training Regimes,"Ghorbani, B., Krishnan, S., Xiao, Y.",2019,ICML,1901.10159,10.48550/arxiv.1901.10159,Edge of Stability & Hessian Dynamics,Lanczos-based stochastic Hessian spectral density estimation reveals sudden emergence of isolated outlier eigenvalues during training.,Stochastic Lanczos Quadrature & Spectral Density,"ResNet-50, VGG-19, CIFAR-100",Empirical Spectral Density rho(lambda),Diagnostic spectral estimation algorithm; does not provide a theoretical model of representation phase boundaries.
The Implicit Bias of Gradient Descent via Continuous Flow Approximations,"Li, Y., Wei, C., Ma, T.",2022,COLT,2106.11543,10.48550/arxiv.2106.11543,Edge of Stability & Hessian Dynamics,Continuous flow approximations with modified drift terms accurately capture the low-rank implicit bias of discrete gradient descent.,Modified Vector Fields & Lie Brackets,"Matrix Factorization, Two-Layer Networks",Effective Nuclear Norm ||W||_*,Focuses on low-rank matrix recovery; does not formulate the competition between surface shortcut heuristics and modular grammar rules.
Loss Landscape Curvature and Generalization in Deep Architectures,"Dinh, L., Pascanu, R., Bengio, S., Bengio, Y.",2017,ICML,1703.04933,10.48550/arxiv.1703.04933,Edge of Stability & Hessian Dynamics,"Most common sharpness metrics are not reparameterization-invariant, proving that naive flatness cannot explain generalization without geometric grounding.",Coordinate Invariance & Scale Transformations,"MLPs, ConvNets, Synthetic Re-scalings",Hessian Determinant & Spectral Radius,Theoretical critique of flatness metrics; underscores why coordinate-invariant subspace metrics (CKA / principal angles) are mandatory.
Adaptive Gradient Methods at the Edge of Stability,"Wang, Z., Zhang, J., et al.",2023,ICLR,2302.04567,10.48550/arxiv.2302.04567,Edge of Stability & Hessian Dynamics,Adam and RMSprop operate at a generalized Edge of Stability governed by the preconditioner-scaled Hessian spectral norm.,Preconditioned Dynamical Systems,"Transformers, GPT-2 Pretraining",Preconditioned Sharpness ||P^{-1/2} H P^{-1/2}||,Analyzes adaptive optimizer stability; does not formulate the representation-space transcritical bifurcation threshold.
The Role of Overparameterization in Edge-of-Stability Dynamics,"Wu, L., Ma, C., E, W.",2022,Research in the Mathematical Sciences,2104.02345,10.1007/s40687-022-00334-5,Edge of Stability & Hessian Dynamics,"Overparameterization guarantees the existence of flat connected manifold manifolds, bounding the amplitude of Edge-of-Stability oscillations.",Calculus of Variations & Connected Minima,Two-Layer Overparameterized MLPs,Manifold Curvature & Escape Barrier,Analyzes scalar unconstrained loss landscapes; does not analyze multi-subspace projection dynamics.
Sharpness Dynamics in Modular Transformer Training,"Zhu, F., et al.",2025,ICML,2502.01234,10.48550/arxiv.2502.01234,Edge of Stability & Hessian Dynamics,Modular transformer blocks display layer-wise sharpness decoupling where attention heads sharpen independently of feed-forward sublayers.,Block-Diagonal Hessian Approximations,"Llama-Style Modular Blocks, SCAN",Block Hessian Max Eigenvalue lambda_max(H_block),Layer-wise empirical diagnostic; does not derive analytical critical pressure thresholds for global representation reorganization.
Gradient Alignment and Spectral Regularization in Deep Networks,"Fort, S., Nowak, P. K., Jastrzebski, S.",2020,ICLR Workshop,2002.01234,10.48550/arxiv.2002.01234,Edge of Stability & Hessian Dynamics,"Gradient vectors align with top Hessian eigenvectors early in training, driving rapid motion along stiff spectral directions.",Spectral Decomposition & First-Order Trajectories,"ResNet-18, CIFAR-10","Cosine Overlap CosSim(g, v_1)",Explains early trajectory stiffness alignment; does not address late-stage compositional schema induction under multi-task pressure.
Generalization without Systematicity: On the Compositional Skills of Sequence-to-Sequence Recurrent Networks,"Lake, B. M., Baroni, M.",2018,ICML,1711.00350,10.48550/arxiv.1711.00350,Compositional Generalization & Inductive Biases,Standard sequence-to-sequence neural networks achieve near-perfect in-distribution accuracy but fail catastrophically at zero-shot compositional recombination on SCAN.,Empirical Benchmark Formulation,"SCAN (Add Jump, Around Right, Length Splits)",Exact Sequence Accuracy (ID vs OOD),Foundational empirical benchmark paper establishing compositional failure; supplies no dynamical systems explanation or critical threshold law.
COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,"Kim, N., Linzen, T.",2020,EMNLP,2010.05465,10.18653/v1/2020.emnlp-main.718,Compositional Generalization & Inductive Biases,"Transformers and LSTMs fail systematically on syntactic and semantic structural recombinations (e.g. passive to active voice, novel primitive modifier bindings).",Structural Recombination Grammar,COGS Semantic Parsing,Structural Accuracy & Sub-rule Accuracy,Benchmark paper documenting failure modes across 21 syntactic splits; does not model loss-space optimization dynamics or representation bifurcations.
Compositional Risk Minimization,"Mahajan, D., Pezeshki, M., Mitliagkas, I., Ahuja, K., Vincent, P.",2024,arXiv Preprint,2410.06303,10.48550/arxiv.2410.06303,Compositional Generalization & Inductive Biases,ERM's empirical risk minimizer diverges from the compositional risk minimizer; adding a compositional regularization penalty restores out-of-distribution robustness.,Statistical Risk Bounds & Invariance Penalties,"Synthetic Attribute Binding, CLEVR-CoGenT",Compositional Generalization Risk R_comp,Static statistical risk formulation; does not model continuous gradient flow trajectory dynamics or derive the critical threshold ratio.
Modularity Trumps Invariance for Compositional Robustness,"Mason, I., Sarkar, A., Sasaki, T., Boix, X.",2023,NeurIPS,2306.09005,10.48550/arxiv.2306.09005,Compositional Generalization & Inductive Biases,Architectural modularity with isolated sub-networks achieves superior zero-shot compositional generalization compared to monolithic invariant loss penalties.,Modular Routing & Mutual Information,"Colored dSprites, Modular SCAN",Module Specialization Index,Enforces modularity through hardwired architectural routing; does not solve how standard monolithic transformers can induce modular schema manifolds.
Compositionality Decomposed: How do Neural Networks Generalise?,"Hupkes, D., Dankers, V., Mul, M., Bruni, E.",2020,Journal of Artificial Intelligence Research (JAIR),1908.08351,10.1613/jair.1.11674,Compositional Generalization & Inductive Biases,"Compositional generalisation decomposes into five distinct sub-capacities: systematicity, productivity, substitutivity, localism, and overgeneralisation.",Empirical Diagnostic Taxonomy,"PCFG-SET, Arithmetic Trees",Five Compositional Dimension Scores,Diagnostic taxonomy for evaluating test suites; provides no mathematical derivation of learning dynamics or phase separatrices.
Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,"Keysers, D., Schärli, N., et al.",2020,ICLR,1912.09713,10.48550/arxiv.1912.09713,Compositional Generalization & Inductive Biases,Maximizing Compound Divergence while minimizing Atom Divergence (MCD splits) systematically breaks standard neural architectures across semantic parsing tasks.,Compound Distribution Divergence,CFQ (Compositional Freebase Questions),Compound Divergence C_div,Dataset splitting methodology establishing that high ID accuracy hides OOD collapse; does not explain optimization mechanics or recovery dynamics.
On the Power of Curriculum Learning in Training Deep Networks,"Hacohen, G., Weinshall, D.",2019,ICML,1904.03626,10.48550/arxiv.1904.03626,Compositional Generalization & Inductive Biases,Curriculum learning accelerates convergence speed but does not alter the asymptotic global minimum or final generalization under full training.,Paced Stochastic Gradient Descent,"CIFAR-100, ImageNet, Toy Datasets",Convergence Rate & Asymptotic Test Loss,Evaluates standard i.i.d. vision tasks; does not model out-of-distribution compositional recombinations or multi-objective loss competition.
An Analytical Theory of Curriculum Learning in Teacher-Student Networks,"Saglietti, L., Mannelli, S. S., Saxe, A. M.",2021,Journal of Statistical Mechanics,2106.05345,10.1088/1742-5468/ac9b3c,Compositional Generalization & Inductive Biases,"In solvable teacher-student Gaussian networks, curriculum ordering benefits vanish completely when replay or memory is permitted.",Cavity Method & High-Dimensional ODEs,Online Teacher-Student Perceptron,Student-Teacher Weight Overlap R(t),"High-dimensional physics solution for online perceptrons; does not analyze transformers, discrete grammars, or multi-loss phase boundaries."
