study_id,pdf_file,method,confidence
P042,"Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective.pdf",filename-title,high
P044,Parallel Diffusion Solver via Residual Dirichlet Policy Optimization.pdf,filename-title,high
P046,Multi-objective reinforcement learning for designing ethical multi-agent environments.pdf,filename-title,high
P049,FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making.pdf,filename-title,high
P050,Reward Hacking Mitigation using Verifiable Composite Rewards.pdf,filename-title,high
P053,"A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning.pdf",filename-title,high
P054,NP-Hard Lower Bound Complexity for Semantic Self-Verification.pdf,filename-title,high
P055,"Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Professional.pdf",filename-title,high
P056,Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning.pdf,filename-title,high
P060,Heterogeneous Value Alignment Evaluation for Large Language Models.pdf,filename-title,high
P063,Communication Enables Cooperation in LLM Agents: A Comparison with Curriculum-Based Approaches.pdf,filename-title,high
P065,LA-EDPO: Length-Aware Effect-Enhanced Direct Preference Optimization.pdf,filename-title,high
P066,On Algorithmic Ethics: Examining AI Decision-Making Mechanisms From the Perspective of Kant's Moral Philosophy.pdf,filename-title,high
P068,LLM ethics benchmark: a three-dimensional assessment system for evaluating moral reasoning in large language models.pdf,filename-title,high
P069,MIRA: An LLM-Driven Dual-Loop Architecture for Metacognitive Reward Design.pdf,filename-title,high
P070,"Charting cross-cultural AI perception: An exploratory study of expectations, risk–benefit trade-offs, and values in Germany and China.pdf",filename-title,high
P071,High-Dimensional Data Stream Classification: Improving Random Patch Online Ensemble Classifier.pdf,filename-title,high
P072,Adaptive Prompt Elicitation for Text-to-Image Generation.pdf,filename-title,high
P073,Composable Assurance for AI Alignment: A Framework for Propagating Formal Safety Properties Through MLOps.pdf,filename-title,high
P074,XAI2Brain: A Perspective on Mechanistic Interpretability for Brain-AI Alignment.pdf,filename-title,high
P075,Interactionless Inverse Reinforcement Learning: A Data-Centric Framework for Durable Alignment.pdf,filename-title,high
P076,Toward Constitutional Autonomy in AI Systems: A Theoretical Framework for Aligned Agentic Intelligence.pdf,filename-title,high
P077,"Governing Generative AI for Healthy Ageing: A Normative Conceptual Framework for Societal Alignment, Epistemic Authority, and Value Convergence in Geriatric Care.pdf",filename-title,high
P078,Reinforcement Learning With Verifier Guidance and Penalty Shaping for Vietnamese Summarization Using Small Language Models.pdf,filename-title,high
P079,Stability of value perception: minimal influence of framing on moral attributions to a humanoid robot.pdf,filename-title,high
P080,A data-driven generative strategy to avoid reward hacking in multi-objective molecular design.pdf,filename-title,high
P081,A Mathematical Framework for Wise AI.pdf,filename-title,high
P083,Generative Artificial Intelligence for Social Impact.pdf,filename-title,high
P084,Multi-Metric Preference Alignment for Generative Speech Restoration.pdf,filename-title,high
P085,Are Conversational AI Agents the Way Out? Co-Designing Reader-Oriented News Experiences with Immigrants and Journalists.pdf,filename-title,high
P086,Should LLM Safety be More Than Refusing Harmful Instructions?.pdf,filename-title,high
P087,“Turning right”? An experimental study on the political value shift in large language models.pdf,filename-title,high
P088,Generating the language of AI harms: mapping guardrails using critical code studies.pdf,filename-title,high
P089,Non-Ideal Foundations for Preference-Based AI Alignment.pdf,filename-title,high
P090,"The Bateson Game: A Model of Strategic Ambiguity, Frame Uncertainty, and Pathological Learning.pdf",filename-title,high
P091,A Survey on Autonomy Induced Security Risks in Large Model-Based Agents.pdf,filename-title,high
P092,Multi-objective reinforcement learning for provably incentivising alignment with value systems.pdf,filename-title,high
P093,Reinforcement Learning from X-Feedback: Recent Advances and Future Prospects.pdf,filename-title,high
P094,"Fostering AI alignment through blockchain, proof of personhood and zero knowledge proofs.pdf",filename-title,high
P095,Toward Complementary Intelligence: Integrating Cognitive and Machine AI.pdf,filename-title,high
P096,Machines that halt resolve the undecidability of artificial intelligence alignment.pdf,filename-title,high
P097,Few-shot Fine-grained Image Classification with Interpretable Prompt Learning through Distribution Alignment.pdf,filename-title,high
P098,Moral disagreement and the limits of AI value alignment: a dual challenge of epistemic justification and political legitimacy.pdf,filename-title,high
P099,AI and disabled people’s independent living: a framework for analysis.pdf,filename-title,high
P100,RewardHackingAgents: Benchmarking Evaluation Integrity for LLM ML-Engineering Agents.pdf,filename-title,high
P101,Values in science and AI alignment research.pdf,filename-title,high
P1013,Position: Towards Bidirectional Human-AI Alignment.pdf,filename-title,high
P1016,Moral Anchor System: A Predictive Framework for AI Value Alignment and Drift Prevention.pdf,filename-title,high
P1019,Cultural Value Alignment in Large Language Models A Promptbased Analysis of Schwartz Values in Gemini.pdf,filename-title,high
P102,Beyond ‘Basic’ AI-Animal Alignment.pdf,filename-title,high
P1021,Neurodivergent Influenceability as a Contingent Solution to the AI Alignment Problem.pdf,filename-title,high
P103,FormFactory: An Interactive Benchmarking Suite for Multimodal Form-Filling Agents.pdf,filename-title,high
P1030,Representative Social Choice: From Learning Theory to AI Alignment.pdf,filename-title,high
P1036,Limitations on formal verification for AI safety.pdf,filename-title,high
P106,The super moral status of artificial superintelligence.pdf,filename-title,high
P1063,Challenges and Future Directions of Data-Centric AI Alignment.pdf,filename-title,high
P107,The Unintended Trade-off of AI Alignment: Balancing Hallucination Mitigation and Safety in LLMs.pdf,filename-title,high
P1072,Farquhar_2025_arxiv.pdf,surname-year,high
P1080,Garcia_Bohigues_2024_arxiv.pdf,filename-title,high
P1087,AI Alignment and Social Choice Fundamental Limitations and Policy Implications.pdf,filename-title,high
P109,The economics of p(doom): Scenarios of existential risk and economic growth in the age of transformative AI.pdf,filename-title,high
P1096,"Natural abstractions Key claims, theorems, and critiques.pdf",filename-title,high
P1097,Deceptive alignment monitoring.pdf,filename-title,high
P110,A Cognitively Plausible Neural-Symbolic Model for Syntactic Disambiguation in Minimalist Grammar.pdf,filename-title,high
P1107,Social value alignment in large language models.pdf,filename-title,high
P1109,Goal Alignment A Human-Aware Account of Value Alignment Problem.pdf,filename-title,high
P111,Preventing Process Reward Model Hacking When Training Large Language Models on Verifiable Rewards.pdf,filename-title,high
P1111,Foundational Moral Values for AI Alignment.pdf,filename-title,high
P1116,"AI safety and neighboring communities A quick-start guide, as of summer 2022.pdf",filename-title,high
P1117,A newcomer's guide to the technical AI safety field.pdf,filename-title,high
P112,"The Ultimate Consequence: Why Humanity, Not AI, Ends Itself - A Reply to Lavazza and Vilaça.pdf",filename-title,high
P113,Step-GRPO: Enhancing Reasoning Quality and Efficiency via StructurePRM-Based Reinforcement Learning.pdf,filename-title,high
P1133,Testing the natural abstraction hypothesis.pdf,filename-title,high
P1138,AI safety via market making.pdf,filename-title,high
P1141,Norms for Beneficial AI A Computational Analysis of the Societal Value Alignment Problem.pdf,filename-title,high
P1151,Augmented Utilitarianism for AGI Safety.pdf,filename-title,high
P1152,Corrigibility with utility preservation.pdf,filename-title,high
P116,The Roles of Fairness and Effectiveness in Promoting Legitimacy and Cooperation with Security Robotic Authority.pdf,filename-title,high
P1161,AI safety debate and its applications.pdf,filename-title,high
P1162,AI Alignment Problem Human Values Idea is Built Upon Many Assumptions.pdf,filename-title,high
P1164,Mimetic vs anchored value alignment in artificial intelligence.pdf,filename-title,high
P1170,AGI Safety Literature Review.pdf,filename-title,high
P1172,AI Alignment: A Contemporary Survey.pdf,filename-title,high
P118,Coadaptive Value Alignment Blue Sky Ideas Track.pdf,filename-title,high
P1188,"On the Interplay of Human-AI Alignment, Fairness, and Performance Trade-offs in Medical Imaging.pdf",filename-title,high
P1189,"Responsibility gaps, value alignment, and meaningful human control over artificial intelligence.pdf",filename-title,high
P119,"More Women, Same Stereotypes: Unpacking the Gender Bias Paradox in Large Language Models.pdf",filename-title,high
P1193,Estrada_2018_arxiv.pdf,surname-year,high
P1197,The value alignment problem: a geometric approach.pdf,filename-title,high
P1199,ICLR 2025 Workshop on Bidirectional Human-AI Alignment.pdf,filename-title,high
P120,Automatic Construction Method for Ideological and Political Teaching Cases Based on Educational Large Models Enhanced by Chain-of-Thought Reasoning.pdf,filename-title,high
P1200,Causal Reward Adjustment: Mitigating Reward Hacking in External Reasoning via Backdoor Correction.pdf,filename-title,high
P1201,CONFUCIAN ETHICS AND AI ALIGNMENT.pdf,filename-title,high
P1202,Intrinsic Barriers and Practical Pathways for Human-AI Alignment: An Agreement-Based Complexity Analysis.pdf,filename-title,high
P1203,Incomplete Contracting and Al Alignment.pdf,filename-title,high
P1204,Minding Motivation: The Effect of Intrinsic Motivation on Agent Behaviors.pdf,filename-title,high
P1205,Empirical Evidence for Alignment Faking in a Small LLM and Prompt-Based Mitigation Techniques.pdf,filename-title,high
P1206,A Rolling Stone Gathers No Moss: Adaptive Policy Optimization for Stable Self-Evaluation in Large Multimodal Models.pdf,filename-title,high
P1207,Regularized Best-of-N Sampling with Minimum Bayes Risk Objective for Language Model Alignment.pdf,filename-title,high
P1212,Specification-Guided Reinforcement Learning.pdf,filename-title,high
P1213,Meta Learning for Image Captioning.pdf,filename-title,high
P1215,ME Modelling Ethical Values for Value Alignment.pdf,filename-title,high
P1219,TreeRL: LLM Reinforcement Learning with On-Policy Tree Search.pdf,filename-title,high
P122,On the Troubled Relation Between AI Ethics and AI Safety.pdf,filename-title,high
P1221,To Mask or to Mirror Human-AI Alignment in Collective Reasoning.pdf,filename-title,high
P1222,Dynamic Automaton-Guided Reward Shaping for Monte Carlo Tree Search.pdf,filename-title,high
P1225,Approximated Variational Bayesian Inverse Reinforcement Learning for Large Language Model Alignment.pdf,filename-title,high
P1226,Multi-Value Alignment for LLMs via Value Decorrelation and Extrapolation.pdf,filename-title,high
P1231,Visual Adversarial Examples Jailbreak Aligned Large Language Models.pdf,filename-title,high
P1233,Aligning to Social Norms and Values in Interactive Narratives.pdf,filename-title,high
P1234,Ethical Decision-making with AI: Value Alignment and the Role of Reasoning.pdf,filename-title,high
P1235,Taking Principles Seriously A Hybrid Approach to Value Alignment in Artificial Intelligence.pdf,filename-title,high
P1236,Unintended Harms of Value-Aligned LLMs: Psychological and Empirical Insights.pdf,filename-title,high
P1238,"Exploring Multilingual Concepts of Human Values in Large Language Models: Is Value Alignment Consistent, Transferable and Controllable across.pdf",filename-title,high
P124,Winning at All Cost: A Small Environment for Eliciting Specification Gaming Behaviors in Large Language Models.pdf,filename-title,high
P1240,Scaling Up AI Alignment.pdf,filename-title,high
P1241,Generalizing Alignment Paradigm of Text-to-Image Generation with Preferences Through f-Divergence Minimization.pdf,filename-title,high
P1242,SEAL: Systematic Error Analysis for Value ALignment.pdf,filename-title,high
P1243,Back to Basics Revisiting REINFORCE-Style Optimization for Learning from Human Feedback in LLMs.pdf,filename-title,high
P1244,KorNAT LLM Alignment Benchmark for Korean Social Values and Common Knowledge.pdf,filename-title,high
P1246,"Taming Simulators: Challenges, Pathways and Vision for the Alignment of Large Language Models.pdf",filename-title,high
P1248,Beyond Patches: Mining Interpretable Part-Prototypes for Explainable AI.pdf,filename-title,high
P1249,"Leveraging Human Input to Enable Robust, Interactive, and Aligned AI Systems.pdf",filename-title,high
P1251,Autonomous Policy Explanations for Effective Human-Machine Teaming.pdf,filename-title,high
P1253,High-Dimension Human Value Representation in Large Language Models.pdf,filename-title,high
P1255,Can Brain Signals Reveal Inner Alignment with Human Languages.pdf,filename-title,high
P1257,Synthesis and Properties of Optimally Value-Aligned Normative Systems.pdf,filename-title,high
P1258,Internal Value Alignment in Large Language Models through Controlled Value Vector Activation.pdf,filename-title,high
P1259,"One fish, two fish, but not the whole sea: Alignment reduces language models' conceptual diversity.pdf",filename-title,high
P126,AI ageism and its consequence: Benevolent ageist attitudes expressed by LLMs could reinforce ageism in humans.pdf,filename-title,high
P1260,BeyondGender: A Multifaceted Bilingual Dataset for Practical Sexism Detection.pdf,filename-title,high
P1262,Identical Human Preference Alignment Paradigm for Text-to-Image Models.pdf,filename-title,high
P1263,Gradient-Adaptive Policy Optimization: Towards Multi-Objective Alignment of Large Language Models.pdf,filename-title,high
P1264,An Empirical Study of Instruction-tuning Large Language Models in Chinese.pdf,filename-title,high
P1265,AI safety state of the field through quantitative lens.pdf,filename-title,high
P1266,Chat Vector: A Simple Approach to Equip LLMs with Instruction Following and Model Alignment in New Languages.pdf,filename-title,high
P1267,Measuring Error Alignment for Decision-Making Systems.pdf,filename-title,high
P127,ResVaRe: Parameter-efficient fine-tuning for large language models via cross-layer residual vector adaptation and representation editing.pdf,filename-title,high
P128,Roadmap on Incentive Compatibility for AI Alignment and Governance in Sociotechnical Systems.pdf,filename-title,high
P130,"Agents, Alignment, and the Many Faces of Autonomy.pdf",filename-title,high
P131,Metacognition of ChatGPT in confidence judgements.pdf,filename-title,high
P132,Cloud Platforms in Transition: AI Agents as Intelligent Intermediaries Disrupting the Traditional Saas Subscription Model.pdf,filename-title,high
P133,Optimising multi-value alignment: a multi-objective evolutionary strategy for normative multi-agent systems.pdf,filename-title,high
P134,On AI Alignment and the Later Wittgenstein: a Response To Sorin Bangu.pdf,filename-title,high
P138,Flow-Multi: A Flow-Matching Multi-Reward Framework for Text-to-Image Generation.pdf,filename-title,high
P139,"Different Models, Different Values: Educational Preference Structures across Alignment Methodologies in Large Language Models.pdf",filename-title,high
P140,Four Settings and a Proposal for the Exploration of Value Alignment in AI.pdf,filename-title,high
P141,Preserving the Integrity of Evidence-Based Social Work in the Age of AI: A Proposed Ethical Framework.pdf,filename-title,high
P142,Guiding artificial intelligence in public health and medicine with epidemiology: A lifecycle framework for mitigating AI misalignment.pdf,filename-title,high
P143,CircuChain: Disentangling Competence and Compliance in LLM Circuit Analysis.pdf,filename-title,high
P144,Differences in Alignment Behavior between Single-Agent and Multi-Agent LLM Systems Implications for Human-AI Teaming.pdf,filename-title,high
P145,How smart companions reshape psychological well-being in later life: the role of artificial intelligence technology in mental health during senior years.pdf,filename-title,high
P147,Networked Two-Way Communication Channels (NTCC): A Dynamic Semantic Indexing Framework for UI Design and AI Alignment.pdf,filename-title,high
P148,"‘Systematic Alignment Decay’: a robust, technology-agnostic hazard associated with the advancement and proliferation of artificial intelligence.pdf",filename-title,high
P150,"The Alignment Target Problem: Divergent Moral Judgments of Humans, AI Systems, and Their Designers.pdf",filename-title,high
P151,An Identity Based Agent Model for AI Value Alignment.pdf,filename-title,high
P152,An Explainable HCI-Based Decision Support Framework for Human-AI Co-Design.pdf,filename-title,high
P153,Granularity paradox: how emotion taxonomies shape GPT-5's affective cognition and human-AI alignment.pdf,filename-title,high
P154,Training Child Helpline Counselors with Value-Integrated Chat Simulations.pdf,filename-title,high
P155,Specify Privacy Yourself: Assessing Inference-Time Personalized Privacy Preservation Ability of Large Vision-Language Models.pdf,filename-title,high
P156,"A Two-Step, Multidimensional Account of Deception in Language Models.pdf",filename-title,high
P157,Towards an Axiology of Intelligent Hybrid Systems.pdf,filename-title,high
P159,Adaptive Quine Structures for Metacognitive Evolution in Large Language Models: A Functional Framework with Gödelian Bounds and Illustrative Applications.pdf,filename-title,high
P160,Learning the value systems of agents with preference-based and inverse reinforcement learning.pdf,filename-title,high
P161,VC-Soup: Value-Consistency Guided Multi-Value Alignment for Large Language Models.pdf,filename-title,high
P162,Hierarchical process-level generative reward modeling with adaptive long-horizon reasoning for robust LLM alignment.pdf,filename-title,high
P163,HADA: Human-AI Agent Decision Alignment Architecture.pdf,filename-title,high
P165,Decentralized Value Systems Agreements.pdf,filename-title,high
P166,Neurodivergent influenceability in agentic AI as a contingent solution to the AI alignment problem.pdf,filename-title,high
P167,Scaling International Legal Workflows with Ordinis: A Neuro-Symbolic Framework for GenAI in High-Stakes Domains.pdf,filename-title,high
P168,Getting in Contract with Large Language Models - An Agency Theory Perspective on Large Language Model Alignment.pdf,filename-title,high
P170,An Affective-Taxis Hypothesis for Alignment and Interpretability.pdf,filename-title,high
P171,Do You Trust Me? Cognitive-Affective Signatures of Trustworthiness in Large Language Models.pdf,filename-title,high
P172,Ethical Governance Frameworks for AGI in Cyber-Physical Systems.pdf,filename-title,high
P174,TouchAI: Exploring human–AI perceptual alignment in touch through language model representations.pdf,filename-title,high
P175,Towards culture driven artificial intelligence to bridge the cultural cognition gap.pdf,filename-title,high
P176,What Would It Look Like to Align Humans with Ants?.pdf,filename-title,high
P178,Hybrid Explanation-Guided Learning for Transformer-Based Chest X-Ray Diagnosis.pdf,filename-title,high
P179,Editable XAI: Toward Bidirectional Human-AI Alignment with Co-Editable Explanations of Interpretable Attributes.pdf,filename-title,high
P180,Out of time for the version of record: designing living knowledge infrastructure for AI-accelerated scholarship.pdf,filename-title,high
P181,On the Artificial Aesthetic Education of an Architect.pdf,filename-title,high
P182,Domain-Guided Soft Actor-Critic for Network Slicing in Cell-Free Massive MIMO Systems.pdf,filename-title,high
P183,Aligning explanations with human values: context-sensitive trust calibration in AI decision systems.pdf,filename-title,high
P186,From Clicks to Preference: A Multi-stage Alignment Framework for Generative Query Suggestion in Conversational System.pdf,filename-title,high
P187,Cooperative Multi-Agent Alignment via Boolean Task Algebras and Team Morality Chains.pdf,filename-title,high
P188,"Managing AI-Powered Cyber Threats, Adversarial Attacks, and Ensuring Ethical AI Alignment with Human Values.pdf",filename-title,high
P189,A Reinforcement Learning Framework for Robust and Secure LLM Watermarking.pdf,filename-title,high
P190,"A Mathematical Formulation of AGI in the (C, U, V) Framework.pdf",filename-title,high
P191,Instilling Organisational Values in Firefighters through Simulation-Based Training.pdf,filename-title,high
P192,Enhancing out-of-distribution detection with bilateral distribution score.pdf,filename-title,high
P193,Mechanistic Interpretability: A New Trend in Interpretability Research.pdf,filename-title,high
P198,How much of a pluralist is ChatGPT? A comparative study of value pluralism in generative AI chatbots.pdf,filename-title,high
P199,Social image presentation of virtual sports in social media through the analysis of Twitter data.pdf,filename-title,high
P200,Steering AI-driven Personalization of Scientific Text for General Audiences.pdf,filename-title,high
P201,"Artificial General Intelligence: Current Progress, Safety Considerations, and Ethical Imperatives.pdf",filename-title,high
P203,Evaluating Generative AI as a Triage Tool in Aligned Yet Divergent Investment Decision-Making.pdf,filename-title,high
P204,On Controllability in Agentic AI: A Survey.pdf,filename-title,high
P205,A novel MRI PET image fusion using shearlet transform and pulse coded neural network.pdf,filename-title,high
P206,PARTICIPATE-AI: Exploring the Participatory Turn in Citizen-Centred AI.pdf,filename-title,high
P207,Artificial superintelligence alignment in healthcare.pdf,filename-title,high
P208,Reinforcement Learning without Explicit Rewards: Theory and Practice.pdf,filename-title,high
P209,"From C-3PO to HAL 9000: motivation, agency, and the limits of human control in artificial intelligence.pdf",filename-title,high
P211,Bridging Human and Artificial Intelligence: Modeling Human Learning with Explainable AI Tools.pdf,filename-title,high
P212,Hierarchical Reward Function Design for Autonomous Driving Based on Reinforcement Learning.pdf,filename-title,high
P213,"BEE: Belief-Value-Aligned, Explainable, and Extensible Cognitive Framework for Conversational Agents.pdf",filename-title,high
P215,Why Go Heavy? Rethinking Visual Information Reduction in EEG-to-Image Alignment.pdf,filename-title,high
P217,Navigating AI-Animal Alignment: A Reply to Coghlan and Parker.pdf,filename-title,high
P218,When Drawing Is Not Enough: Exploring Spontaneous Speech with Sketch for Intent Alignment in Multimodal LLMs.pdf,filename-title,high
P219,Navigating the Ethics of Artificial Intelligence.pdf,filename-title,high
P221,Measuring and Enhancing Human Value Alignment in Zero-Shot Document-Level Claim Extraction.pdf,filename-title,high
P222,A Survey on Quality Metrics for Text-to-Image Generation.pdf,filename-title,high
P223,Weights-Rotated Preference Optimization for Large Language Models.pdf,filename-title,high
P224,Towards neuroadaptive chatbots: a feasibility study.pdf,filename-title,high
P225,Is superintelligence necessarily moral?.pdf,filename-title,high
P226,Harnessing Metacognition for Safe and Responsible AI.pdf,filename-title,high
P227,A Reasoning and Value Alignment Test to Assess Advanced GPT Reasoning.pdf,filename-title,high
P229,Papyshev_2025_oa.pdf,surname-year,high
P232,Shutdown-seeking AI.pdf,filename-title,high
P233,Toward cultural interpretability: A linguistic anthropological framework for describing and evaluating large language models.pdf,filename-title,high
P235,Beyond Face Value: Visual and Auditory Signals in Human and Machine Trust Judgments.pdf,filename-title,high
P236,Collective Constitutional AI: Aligning a Language Model with Public Input.pdf,filename-title,high
P237,"Helpful, harmless, honest? Sociotechnical limits of AI alignment and safety through Reinforcement Learning from Human Feedback.pdf",filename-title,high
P238,"Alignment Problem as Cultural Sense and Legal Challenge: Artificial Intelligence, Interpretability, and Searching for Sense.pdf",filename-title,high
P239,Is Blockchain the Future of AI Alignment? Developing a Framework and a Research Agenda Based on a Systematic Literature Review.pdf,filename-title,high
P240,LLM Security Alignment Framework Design Based on Personal Preference.pdf,filename-title,high
P241,Alignment Divergence Metrics: Measuring Human-AI Concordance in Document Content Analysis.pdf,filename-title,high
P242,User Experience Design Professionals' Perceptions of Generative Artificial Intelligence.pdf,filename-title,high
P244,Strong and weak alignment of large language models with human values.pdf,filename-title,high
P246,Large Language Model-Powered Automated Assessment: A Systematic Review.pdf,filename-title,high
P247,The challenges of artificial intelligence application in the medical field and Confucian responses.pdf,filename-title,high
P248,Ethical-Lens: Curbing malicious usages of open-source text-to-image models.pdf,filename-title,high
P250,MAJD: Intent-Aware Multi-Agent Framework for Jailbreak Defense.pdf,filename-title,high
P252,Blind Faith? User Preference and Expert Assessment of AI-Generated Religious Content.pdf,filename-title,high
P255,Reward Model Interpretability via Optimal and Pessimal Tokens.pdf,filename-title,high
P256,Diverse Skill Discovery for Quadruped Robots via Unsupervised Learning.pdf,filename-title,high
P257,Towards Value Alignment for Opaque Agents Through Concept Analysis and Inter-Agent Value Modelling.pdf,filename-title,high
P258,Research on Aligning Large Models with Human Values Using Lora Fine-Tuning.pdf,filename-title,high
P259,"When AI ""possesses"" personality: Roles of good and evil personalities influence moral judgment in large language models.pdf",filename-title,high
P260,Expectation Preference Optimization: Reliable Preference Estimation for Improving the Reasoning Capability of Large Language Models.pdf,filename-title,high
P261,CERN for AI: a theoretical framework for autonomous simulation-based artificial intelligence testing and alignment.pdf,filename-title,high
P262,"When LLM Agents Disagree, Do Humans Mirror? Behavioral Comparisons on Moral Dilemmas.pdf",filename-title,high
P263,Bringing AI participation down to scale.pdf,filename-title,high
P264,Axioms for AI Alignment from Human Feedback.pdf,filename-title,high
P265,Non-maximizing policies that fulfill multi-criterion aspirations in expectation.pdf,filename-title,high
P266,Comparing and Evaluating Human and Computationally Derived Representations of Non-Semantic Design Information.pdf,filename-title,high
P268,Autocompleting inequality Large language models and the “alignment problem”.pdf,filename-title,high
P270,Moral disagreement and artificial intelligence.pdf,filename-title,high
P271,Preventing and Detecting Misinformation Generated by Large Language Models.pdf,filename-title,high
P272,Psychopathia Machinalis: A Nosological Framework for Understanding Pathologies in Advanced Artificial Intelligence.pdf,filename-title,high
P273,Securing AGI-driven drone communications for climate change: A comprehensive review of deep learning-based IDS.pdf,filename-title,high
P274,An Instructible Chemist-AI Alignment Framework for Generating Quaternary Ammonium Compound Structures.pdf,filename-title,high
P277,Choice Vectors: Streamlining Personal AI Alignment Through Binary Selection.pdf,filename-title,high
P281,Abstraction Alignment: Comparing Model-Learned and Human-Encoded Conceptual Relationships.pdf,filename-title,high
P282,Enhancing Fine-Tuning LLM Evaluation: A Study on Calibration and Metrics for Industry-Specific AI Alignment.pdf,filename-title,high
P283,Can AI Be Environmentally Responsible? A Comparative Study on the Pro-Environmental Portrait of ChatGPT and Chinese Respondents.pdf,filename-title,high
P287,Mathematical Framework for Custom Reward Functions in Job Application Evaluation using Reinforcement Learning.pdf,filename-title,high
P289,Towards an End-to-End Personal Fine-Tuning Framework for AI Value Alignment.pdf,filename-title,high
P290,The Tong Test: Evaluating Artificial General Intelligence Through Dynamic Embodied Physical and Social Interactions.pdf,filename-title,high
P292,Embedding an Ethical Mind: Aligning Text-to-Image Synthesis via Lightweight Value Optimization.pdf,filename-title,high
P293,Collaborative Work with Highly Automated Marine Navigation Systems.pdf,filename-title,high
P295,"Exploring the Impact of AI Value Alignment in Collaborative Ideation: Effects on Perception, Ownership, and Output.pdf",filename-title,high
P296,Elucidating Optimal Reward-Diversity Tradeoffs in Text-to-Image Diffusion Models.pdf,filename-title,high
P297,Comparing human text classification performance and explainability with large language and machine learning models using eye-tracking.pdf,filename-title,high
P298,As Confidence Aligns: Understanding the Effect of AI Confidence on Human Self-confidence in Human-AI Decision Making.pdf,filename-title,high
