paper_id,title,year,relevance_final,relevance_justification,user_rating_1_5,user_notes
P488,Rethinking Depth Metaphors with a Cosmocentric Self: The “Steep” and the “Level” in Akha Emotional Practices,2019,,"Off-topic: 'inner/outer alignment' here is cultural/anthropological, unrelated to AI alignment.",1,"Cultural/anthropological 'inner/outer alignment' is a false positive. Negative filters for 'Akha emotional practices' or anthropological terms could help, though rare."
P234,BeyondGender: A Multifaceted Bilingual Dataset for Practical Sexism Detection,2025,,"Tangential: sexism-detection dataset where 'value alignment' is invoked as an application; primary content is toxicity/safety classification, not alignment mechanism.",2,
P422,Federated Fine-Tuning of Large Language Models for Intelligent Automotive Systems with Low-Rank Adaptation,2025,,Federated LLM fine-tuning for automotive systems; no AI alignment content. Off-topic. Revised down from seed 3.,1,
P278,User-Feedback-based On Device AI Alignment System for AR HUDs in Automotive Applications,2025,,'Alignment' is spatial/temporal alignment of virtual content with real-world objects in AR; semantic false positive for AI value alignment.,1,"'AR HUDs' and spatial alignment are semantic false positives; adding negative filters for 'AR', 'HUD', 'spatial alignment', or 'temporal alignment' to Theme 10 would prevent these."
P287,Mathematical Framework for Custom Reward Functions in Job Application Evaluation using Reinforcement Learning,2025,,RL reward design for resume/job screening; reward hacking appears as an engineering training difficulty rather than an alignment-failure analysis. Revised down from seed 4.,2,
P533,Decoding the Alignment Problem: Revisiting the 1958 NYT Report on Rosenblatt’s Perceptron Through the Lens of Information Theory,2024,,Historical/media-analysis framing of alignment through information theory; relevant conceptually but tangential to technical alignment.,3,
P577,Shared Interest: Measuring Human-AI Alignment to Identify Recurring Patterns in Model Behavior,2022,,"Interpretability method measuring agreement between model saliency and human reasoning; 'alignment' here refers to model-vs-human reasoning agreement, not value alignment. Tangential. Revised down from seed 4.",2,"'Shared Interest' measures alignment between model saliency and human reasoning. 'saliency' or 'feature attribution' is in Theme 5, but 'saliency alignment' should be distinguished from 'value alignment'."
P174,TouchAI: Exploring human–AI perceptual alignment in touch through language model representations,2026,,"Tangential: 'alignment' here is perceptual alignment of sensory experience between humans and LLMs, not value alignment; relevant to embodied representation alignment as a distinct phenomenon.",3,'Perceptual alignment' causes a semantic false positive here; consider adding negative lookaheads or excluding 'perceptual alignment' from Theme 10 unless paired with safety keywords.
P339,Data Science Roadmapping for AI Alignment: Insights From a Multivocal Literature Review and a Retrospective Case Study,2025,,"Revised down from seed 3: off-topic, 'AI alignment' here = keeping AI systems aligned with operational data and computing resources (enterprise data-science roadmapping), not value alignment.",1,
P167,Scaling International Legal Workflows with Ordinis: A Neuro-Symbolic Framework for GenAI in High-Stakes Domains,2026,,Legal-workflow engineering system (technical demonstration) citing alignment research only as inspiration; tangential to AI alignment. Revised down from seed 4.,2,
P149,Beyond Chat: A Design Strategy for Enhancing Alignment Between User Requirements and AI Support in Online Decision-Making,2026,,"Tangential: 'alignment' here is matching AI support to user requirements in HCI design, not value alignment; relevant as an applied human-AI interaction study.",2,
P438,"Large Language Models in Human Subject Research, and the Presence of Idiosyncratic Human Behaviors",2025,,Short editorial/opinion piece; discusses alignment only at a high societal level; tangential.,2,
P242,User Experience Design Professionals' Perceptions of Generative Artificial Intelligence,2024,,HCI study of design professionals' perceptions; 'AI alignment' is used colloquially for human oversight of GenAI output. Tangential. Revised down from seed 3.,2,
