paper_id,year,publication_type,evidence_basis,citation_count,D1,D6,D2,D3,D4,D5,D7,D8,composite,tier,weight_set,notes,low_credibility,subdomains,sens,sens_tier
P034,2026,empirical,full-text,1,2,4,1,2,2,2,2,2,2.15,C,empirical,"ft_file=Towards a societal AI alignment benchmark for evaluating human-machine value convergence.pdf; pilot=manual-review | pilot-reconcile: D2=1 (academic, not safety researchers) | D4=2 (documented survey, no prereg) | D5=2 (modest argumentative depth) | ft_file=Towards a societal AI alignment benchmark for evaluating human-machine value convergence.pdf; pilot=manual-review | d1:doi_peer | d6:cohort p91",0,value alignment; robustness; governance; ethics; capabilities,2.0,C
P035,2026,empirical,full-text,3,2,4,1,2,2,3,2,2,2.30,C,empirical,"ft_file=AI and My Values: User Perceptions of LLMs' Ability to Extract, Embody, and Explain Human Values from Casual Conversations.pdf | ai-revised:publication_type=theoretical->empirical | ai-revised:methodology=not_applicable->experiment | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=2 | ft_file=AI and My Values: User Perceptions of LLMs' Ability to Extract, Embody, and Explain Human Values from Casual Conversations.pdf | ai-revised:publication_type=theoretical->empirical | ai-revised:methodology=not_applicable->experiment | d1:proceedings | d6:cohort p97",0,value alignment; interpretability; robustness; ethics; capabilities,2.2142857142857144,C
P036,2026,other,full-text,1,2,4,1,2,,3,2,2,2.40,B,pos_review,ft_file=Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework.pdf | ft_file=Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework.pdf | d1:doi_peer | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=2,0,value alignment; robustness; mesa-optimization; governance; ethics; capabilities,2.357142857142857,C
P037,2026,empirical,full-text,0,2,3,1,2,2,3,2,2,2.15,C,empirical,ft_file=Interpretable group gated priority traces for scalarized multi-objective reinforcement learning in autonomous drone operations.pdf | ai-revised:subdomains=value alignment; interpretability; robustness; governance; ethics->interpretability; robustness | ft_file=Interpretable group gated priority traces for scalarized multi-objective reinforcement learning in autonomous drone operations.pdf | ai-revised:subdomains=value alignment; interpretability; robustness; governance; ethics->interpretability; robustness | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=2,0,interpretability; robustness,2.2142857142857144,C
P038,2026,empirical,full-text,1,2,4,1,2,2,3,2,2,2.30,C,empirical,ft_file=Towards Aligning Multimodal LLMs with Human Experts: A Focus on Parent-Child Interaction.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | ft_file=Towards Aligning Multimodal LLMs with Human Experts: A Focus on Parent-Child Interaction.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | d1:proceedings | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=2,0,value alignment; interpretability; robustness; governance; ethics; capabilities,2.2142857142857144,C
P039,2026,position,full-text,1,2,4,1,2,,3,2,3,2.55,B,pos_review,ft_file=Will power-seeking AGIs harm human society?.pdf | ft_file=Will power-seeking AGIs harm human society?.pdf | d1:doi_peer | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0,value alignment; ethics; capabilities,2.5714285714285716,B
P040,2025,opinion,full-text,6,2,4,1,2,,3,2,2,2.40,B,pos_review,ft_file=A sociotechnological-system approach to AI ethics.pdf; pilot=manual-review | pilot-reconcile: D5=3 (structured philosophical argument) | D7=2 (no explicit threat model) | ft_file=A sociotechnological-system approach to AI ethics.pdf; pilot=manual-review | d1:doi_peer | d6:cohort p80,0,value alignment; robustness; ethics,2.357142857142857,C
P041,2026,empirical,full-text,0,2,3,1,2,2,3,2,2,2.15,C,empirical,ft_file=Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->analysis | ft_file=Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->analysis | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=2,0,value alignment; robustness; ethics; capabilities,2.2142857142857144,C
P042,2026,position,full-text,0,2,3,2,2,,3,2,3,2.55,B,pos_review,"ft_file=Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective.pdf | ai-revised:publication_type=empirical->position | ai-revised:methodology=experiment->not_applicable | ft_file=Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective.pdf | ai-revised:publication_type=empirical->position | ai-revised:methodology=experiment->not_applicable | d1:proceedings | d6:cohort p77 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3",0,value alignment; interpretability; robustness; governance; ethics,2.5714285714285716,B
P043,2026,position,abstract,0,2,3,1,2,,3,2,3,2.40,B,pos_review,d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=2 | scored:D8=3,0,ethics; capabilities,2.5714285714285716,B
P044,2026,empirical,full-text,0,2,3,1,2,1,3,2,3,2.00,C,empirical,ft_file=Parallel Diffusion Solver via Residual Dirichlet Policy Optimization.pdf | ft_file=Parallel Diffusion Solver via Residual Dirichlet Policy Optimization.pdf | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=1 | scored:D5=3 | scored:D7=2 | scored:D8=3,0,value alignment; robustness,2.0,C
P045,2026,empirical,abstract,1,2,4,1,2,2,3,1,2,2.25,C,empirical,d1:doi_peer | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0,value alignment,2.142857142857143,C
P046,2025,theoretical,full-text,3,2,3,2,3,,3,2,3,2.70,B,theoretical,ft_file=Multi-objective reinforcement learning for designing ethical multi-agent environments.pdf | ai-revised:publication_type=other->theoretical | scored:D2=2 | scored:D3=3 | scored:D5=3 | scored:D7=2 | scored:D8=3 | ft_file=Multi-objective reinforcement learning for designing ethical multi-agent environments.pdf | ai-revised:publication_type=other->theoretical | d1:doi_peer | d6:cohort p69,0,value alignment; robustness; ethics; capabilities,2.785714285714286,B
P047,2026,empirical,abstract,1,2,4,1,2,2,2,2,2,2.15,C,empirical,ai-revised:subdomains=value alignment; robustness->other | | ai-revised:subdomains=value alignment; robustness->other | d1:doi_peer | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=2 | scored:D7=2 | scored:D8=2,0,other,2.0,C
P048,2026,theoretical,abstract,0,2,3,3,2,,3,1,3,2.55,B,theoretical,ai-revised:publication_type=empirical->theoretical | | ai-revised:publication_type=empirical->theoretical | d1:doi_peer | d6:cohort p77 | scored:D2=3 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0,value alignment,2.3571428571428577,C
P049,2026,empirical,full-text,0,2,3,1,2,2,3,1,3,2.15,C,empirical,ft_file=FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making.pdf | ft_file=FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making.pdf | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0,value alignment; interpretability; robustness; governance; ethics,2.2142857142857144,C
P050,2025,empirical,full-text,1,2,2,1,2,2,3,1,3,2.00,C,empirical,ft_file=Reward Hacking Mitigation using Verifiable Composite Rewards.pdf | moved:formal_framework(none->other) | ft_file=Reward Hacking Mitigation using Verifiable Composite Rewards.pdf | moved:formal_framework(none->other) | d1:proceedings | d6:cohort p51 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0,value alignment; interpretability; robustness; ethics,2.2142857142857144,C
P051,2026,empirical,abstract,0,2,3,1,2,2,3,1,2,2.10,C,empirical,d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0,value alignment; ethics,2.142857142857143,C
P052,2025,position,abstract,3,2,3,2,2,,3,1,4,2.65,B,pos_review,d1:doi_peer | d6:cohort p69 | scored:D2=2 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=4,0,value alignment; ethics,2.7142857142857144,B
P053,2026,empirical,full-text,1,2,4,1,2,2,3,2,2,2.30,C,empirical,"ft_file=A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning.pdf | ft_file=A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning.pdf | d1:doi_peer | d6:cohort p91 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=2",0,value alignment; interpretability; robustness; ethics,2.2142857142857144,C
P054,2026,theoretical,full-text,0,2,3,1,2,,3,1,2,2.20,C,theoretical,ft_file=NP-Hard Lower Bound Complexity for Semantic Self-Verification.pdf | ai-revised:publication_type=position->theoretical | moved:effect_sizes(theoretical) | ft_file=NP-Hard Lower Bound Complexity for Semantic Self-Verification.pdf | ai-revised:publication_type=position->theoretical | moved:effect_sizes(theoretical) | d1:proceedings | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0,value alignment; interpretability; robustness; ethics; capabilities,2.285714285714286,C
P055,2026,empirical,full-text,0,2,3,1,2,2,3,2,3,2.20,C,empirical,"ft_file=Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Professional.pdf | ft_file=Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Professional.pdf | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=2 | scored:D8=3",0,value alignment; interpretability; robustness; governance; ethics,2.285714285714286,C
P056,2026,empirical,full-text,0,2,3,1,2,2,3,1,2,2.10,C,empirical,ft_file=Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning.pdf | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2 | ft_file=Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning.pdf | d1:proceedings | d6:cohort p77,0,value alignment; robustness; capabilities,2.142857142857143,C
P057,2025,empirical,abstract,,3,,1,2,2,2,1,1,1.82,C,empirical,ai-revised:subdomains=value alignment->other | | ai-revised:subdomains=value alignment->other | d1:journal | d6:n/a citation_count missing; AF/LW inbound supplement required (quality-criteria.md §8.2) | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=2 | scored:D7=1 | scored:D8=1,0,other,2.0000000000000004,C
P058,2026,theoretical,abstract,0,2,3,1,2,,3,1,2,2.20,C,theoretical,ai-revised:publication_type=other->theoretical | | ai-revised:publication_type=other->theoretical | d1:doi_peer | d6:cohort p77 | scored:D2=1 | scored:D3=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0,value alignment; ethics,2.285714285714286,C
P059,2026,empirical,abstract,4,2,4,1,2,2,3,1,2,2.25,C,empirical,d1:doi_peer | d6:cohort p100 | scored:D2=1 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=2,0,interpretability,2.142857142857143,C
P060,2026,empirical,full-text,0,2,3,3,2,2,3,1,3,2.45,B,empirical,ft_file=Heterogeneous Value Alignment Evaluation for Large Language Models.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | ft_file=Heterogeneous Value Alignment Evaluation for Large Language Models.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment | d1:doi_peer | d6:cohort p77 | scored:D2=3 | scored:D3=2 | scored:D4=2 | scored:D5=3 | scored:D7=1 | scored:D8=3,0,value alignment; ethics; capabilities,2.2142857142857144,C
