id,title,year,decision,reason,retrieved,s1,s2,note
P02_0632,Can Transformers Jump Around Right in Natural Language? Assessing Performance Transfer from SCAN,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0633,Learning to Generalize Compositionally by Transferring Across Semantic Parsing Tasks,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0634,Compositional generalization in semantic parsing with pretrained transformers,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0635,CNNs found to jump around more skillfully than RNNs: Compositional generalization in seq2seq convolutional networks,2019,Include,,yes,Include,Include,s1=Include s2=Include
P02_0640,ReaSCAN: Compositional Reasoning in Language Grounding,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0642,Compositional Semantic Parsing with Large Language Models,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0643,A Benchmark for Systematic Generalization in Grounded Language Understanding,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0648,Inducing Transformer's Compositional Generalization Ability via Auxiliary Sequence Prediction Tasks,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0651,Early-Warning Signals of Grokking via Loss-Landscape Geometry,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0654,A Compositional Framework for Open-ended Intelligence,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0657,Sequence-Level Mixed Sample Data Augmentation,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0691,Invariant Graph Transformer for Out-of-Distribution Generalization,2025,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0693,Early Period of Training Impacts Adaptation for Out-of-Distribution Generalization: An Empirical Study,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0702,Benign Overfitting in Out-of-Distribution Generalization of Linear Models,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0703,Can Agents Run Relay Race with Strangers? Generalization of RL to Out-of-Distribution Trajectories,2023,Include,,yes,Include,Exclude,conflict: default Include (6.3.3); flagged | adj: OOD generalization of cooperative agents to unseen partners (S1 evidence: ood_nums=10) | adj: OOD generalization of cooperative agents to unseen partners (S1 evidence: ood_nums=10)
P02_0708,Making Foresight Actionable: Repurposing Representation Alignment in World Action Models,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0712,Low-rank Orthogonal Subspace Intervention for Generalizable Face Forgery Detection,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0719,Temporal Representation Alignment: Successor Features Enable Emergent Compositionality in Robot Instruction Following,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0724,General Greedy De-bias Learning,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0746,"Vision-Language-Action in Robotics: A Survey of Datasets, Benchmarks, and Data Engines",2026,Exclude,FT7,yes,Include,Exclude,conflict: default Include (6.3.3); flagged | adj: Title is 'A Survey of Datasets | adj: Title is 'A Survey of Datasets
P02_0753,Evaluating Reward Model Generalization via Pairwise Maximum Discrepancy Competitions,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0768,Neural Language of Thought Models,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0769,GA-Field: Geometry-Aware Vehicle Aerodynamic Field Prediction,2026,Include,,yes,Uncertain,Uncertain,conflict: default Include (6.3.3); flagged
P02_0773,Robust OOD Graph Learning via Mean Constraints and Noise Reduction,2025,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0783,Improving Latent Generalization Using Test-time Compute,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0789,Frequency Bias and OOD Generalization in Neural Operators under a Variable-Coefficient Wave Equation,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0791,SynthDocBench: Controlled Benchmark for Long-Context Visual Document Understanding,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0810,Compositional Generalization via Semantic Tagging,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0811,Systematic Generalization with Edge Transformers,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0812,Compositional Generalization from First Principles,2023,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0813,Improving Compositional Generalization in Semantic Parsing,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0819,Scalable Evaluation and Neural Models for Compositional Generalization,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0821,Improving Compositional Generalization in Classification Tasks via Structure Annotations,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0822,Compositional Generalization with Tree Stack Memory Units,2019,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0823,Reinforcement Learning for Compositional Generalization with Outcome-Level Optimization,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0824,Provable Compositional Generalization for Object-Centric Learning,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0826,Disentangled Sequence to Sequence Learning for Compositional Generalization,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0827,"Concepts, Properties and an Approach for Compositional Generalization",2021,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0828,Consistency of Compositional Generalization across Multiple Levels,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0829,On Provable Length and Compositional Generalization,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0831,DiNeR: a Large Realistic Dataset for Evaluating Compositional Generalization,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0832,The Mystery of Compositional Generalization in Graph-based Generative Commonsense Reasoning,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0836,"Compositional Generalization Requires Linear, Orthogonal Representations in Vision Embedding Models",2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0838,When does compositional structure yield compositional generalization? A kernel theory,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0839,Syntax-Guided Transformers: Elevating Compositional Generalization and Grounding in Multimodal Environments,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0843,Towards Compositional Generalization of LLMs via Skill Taxonomy Guided Data Synthesis,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0845,Are Object-Centric Representations Better At Compositional Generalization?,2026,Include,,yes,Include,Include,s1=Include s2=Include
P02_0850,Layer-wise Representation Fusion for Compositional Generalization,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0851,Block-Operations: Using Modular Routing to Improve Compositional Generalization,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0854,The Role of Linguistic Priors in Measuring Compositional Generalization of Vision-Language Models,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0855,Compositional Generalization and Natural Language Variation: Can a Semantic Parsing Approach Handle Both?,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0856,Enhancing Compositional Generalization via Compositional Feature Alignment,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0857,Evaluating Morphological Compositional Generalization in Large Language Models,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0858,Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0859,Real-World Compositional Generalization with Disentangled Sequence-to-Sequence Learning,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0861,Improving Compositional Generalization with Latent Structure and Data Augmentation,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0863,Can LLM find the green circle? Investigation and Human-guided tool manipulation for compositional generalization,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0864,Multi-Sourced Compositional Generalization in Visual Question Answering,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0865,Analyzing the Inner Workings of Transformers in Compositional Generalization,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0866,Improving Systematic Generalization Through Modularity and Augmentation,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0867,NeSyCoCo: A Neuro-Symbolic Concept Composer for Compositional Generalization,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0868,Compositional Generalization via Forced Rendering of Disentangled Latents,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0869,ChatGPT as Data Augmentation for Compositional Generalization: A Case Study in Open Intent Detection,2023,Include,,yes,Uncertain,Uncertain,conflict: default Include (6.3.3); flagged
P02_0872,Compositional generalization through abstract representations in human and artificial neural networks,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0873,Systematic Generalization in Language Models Scales with Information Entropy,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0874,How Modular Should Neural Module Networks Be for Systematic Generalization?,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0877,SPOR: A Comprehensive and Practical Evaluation Method for Compositional Generalization in Data-to-Text Generation,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0878,Neural-Symbolic Recursive Machine for Systematic Generalization,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0879,An explainable transformer circuit for compositional generalization,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0881,Revisiting Compositional Generalization Capability of Large Language Models Considering Instruction Following Ability,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0882,Differentiable Tree Operations Promote Compositional Generalization,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0883,Factorization Regret mediates compositional generalization in latent space,2026,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0884,Counterfactual Recipe Generation: Exploring Compositional Generalization in a Realistic Scenario,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0885,Swing-by Dynamics in Concept Learning and Compositional Generalization,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0886,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,2022,Exclude,FT6,yes,Include,Include,s1=Include s2=Include | FT6-dup-candidate | adj: Duplicate of P02_0497 (arXiv 2205.02054v1 = NAACL Findings 2022 version) | adj: Duplicate of P02_0497 (arXiv 2205.02054v1 = NAACL Findings 2022 version)
P02_0890,Compositional Generalization with Grounded Language Models,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0891,Scaling can lead to compositional generalization,2025,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0893,Learning to Compose Representations of Different Encoder Layers towards Improving Compositional Generalization,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0894,Systematic Generalization on gSCAN with Language Conditioned Embedding,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0895,On a Built-in Conflict between Deep Learning and Systematic Generalization,2022,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0898,What Do You Need for Compositional Generalization in Diffusion Planning?,2025,Include,,yes,Uncertain,Uncertain,conflict: default Include (6.3.3); flagged
P02_0899,D3: Data Diversity Design for Systematic Generalization in Visual Question Answering,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0900,RoboHiMan: A Hierarchical Evaluation Paradigm for Compositional Generalization in Long-Horizon Manipulation,2025,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0901,AGEL-Comp: A Neuro-Symbolic Framework for Compositional Generalization in Interactive Agents,2026,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0903,Policy Architectures for Compositional Generalization in Control,2022,Include,,yes,Include,Exclude,conflict: default Include (6.3.3); flagged | adj: Policy architectures for compositional generalization in control (ood_nums=33) | adj: Policy architectures for compositional generalization in control (ood_nums=33)
P02_0904,Transformer Module Networks for Systematic Generalization in Visual Question Answering,2022,Include,,yes,Include,Include,s1=Include s2=Include
P02_0906,Realistic Evaluation of Model Merging for Compositional Generalization,2024,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0907,Learning Algebraic Representation for Systematic Generalization in Abstract Reasoning,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0913,Compositional-ARC: Assessing Systematic Generalization in Abstract Spatial Reasoning,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0914,Impact of Pretraining Word Co-occurrence on Compositional Generalization in Multimodal Models,2025,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0915,Systematic Generalization in Neural Networks-based Multivariate Time Series Forecasting Models,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0921,Measuring Systematic Generalization in Neural Proof Generation with Transformers,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0922,Systematic Generalization on gSCAN: What is Nearly Solved and What is Next?,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0926,Revisit Systematic Generalization via Meaningful Learning,2020,Include,,yes,Include,Include,s1=Include s2=Include
P02_0930,Rule Extrapolation in Language Models: A Study of Compositional Generalization on OOD Prompts,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0931,Language Plays a Pivotal Role in the Object-Attribute Compositional Generalization of CLIP,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0932,The Devil is in the Detail: Simple Tricks Improve Systematic Generalization of Transformers,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0934,Three approaches to facilitate DNN generalization to objects in out-of-distribution orientations and illuminations,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0935,Siamese recurrent networks learn first-order logic reasoning and exhibit zero-shot compositional generalization,2019,Include,,yes,Include,Include,s1=Include s2=Include
P02_0937,CLOSURE: Assessing Systematic Generalization of CLEVR Models,2019,Include,,yes,Include,Include,s1=Include s2=Include
P02_0939,Understanding out-of-distribution accuracies through quantifying difficulty of test samples,2022,Include,,yes,Include,Exclude,conflict: default Include (6.3.3); flagged | adj: Out-of-distribution accuracies via quantization analysis (id_nums=16 | adj: Out-of-distribution accuracies via quantization analysis (id_nums=16
P02_0940,SyGNS: A Systematic Generalization Testbed Based on Natural Language Semantics,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0944,ORCHARD: A Benchmark For Measuring Systematic Generalization of Multi-Hierarchical Reasoning,2021,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0945,Atomic-to-Compositional Generalization for Mobile Agents with A New Benchmark and Scheduling System,2025,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0947,Data Distributional Properties As Inductive Bias for Systematic Generalization,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0948,The Neural Data Router: Adaptive Control Flow in Transformers Improves Systematic Generalization,2021,Include,,yes,Include,Include,s1=Include s2=Include
P02_0949,Compositional Generalization from Learned Skills via CoT Training: A Theoretical and Structural Analysis for Reasoning,2025,Include,,yes,Include,Include,s1=Include s2=Include
P02_0951,Systematic Generalization and Emergent Structures in Transformers Trained on Structured Tasks,2022,Include,,yes,Include,Uncertain,conflict: default Include (6.3.3); flagged
P02_0956,Mixture Data for Training Cannot Ensure Out-of-distribution Generalization,2023,Include,,yes,Include,Include,s1=Include s2=Include
P02_0959,What makes Models Compositional? A Theoretical View: With Supplement,2024,Include,,yes,Include,Include,s1=Include s2=Include
P02_0962,Robust Subtask Learning for Compositional Generalization,2023,Include,,yes,Include,Exclude,conflict: default Include (6.3.3); flagged | adj: Robust subtask learning for compositional generalization (ood_nums=57) | adj: Robust subtask learning for compositional generalization (ood_nums=57)
P02_0965,Causal Structural Hypothesis Testing and Data Generation Models,2022,Include,,yes,Uncertain,Exclude,conflict: default Include (6.3.3); flagged
P02_0967,Adversarial Reward Auditing for Active Detection and Mitigation of Reward Hacking,2026,Include,,yes,Include,Exclude,conflict: default Include (6.3.3); flagged | adj: Adversarial reward auditing in RL; safety stream; default Include per 6.3.3 (flagged) | adj: Adversarial reward auditing in RL; safety stream; default Include per 6.3.3 (flagged)
P02_1159,Probing the Probes: Methods and Metrics for Concept Alignment,2025,Include,,yes,Uncertain,Exclude,conflict: default Include (6.3.3); flagged
P02_1308,Vision Transformer Neural Architecture Search for Out-of-Distribution Generalization: Benchmark and Insights,2024,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_1381,Sparse Mixture-of-Experts for Compositional Generalization: Empirical Evidence and Theoretical Foundations of Optimal Sparsity,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_1395,Compositional generalization by factorizing alignment and translation,2020,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_1398,Neural Collapse Inspired Feature Alignment for Out-of-Distribution Generalization,2024,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0002,Graph Representation Learning via Causal Diffusion for Out-of-Distribution Recommendation,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0004,Research on Causal Robustness Enhancement Methods and Out-of-Distribution Generalization for Deep Classification Models,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0005,Robust Neural Information Retrieval: An Adversarial and Out-of-Distribution Perspective,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0011,Beyond Mimicry: Toward Lifelong Adaptability in Imitation Learning,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0016,Don't Blind Your VLA: Aligning Visual Representations for OOD Generalization,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0018,Human Heterogeneity Invariant Stress Sensing,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0023,Environment Agnostic Invariant Risk Minimization for Classification of Sequential Datasets,2021,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0031,Causal Disentangled Recommendation against User Preference Shifts,2023,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0032,NILMBENCH2026: A Benchmark for Energy Disaggregation,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0033,Normalized Space Alignment: A Versatile Metric for Representation Analysis,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0034,Stereo-Fi: Free-Form 3D Reconstruction via Generatively Co-Trained Inverse RF Rendering,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0038,Test Optimization in DNN Testing: A Survey,2024,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0045,,2022,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0048,Mitigating Distributed Backdoor Attack in Federated Learning Through Mode Connectivity,2024,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0051,Responsive DNN Adaptation for Video Analytics against Environment Shift via Hierarchical Mobile-Cloud Collaborations,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0054,The Worst of Both Worlds: A Comparative Analysis of Errors in Learning from Data in Psychology and Machine Learning,2022,Exclude,FT8,yes,Include,Exclude,conflict: default Include (6.3.3); flagged | adj: Comparative analysis of errors psychology-vs-ML; not an OOD/compositional generalization study | adj: Comparative analysis of errors psychology-vs-ML; not an OOD/compositional generalization study
P02_0055,A.I. Robustness: a Human-Centered Perspective on Technological Challenges and Opportunities,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0058,A Survey of Model Inversion Attacks: An Interface-Prior Perspective,2026,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0060,AI Alignment: A Contemporary Survey,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0064,Abstraction Alignment: Comparing Model-Learned and Human-Encoded Conceptual Relationships,2025,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0066,A Survey of Dataset Refinement for Problems in Computer Vision Datasets,2024,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0069,Uniformly Distributed Category Prototype-Guided Vision-Language Framework for Long-Tail Recognition,2023,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0071,A Survey of Multilingual Neural Machine Translation,2020,Exclude,FT5,no,,,full text unavailable after 3 attempts
P02_0072,Contrastive Curriculum Learning for Sequential User Behavior Modeling via Data Augmentation,2021,Exclude,FT5,no,,,full text unavailable after 3 attempts
