id,title,authors,year,doi,arxiv_id,abstract,keywords,source_db,journal,url,decision,reason_code,notes,stage,ft_retrieval_status,ft_attempts,ft_pdf_path
P02_0096,Out-of-Distribution Generalization on Graphs: A Survey,H. Li; X. Wang; Z. Zhang; W. Zhu,2025,10.1109/tpami.2025.3593897,,"Graph machine learning has been extensively studied in both academia and industry. Although booming with a vast number of emerging methods and techniques, most of the literature is built on the in-distribution hypothesis, i.e., testing and training graph data are identically distributed. However, this in-distribution hypothesis can hardly be satisfied in many real-world graph scenarios where the model performance substantially degrades when there exist distribution shifts between testing and training graph data. To solve this critical problem, out-of-distribution (OOD) generalization on graphs, which goes beyond the in-distribution hypothesis, has made great progress and attracted ever-increasing attention from the research community. In this paper, we comprehensively survey OOD generalization on graphs and present a detailed review of recent advances in this area. First, we provide a formal problem definition of OOD generalization on graphs. Second, we categorize existing methods into three classes from conceptually different perspectives, i.e., data, model, and learning strategy, based on their positions in the graph machine learning pipeline, followed by detailed discussions for each category. We also review the theories related to OOD generalization on graphs and introduce the commonly used graph datasets for thorough evaluations. Finally, we share our insights on future research directions.",Training; Data models; Machine learning; Reviews; Testing; Surveys; Data augmentation; Self-supervised learning; Pipelines; Optimization; Graph machine learning; graph neural network; out-of-distribution generalization (OOD),IEEE:part1,IEEE Transactions on Pattern Analysis and Machine Intelligence,,Include,,,abstract,pending,,
P02_0110,Efficient Out-of-Distribution Generalization for Pre-trained GNNs via Prompt Learning,Z. Zuo; C. Li; M. Tan; X. Gong; Y. Yuan; G. Wang,2026,10.1109/tai.2026.3666523,,"Graph out-of-distribution (OOD) generalization enables Graph Neural Networks (GNNs) to perform robustly in applications when confronted with new environments not encountered during training. For better realization of OOD generalization, current methods are increasingly focused on designing more complex causal inference models training from scratch, without considering the potential of existing pre-trained models, increased computational complexity. In this paper, we propose an efficient framework (EGOG), which uses prompt learning for pre-trained GNNs to extract causal subgraphs from input graph data, for enhancing the generalization ability of the pre-trained GNNs. Specifically, we design a graph causal prompt module to enhance the generalization ability of the pre-trained GNNs. First, we use graph prompt learning with a causal features generator that enables pre-trained GNNs to decouple causal features from spurious features in graph nodes. Then, considering that the structure of graph is also affected by distribution shift, we further design a causal structure generator, which reuses the pre-trained GNNs to analyze graph’s structure, decoupling causal substructures from spurious substructures. This approach enhances the pre-trained GNN’s ability to decouple causal subgraph from both the node and structure perspectives. Meantime, we employ gradient reversal layers and information bottleneck to encourage our method to more accurately disentangle causal subgraph from spurious subgraph. Experiment results show that EGOG can be applied to pre-trained GNNs to enable generalization ability. Compared with the state-of-the-art baseline, EGOG shows an average relative improvement of 2.73% on two synthetic datasets while using only average 4.38% of the trainable parameters.",Training; Adaptation models; Generators; Artificial intelligence; Computational modeling; Testing; Natural language processing; Graph neural networks; Data models; Feature extraction; Graph Neural Networks; Out-of-Distribution Generalization; Prompt Learning; Efficient Learning,IEEE:part1,IEEE Transactions on Artificial Intelligence,,Include,,,abstract,pending,,
P02_0116,Complexity Control Facilitates Reasoning-Based Compositional Generalization in Transformers,Z. Zhang; P. Lin; Z. Wang; Y. Zhang; Z. -Q. John Xu,2026,10.1109/tpami.2025.3646483,,"Transformers have demonstrated impressive capabilities across various tasks, yet their performance on compositional problems remains a subject of debate. In this study, we investigate the internal mechanisms underlying Transformers’ behavior in compositional tasks. We find that complexity control strategies—particularly the choice of parameter initialization scale and weight decay—significantly influence whether the model learns primitive-level rules that generalize out-of-distribution (reasoning-based solutions) or relies solely on memorized mappings (memory-based solutions). By applying masking strategies to the model’s information circuits and employing multiple complexity metrics, we reveal distinct internal working mechanisms associated with different solution types. Further analysis reveals that reasoning-based solutions exhibit a lower complexity bias, which aligns with the well-studied neuron condensation phenomenon. This lower complexity bias is hypothesized to be the key factor enabling these solutions to learn reasoning rules. We validate these conclusions across multiple real-world datasets, including image generation and natural language processing tasks, confirming the broad applicability of our findings.",Cognition; Complexity theory; Transformers; Training; Analytical models; Diffusion models; Data models; Systematics; Predictive models; Neurons; Complexity control; transformer; initialization scale; compositional task; reasoning; memorizing,IEEE:part1,IEEE Transactions on Pattern Analysis and Machine Intelligence,,Include,,,abstract,pending,,
P02_0150,Spatial-DiT: Generalizable 3D Visuomotor Policy for Cross-Object Manipulation via Multi-Scale Spatial Fusion,Z. Junjie; W. Jin; L. Xiaofei; Z. Haiyun; L. Guodong,2026,10.1109/ccdc69976.2026.11559647,,"Generalizing robotic manipulation skills to unseen objects and heterogeneous platforms remains a bottleneck in embodied intelligence due to the shortcut learning inherent in 2D visual policies. We propose Spatial-DiT, a spatial multimodal diffusion policy framework designed for robust zero-shot generalization. Our core contributions include: 1) a Multi-scale Pyramid Encoder (MPE) coupled with a Multi-scale Fusion (MSF) module that extracts texture-invariant geometric features from point clouds; 2) a Delta 6D Pose action representation that ensures action continuity and enables platform-agnostic skill transfer; and 3) a Diffusion Transformer (DiT) architecture for high-fidelity multimodal action generation. Extensive real-world experiments on xArm6 and Kenbei platforms demonstrate that Spatial-DiT achieves an 88.3% average success rate across novel instances and categories. Notably, the policy exhibits remarkable robustness to transparent and reflective objects without fine-tuning, showcasing its potential for scalable, cross-embodiment deployment in unstructured environments.",Modeling; Robots; Printing; Equations; Geometry; Learning (artificial intelligence); Modules (abstract algebra); Noise; Training; Visualization; Embodied AI; Manipulation Generalization; Diffusion Policy; 3D Representation Learning,IEEE:part1,2026 38th Chinese Control and Decision Conference (CCDC),,Include,,,abstract,pending,,
P02_0179,General Greedy De-Bias Learning,X. Han; S. Wang; C. Su; Q. Huang; Q. Tian,2023,10.1109/tpami.2023.3240337,,"Neural networks often make predictions relying on the spurious correlations from the datasets rather than the intrinsic properties of the task of interest, facing with sharp degradation on out-of-distribution (OOD) test data. Existing de-bias learning frameworks try to capture specific dataset bias by annotations but they fail to handle complicated OOD scenarios. Others implicitly identify the dataset bias by special design low capability biased models or losses, but they degrade when the training and testing data are from the same distribution. In this paper, we propose a General Greedy De-bias learning framework (GGD), which greedily trains the biased models and base model. The base model is encouraged to focus on examples that are hard to solve with biased models, thus remaining robust against spurious correlations in the test stage. GGD largely improves models’ OOD generalization ability on various tasks, but sometimes over-estimates the bias level and degrades on the in-distribution test. We further re-analyze the ensemble process of GGD and introduce the Curriculum Regularization inspired by curriculum learning, which achieves a good trade-off between in-distribution (ID) and out-of-distribution performance. Extensive experiments on image classification, adversarial question answering, and visual question answering demonstrate the effectiveness of our method. GGD can learn a more robust base model under the settings of both task-specific biased models with prior knowledge and self-ensemble biased model without prior knowledge. Codes are available at https://github.com/GeraldHan/GGD.",Task analysis; Correlation; Training; Data models; Question answering (information retrieval); Visualization; Image classification; Curriculum learning; dataset biases; greedy strategy; robust learning,IEEE:part1,IEEE Transactions on Pattern Analysis and Machine Intelligence,,Include,,,abstract,pending,,
P02_0238,Three approaches to facilitate invariant neurons and generalization to out-of-distribution orientations and illuminations,"Sakai, A.; Sunagawa, T.; Madan, S.; Suzuki, K.; Katoh, T.; Kobashi, H.; Pfister, H.; Sinha, P.; Boix, X.; Sasaki, T.",2022,10.1016/j.neunet.2022.07.026,,"The training data distribution is often biased towards objects in certain orientations and illumination conditions. While humans have a remarkable capability of recognizing objects in out-of-distribution (OoD) orientations and illuminations, Deep Neural Networks (DNNs) severely suffer in this case, even when large amounts of training examples are available. Neurons that are invariant to orientations and illuminations have been proposed as a neural mechanism that could facilitate OoD generalization, but it is unclear how to encourage the emergence of such invariant neurons. In this paper, we investigate three different approaches that lead to the emergence of invariant neurons and substantially improve DNNs in recognizing objects in OoD orientations and illuminations. Namely, these approaches are (i) training much longer after convergence of the in-distribution (InD) validation accuracy, i.e., late-stopping, (ii) tuning the momentum parameter of the batch normalization layers, and (iii) enforcing invariance of the neural activity in an intermediate layer to orientation and illumination conditions. Each of these approaches substantially improves the DNN's OoD accuracy (more than 20% in some cases). We report results in four datasets: two datasets are modified from the MNIST and iLab datasets, and the other two are novel (one of 3D rendered cars and another of objects taken from various controlled orientations and illumination conditions). These datasets allow to study the effects of different amounts of bias and are challenging as DNNs perform poorly in OoD conditions. Finally, we demonstrate that even though the three approaches focus on different aspects of DNNs, they all tend to lead to the same underlying neural mechanism to enable OoD accuracy gains — individual neurons in the intermediate layers become invariant to OoD orientations and illuminations. We anticipate this study to be a basis for further improvement of deep neural networks’ OoD generalization performance, which is highly demanded to achieve safe and fair AI applications. © 2022 The Authors","Neural activity analysis; Neural invariance; Neural selectivity; Object recognition in novel conditions; Out-of-distribution generalization; Humans; Lighting; Neural Networks, Computer; Neurons; Pattern Recognition, Visual; Photic Stimulation; Brain; Deep neural networks; Multilayer neural networks; Object recognition; Activity analysis; Condition; Generalisation; Neural activity; Neural activity analyse; Neural invariance; Neural selectivity; Object recognition in novel condition; Objects recognition; Out-of-distribution generalization; article; deep neural network; human; illumination; nerve cell; recognition; nerve cell; pattern recognition; photostimulation; physiology; Neurons",Scopus:primary,Neural Networks,https://www.scopus.com/pages/publications/85138443531?origin=resultslist,Include,,,abstract,pending,,
P02_0280,SSGNN: Simple siamese graph neural networks for out-of-distribution generalization,"Erfani, S.H.; Fadaeieslam, M.J.; Mortazavi, R.; Rahmanimanesh, M.",2025,10.1016/j.knosys.2025.114290,,"Graph Neural Networks (GNNs) have proven effective for analyzing relational data in a variety of domains. Nevertheless, their performance tends to deteriorate significantly under distribution shifts between training and test datasets, presenting a central challenge for real-world machine learning applications. This work proposes the Simple Siamese Graph Neural Network (SSGNN), a Self-supervised Learning (SSL) method aimed at improving Out-of-Distribution (OOD) generalization in node classification tasks. In contrast to many existing SSL approaches that depend on data augmentation and the creation of positive and negative sample pairs, SSGNN adopts a simplified framework based on a Siamese GNN architecture with integrated dropout, thus avoiding the need for explicit pair generation. The method addresses common shortcomings in graph representation learning—particularly the tendency to capture spurious correlations—by introducing a three-stage training procedure utilizing dual Graph Convolutional Network (GCN) encoders with shared parameters. Furthermore, SSGNN incorporates a composite loss function whose components optimize node representation similarity, label prediction consistency, and overall prediction accuracy. Through this approach, SSGNN learns stable graph representations that demonstrate improved generalization across varying data distributions. Experimental results show that SSGNN outperforms existing methods and enhances generalization by reducing the GAP metric, which quantifies the relative performance difference between IID and OOD settings. © 2025 Elsevier B.V.",Distribution shift; Graph neural networks; Out-of-distribution generalization; Self-supervised learning; Siamese networks; Graphic methods; Learning systems; Neural networks; Self-supervised learning; Supervised learning; Distribution shift; Generalisation; Graph neural networks; Graph representation; Out-of-distribution generalization; Performance; Real-world; Relational data; Siamese network; Simple++; Statistical tests,"Scopus:primary, WoS:primary",Knowledge-Based Systems,https://www.scopus.com/pages/publications/105013996842?origin=resultslist,Include,,,abstract,pending,,
P02_0290,Boosting Rice Disease Diagnosis: A Systematic Benchmark of Five Deep Convolutional Neural Network Models in Precision Agriculture,"Lee, S.-H.; Jiang, Q.-W.; Cheng, C.-H.; Tsai, Y.-S.; Huang, Y.-F.",2025,10.3390/agriculture15232494,,"Rice diseases pose a critical threat to global food security. While deep learning offers a promising path toward automated diagnosis, clear guidelines for model selection in resource-constrained agricultural environments are still lacking. This study presents a systematic benchmark of five deep convolutional neural networks (CNNs)—Visual Geometry Group (VGG)16, VGG19, Residual Network (ResNet)101V2, Xception, and Densely Connected Convolutional Network (DenseNet)121—for rice disease identification using a public leaf image dataset. The models, initialized with ImageNet pre-trained weights, were rigorously evaluated under a unified framework, including 5-fold cross-validation and a challenging out-of-distribution (OOD) generalization test. Our results demonstrate a clear performance hierarchy, with DenseNet121 emerging as the superior model. It achieved the highest OOD accuracy and F1-score (both 85.08%) while exhibiting the greatest parameter efficiency (8.1 million parameters), making it ideally suited for edge deployment. In contrast, architectures with large fully connected layers (VGG) or less efficient feature learning mechanisms (Xception, ResNet101V2) showed lower performance in this specific task. This study confirms the critical impact of architectural design choices, provides a reproducible performance baseline, and identifies DenseNet121 as a robust, efficient, and highly recommendable CNN for practical rice disease diagnosis in precision agriculture. © 2025 by the authors.",convolutional neural networks (CNNs); deep learning; densenet; model benchmarking; out-of-distribution generalization; rice diseases; smart agriculture; architectural design; artificial neural network; benchmarking; disease incidence; precision agriculture; rice,"Scopus:primary, WoS:primary",Agriculture (Switzerland),https://www.scopus.com/pages/publications/105024609139?origin=resultslist,Include,,,abstract,pending,,
P02_0322,A two-stage co-adversarial perturbation to mitigate out-of-distribution generalization of large-scale graph,"Wang, Y.; Xue, H.; Wang, X.",2024,10.1016/j.eswa.2024.124472,,"In the realm of graph out-of-distribution (OOD), despite recent strides in advancing graph neural networks (GNNs) for the modeling of graph data, training GNNs on large-scale datasets presents a formidable hurdle due to the pervasive challenge of overfitting. To address these issues, researchers have explored adversarial training, a technique that enriches training data with worst-case adversarial examples. However, while prior work on adversarial training primarily focuses on safeguarding GNNs against malicious attacks, its potential to enhance the OOD generalization abilities of GNNs in the context of graph analytics remains less explored. In our research, we delve into the inner workings of GNNs by examining the landscapes of weight and feature losses, which respectively illustrate how the loss function changes concerning model weights and node features. Our investigation reveals a noteworthy phenomenon: GNNs are inclined to become trapped in sharp local minima within these loss landscapes, resulting in suboptimal OOD generalization performance. To address this challenge, we introduce the concept of co-adversarial perturbation optimization, which considers both model weights and node features, and we design an alternating adversarial perturbation algorithm for graph out-of-distribution generalization. This algorithm operates iteratively, smoothing the weight and feature loss landscapes alternately. Moreover, our training process unfolds in two distinct stages. The first stage centers on standard cross-entropy minimization, ensuring rapid convergence of GNN models. In the second stage, we employ our alternating adversarial training strategy to prevent the models from becoming ensnared in locally sharp minima. Our extensive experiments provide compelling evidence that our CAP approach can generally enhance the OOD generalization performance of GNNs across a diverse range of large-scale graphs. © 2024 Elsevier Ltd",Adversarial training; Graph neural network; Graph out-of-distribution; Entropy; Graph neural networks; Large datasets; Adversarial training; Generalisation; Generalization performance; Graph data; Graph neural networks; Graph out-of-distribution; Large-scale datasets; Large-scales; Model weights; Overfitting; Iterative methods,Scopus:primary,Expert Systems with Applications,https://www.scopus.com/pages/publications/85196423777?origin=resultslist,Include,,,abstract,pending,,
P02_0410,Invariant Graph Transformer for Out-of-Distribution Generalization,"Liao, T.; Zhang, Z.; Sun, Y.; Hu, C.; Li, J.",2026,10.1145/3770854.3780247,,"Graph Transformers (GTs) have demonstrated great effectiveness across various graph analytical tasks. However, the existing GTs focus on training and testing graph data originated from the same distribution, but fail to generalize under distribution shifts. Graph invariant learning, aiming to capture generalizable graph structural patterns with labels under distribution shifts, is potentially a promising solution, but how to design attention mechanisms and positional and structural encodings (PSEs) based on graph invariant learning principles remains challenging. To solve these challenges, we introduce graph out-of-distribution generalized Transformer (GOODFormer), aiming to learn generalized graph representations by capturing invariant relationships between predictive graph structures and labels through jointly optimizing three modules. Specifically, we first develop a GT-based entropy-guided invariant subgraph disentangler to separate invariant and variant subgraphs while preserving the sharpness of the attention function. Next, we design an evolving subgraph positional and structural encoder to effectively and efficiently capture the encoding information of dynamically changing subgraphs during training. Finally, we propose an invariant learning module utilizing subgraph node representations and encodings to derive graph representations that can generalize to unseen test graphs. We also provide theoretical justifications for our method. Extensive experiments on benchmark datasets demonstrate the superiority of our method over state-of-the-art baselines under distribution shifts.  © 2026 Owner/Author.",graph machine learning; graph transformer; out-of-distribution generalization; Artificial intelligence; Graph structures; Graph theory; Graphic methods; Learning systems; Signal encoding; Encodings; Generalisation; Graph invariant; Graph machine; Graph machine learning; Graph transformer; Invariant learning; Machine-learning; Out-of-distribution generalization; Subgraphs; Encoding (symbols),"Scopus:primary, WoS:primary",Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,https://www.scopus.com/pages/publications/105038093712?origin=resultslist,Include,,,abstract,pending,,
P02_0444,Improving Generalization in Collision Avoidance for Multiple Unmanned Aerial Vehicles via Causal Representation Learning †,"Lin, C.; Han, G.; Wu, Q.; Wang, B.; Zhuang, J.; Li, W.; Hao, Z.; Fan, Z.",2025,10.3390/s25113303,,"Deep-reinforcement-learning-based multi-UAV collision avoidance and navigation methods have made significant progress. However, the fundamental challenge of those methods is their restricted capability to generalize beyond the specific scenario in which they are trained on. We find that the cause of the generalization failures is attributed to spurious correlation. To solve this generalization problem, we propose a causal representation learning method to identify the causal representations from images. Specifically, our method can neglect factors of variation that are irrelevant to the deep reinforcement learning task through causal intervention. Subsequently, the causal representations are fed into the policy network for action prediction. Extensive testing reveals that our proposed method exhibits better generalization results compared to state-of-the-art methods in different testing scenes. © 2025 by the authors.",causal intervention; causal representation learning; deep reinforcement learning; generalization failure; multi-UAV collision avoidance; Deep learning; Drones; Multi-task learning; Reinforcement learning; Target drones; Aerial vehicle; Causal intervention; Causal representation learning; Collisions avoidance; Generalisation; Generalization failure; Multi UAV; Multi-UAV collision avoidance; Navigation methods; Reinforcement learnings; adult; article; deep reinforcement learning; feature learning (machine learning); human; human experiment; neglect; normal human; prediction; unmanned aerial vehicle; Deep reinforcement learning,Scopus:primary,Sensors,https://www.scopus.com/pages/publications/105007652360?origin=resultslist,Include,,,abstract,pending,,
