id,title,year,doi,arxiv_id,status,source,pdf_path,decision
P01_0421,Coadaptive Value Alignment Blue Sky Ideas Track,2026,10.65109/NAIK4475,,paywalled,openalex,,Include
P01_0423,"More Women, Same Stereotypes: Unpacking the Gender Bias Paradox in Large Language Models",2025,10.1145/3746252.3760969,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Chen_2025_oa.pdf,Include
P01_0425,Automatic Construction Method for Ideological and Political Teaching Cases Based on Educational Large Models Enhanced by Chain-of-Thought Reasoning,2026,10.1145/3802133.3802212,,paywalled,openalex,,Include
P01_0426,Toward a relational paradigm for AI safety: relational synchrony in the heart-inspired dual-layer architecture (HIDLA),2026,10.1007/s00146-026-03009-6,,paywalled,openalex,,Include
P01_0428,On the Troubled Relation Between AI Ethics and AI Safety,2026,10.1002/9781394258840.ch20,,paywalled,openalex,,Include
P01_0431,How Aligned are Humans and Large Language Models in Evaluating Computational Thinking Tasks?,2026,10.1007/978-3-032-01222-7_9,,paywalled,openalex,,Include
P01_0437,Winning at All Cost: A Small Environment for Eliciting Specification Gaming Behaviors in Large Language Models,2026,10.1007/978-3-032-01823-6_4,,paywalled,openalex,,Include
P01_0439,Ethical Decision-making with AI: Value Alignment and the Role of Reasoning,2026,10.1609/aaai.v40i48.42156,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Khanna_2026_oa.pdf,Include
P01_0440,AI ageism and its consequence: Benevolent ageist attitudes expressed by LLMs could reinforce ageism in humans,2025,10.1016/j.chbr.2025.100827,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Chen_2025_oa.pdf,Include
P01_0441,ResVaRe: Parameter-efficient fine-tuning for large language models via cross-layer residual vector adaptation and representation editing,2026,10.1016/j.neunet.2026.109273,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Wang_2026_oa.pdf,Include
P01_0443,Roadmap on Incentive Compatibility for AI Alignment and Governance in Sociotechnical Systems,2026,10.1007/978-3-032-00800-8_33,,paywalled,openalex,,Include
P01_0445,Theory of Mind as a Core Component of Artificial General Intelligence,2026,10.1007/978-3-032-00800-8_16,,paywalled,openalex,,Include
P01_0446,"Agents, Alignment, and the Many Faces of Autonomy",2026,10.1007/s11023-026-09786-9,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Fischli_2026_oa.pdf,Include
P01_0447,Metacognition of ChatGPT in confidence judgements,2026,10.3389/frai.2026.1694192,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Yoshizawa_2026_oa.pdf,Include
P01_0448,Cloud Platforms in Transition: AI Agents as Intelligent Intermediaries Disrupting the Traditional Saas Subscription Model,2026,10.1109/ICCCES62661.2026.11437322,,paywalled,openalex,,Include
P01_0453,Optimising multi-value alignment: a multi-objective evolutionary strategy for normative multi-agent systems,2025,10.1007/s00521-024-10625-0,,paywalled,openalex,,Include
P01_0457,On AI Alignment and the Later Wittgenstein: a Response To Sorin Bangu,2025,10.1007/s13347-025-00993-3,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/P_rez_Escobar_2025_oa.pdf,Include
P01_0460,Transparent by Design: Ensuring Safety in Agentic AI Through Decision Traceability,2026,10.1201/9781003657804-1,,paywalled-confirmed,openalex,,Include
P01_0465,Beyond Patches: Mining Interpretable Part-Prototypes for Explainable AI,2026,10.1609/aaai.v40i44.41052,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Alehdaghi_2026_oa.pdf,Include
P01_0467,Culturally-Grounded Multi-dimensional Alignment of LLMs with Chinese Social Values,2026,10.1007/978-981-95-8525-0_14,,paywalled,openalex,,Include
P01_0469,Flow-Multi: A Flow-Matching Multi-Reward Framework for Text-to-Image Generation,2026,10.3390/s26041120,,retrieved-manual,openalex,thesis/papers/01-scoping-review/research/pdfs/Lee_2026.pdf,Include
P01_0470,"Different Models, Different Values: Educational Preference Structures across Alignment Methodologies in Large Language Models",2026,10.5220/0014949500004021,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Autenrieth_2026_oa.pdf,Uncertain
P01_0472,Four Settings and a Proposal for the Exploration of Value Alignment in AI,2026,10.1007/978-3-032-13063-1_13,,paywalled,openalex,,Include
P01_0474,Preserving the Integrity of Evidence-Based Social Work in the Age of AI: A Proposed Ethical Framework,2026,10.1080/26408066.2025.2587092,,paywalled,openalex,,Include
P01_0476,Guiding artificial intelligence in public health and medicine with epidemiology: A lifecycle framework for mitigating AI misalignment,2025,10.1016/j.annepidem.2025.11.004,,paywalled,openalex,,Include
P01_0477,CircuChain: Disentangling Competence and Compliance in LLM Circuit Analysis,2026,10.1109/SoutheastCon63549.2026.11476399,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Ravishankara_2026_oa.pdf,Include
P01_0478,Differences in Alignment Behavior between Single-Agent and Multi-Agent LLM Systems: Implications for Human-AI Teaming,2026,10.1007/978-3-032-30836-8_39,,paywalled,openalex,,Include
P01_0479,How smart companions reshape psychological well-being in later life: the role of artificial intelligence technology in mental health during senior years,2026,10.1186/s12889-026-26328-1,,retrieved-oa,openalex,thesis/papers/01-scoping-review/research/pdfs/Luan_2026_oa.pdf,Include
