study_id,id,title,authors,year,doi,arxiv_id,relevance_score,page_count,annotation,ft_status,pdf_status,has_pdf,needs_download,dup_within_lib,dup_pdf_file,download_url
P018,P01_0195,Alignment with Psychological Concept Network,"Hamada, H.T.; Harada, Y.",2026,10.1007/978-981-95-4384-7_36,,3,,"RQ: Alignment with Psychological Concept Network | Abstract: Current approaches to human-AI alignment often separate values, concepts, and behaviors into distinct domains. However, concepts and representations are inherently network-structured, shaping how values are expressed and actions are execute",paywalled,paywalled,no,yes,,no,https://doi.org/10.1007/978-981-95-4384-7_36
P019,P01_0199,Data sparse inference of operator spatial reward models in uncertain environments,"Ray, H.M.; Pandey, A.; Ahmed, N.",2026,10.3389/frobt.2026.1751002,,4,,"RQ: Data sparse inference of operator spatial reward models in uncertain environments | Abstract: Human–machine teaming allows people to leverage the impressive capabilities of autonomous robotic teammates to safely accomplish challenging tasks. Although users may be experts in their fields, robotic interfaces need to be intuitive to th",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.3389/frobt.2026.1751002
P020,P01_0202,"Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints","Assistant, K.R.; Kulkarni, P.; Naresh, P.; Reddy, S.L.; Salotagi, S.; Sardar, T.H.",2026,10.1109/ICISS67859.2026.11453907,,5,,"RQ: Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints | Abstract: Artificial Superintelligence (ASI) is a hypothetical idea concerning a level of AI where a machine could outperform humans in every aspect - logic, creativity, knowledge and even emotional empathy. Although there have been considerable adva",paywalled,retrieved-manual,yes,no,,no,https://doi.org/10.1109/ICISS67859.2026.11453907
P021,P01_0204,"Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures","Shen, H.; Knearem, T.; Thakkar, D.; Pataranutaporn, P.; Sinha, A.K.; Shi, Y.; Liang, J.T.; Ahmad, L.; Mitra, T.; Myers, B.A.; Li, Y.",2026,10.1145/3772363.3778710,,3,,"RQ: Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures | Abstract: The rapid integration of generative AI into everyday life underscores the need to move beyond unidirectional alignment models that only adapt AI to human values. This workshop focuses on bidirectional human-AI alignment, a dynamic, reciproc",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1145/3772363.3778710
P022,P01_0205,Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning,"Holgado-Sánchez, A.; Vamplew, P.; Dazeley, R.; Ossowski, S.; Billhardt, H.",2026,10.65109/NLVD8864,,4,,"RQ: Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning | Abstract: Value-aware AI should recognise human values and adapt to the value systems (value-based preferences) of different users. This requires acquiring computable representations of values, a process that can be prone to misspecification.",paywalled,paywalled,no,yes,,no,https://doi.org/10.65109/NLVD8864
P023,P01_0210,How Proportional Representation Can Shape Artificial Intelligence,"Micha, E.",2025,10.1002/aaai.70044,,3,,"RQ: How Proportional Representation Can Shape Artificial Intelligence | Abstract: Proportional representation is a foundational principle in social choice theory, ensuring that groups influence collective decisions in proportion to their size. While it has traditionally been studied in the context of political elections,",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1002/aaai.70044
P024,P01_0211,Contemporary Debates in the Ethics of Artificial Intelligence,"Nyholm, S.; Kasirzadeh, A.; Zerilli, J.",2026,10.1002/9781394258840,,3,,"RQ: Contemporary Debates in the Ethics of Artificial Intelligence | Abstract: A cutting-edge selection of current issues and explorations of the ethics of artificial intelligence As artificial intelligence continues to influence virtually every facet of modern life, Contemporary Debates in the Ethics of Artificial In",paywalled,paywalled,no,yes,,no,https://doi.org/10.1002/9781394258840
P025,P01_0213,"A comprehensive introspection on AI risks: taxonomy, challenges, and future directions","Ray, P.P.",2026,10.1007/s42044-025-00370-5,,3,,"RQ: A comprehensive introspection on AI risks: taxonomy, challenges, and future directions | Abstract: Existing AI risk assessment frameworks, developed for static predictive models, struggle to address the dynamic, tool-driven failures emerging from autonomous agents and foundation models. Unanticipated harms—ranging from biased decision lo",paywalled,paywalled,no,yes,,no,https://doi.org/10.1007/s42044-025-00370-5
P026,P01_0214,Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation,"Hu, B.; Pang, J.",2026,10.1145/3796263.3796290,,4,,"RQ: Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation | Abstract: Deep Reinforcement Learning (DRL) has revolutionized autonomous navigation for Unmanned Aerial Vehicles (UAVs), enabling sophisticated path planning and obstacle avoidance capabilities. However, the security vulnerabilities of DRL systems, ",paywalled,paywalled,no,yes,,no,https://doi.org/10.1145/3796263.3796290
P027,P01_0215,ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI,"Turaga, V.S.P.; Gopali, S.; Kieseberg, P.; Pahi, T.; Tjoa, S.; Jones, K.S.; Namin, A.S.",2026,10.1109/ACCESS.2026.3694817,,3,,"RQ: ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI | Abstract: With the rapid advancement of AI and foundation models, several research directions have emerged which are active research focuses contributing to advancing and stabilizing the next generation of cutting-edge AI technologies. Instances of s",oa-link-failed,oa-link-failed,no,yes,,no,https://doi.org/10.1109/ACCESS.2026.3694817
P028,P01_0217,Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models,"Zhao, J.; Min, E.; Wu, H.; Li, Z.; Sun, Z.; Cai, H.; Wang, S.; Chen, X.; Penn, G.",2026,10.1609/aaai.v40i41.40798,,5,,"RQ: Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models | Abstract: Large language models (LLMs) have shown impressive capabilities in natural language tasks, yet they continue to struggle with multi-step mathematical reasoning, where correctness depends on a precise chain of intermediate steps. Preference ",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1609/aaai.v40i41.40798
P029,P01_0218,Justifications for Democratizing AI Alignment and Their Prospects,"Steingrüber, A.; Baum, K.",2026,10.1007/978-3-032-07132-3_10,,3,,"RQ: Justifications for Democratizing AI Alignment and Their Prospects | Abstract: The AI alignment problem comprises both technical and normative dimensions. While technical solutions focus on implementing normative constraints in AI systems, the normative problem concerns determining what these constraints should be.",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1007/978-3-032-07132-3_10
P030,P01_0219,The Many Faces of AI Alignment,"Kasirzadeh, A.",2026,10.1002/9781394258840.ch18,,5,,"RQ: The Many Faces of AI Alignment | Abstract: This chapter examines the fundamental question of whether the AI control problem is solvable. Despite significant research in AI safety and security, there has been little rigorous analysis of whether controlling highly capable AI systems i",paywalled,paywalled-confirmed,no,yes,,no,https://doi.org/10.1002/9781394258840.ch18
P031,P01_0220,Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?,"Zhang, S.",2026,10.1007/s10503-026-09704-4,,3,,"RQ: Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art? | Abstract: Fallacy identification has long been theorized as context-sensitive, stance-dependent judgment, yet computational approaches often treat it as neutral or theory-independent. This paper proposes a multi-method framework that operationalizes ",paywalled,paywalled,no,yes,,no,https://doi.org/10.1007/s10503-026-09704-4
P032,P01_0222,The specification game: rethinking the evaluation of drug response prediction for precision oncology,"Codicè, F.; Pancotti, C.; Rollo, C.; Moreau, Y.; Fariselli, P.; Raimondi, D.",2025,10.1186/s13321-025-00972-y,,3,,"RQ: The specification game: rethinking the evaluation of drug response prediction for precision oncology | Abstract: Precision oncology plays a pivotal role in contemporary healthcare, aiming to optimize treatments for each patient based on their unique characteristics. This objective has spurred the emergence of various cancer cell line drug response dat",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1186/s13321-025-00972-y
P033,P01_0223,AI-exhibited Personality Traits Can Shape Human Self-concept through Conversations,"Li, J.; Song, T.; Boonprakong, N.; Zhu, Z.; Yang, Y.; Lee, Y.-C.",2026,10.1145/3772318.3790654,,3,,"RQ: AI-exhibited Personality Traits Can Shape Human Self-concept through Conversations | Abstract: Recent Large Language Model (LLM) based AI can exhibit recognizable and measurable personality traits during conversations to improve user experience. However, as human understandings of their personality traits can be affected by their int",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1145/3772318.3790654
P034,P01_0224,Towards a societal AI alignment benchmark for evaluating human–machine value convergence,"Bojic, L.; Seychell, D.; Cabarkapa, M.",2026,10.1057/s41599-026-07255-3,,4,,"RQ: Towards a societal AI alignment benchmark for evaluating human–machine value convergence | Abstract: As general-purpose AI systems become increasingly integrated into society for tasks such as information retrieval, content generation, problem-solving, text analysis, coding, and automation, it is crucial to assess their long-term impact on",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1057/s41599-026-07255-3
P035,P01_0229,"AI and My Values: User Perceptions of LLMs' Ability to Extract, Embody, and Explain Human Values from Casual Conversations","Yun, B.; Su, R.; Yi Wang, A.",2026,10.1145/3772318.3790566,,3,,"RQ: AI and My Values: User Perceptions of LLMs' Ability to Extract, Embody, and Explain Human Values from Casual Conversations | Abstract: Does AI understand human values? While this remains an open philosophical question, we take a pragmatic stance by introducing VAPT, the Value-Alignment Perception Toolkit, for studying how LLMs reflect people's values and how people judge t",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1145/3772318.3790566
P036,P01_0231,Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework,"Cheng, Y.; Zhou, X.; Zhao, H.; Liang, G.; Wen, F.; Zhao, J.",2026,10.1016/j.energy.2026.140027,,4,,"RQ: Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework | Abstract: The integration of artificial intelligence (AI) is fundamentally reshaping energy systems, offering unprecedented capabilities for renewable integration and autonomous operation. However, this transition introduces complex attack surfaces s",paywalled,paywalled,no,yes,,no,https://doi.org/10.1016/j.energy.2026.140027
P037,P01_0236,Interpretable group gated priority traces for scalarized multi-objective reinforcement learning in autonomous drone operations,"Sun, B.; You, H.; Wu, J.; Du, J.",2026,10.3389/fbuil.2026.1747709,,3,,"RQ: Interpretable group gated priority traces for scalarized multi-objective reinforcement learning in autonomous drone operations | Abstract: Autonomous drones are increasingly deployed for navigation, inspection, and monitoring in urban building and infrastructure environments that are dynamic, partially observable, and safety critical. These missions must balance conflicting ob",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.3389/fbuil.2026.1747709
P038,P01_0237,Towards Aligning Multimodal LLMs with Human Experts: A Focus on Parent-Child Interaction,"Shi, W.; Choo, K.T.W.",2026,10.1145/3772318.3791267,,3,,"RQ: Towards Aligning Multimodal LLMs with Human Experts: A Focus on Parent-Child Interaction | Abstract: While multimodal large language models (MLLMs) are increasingly applied in human-centred AI systems, their ability to understand complex social interactions remains uncertain. We present an exploratory study on aligning MLLMs with speech-la",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1145/3772318.3791267
P039,P01_0238,Will power-seeking AGIs harm human society?,"Wang, M.",2026,10.1007/s00146-025-02572-8,,5,,"RQ: Will power-seeking AGIs harm human society? | Abstract: Many have argued, based on the Instrumental Convergence Thesis, that Artificial General Intelligences (AGIs) will exhibit power-seeking behavior. Such behavior, they warn, could harm human society and pose existential threats—namely, the ri",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1007/s00146-025-02572-8
P040,P01_0240,A sociotechnological-system approach to AI ethics,"Riesen, E.",2025,10.1007/s00146-025-02335-5,,3,,"RQ: A sociotechnological-system approach to AI ethics | Abstract: AI algorithms require human input to achieve technological aims. This fact is often overlooked in discussions of autonomous systems and AI safety, to the detriment of both philosophical discourse and practical progress.",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1007/s00146-025-02335-5
P041,P01_0245,Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment,"Song, J.; Cui, S.; Chen, D.; Li, Z.; Huang, D.; Xu, N.",2026,10.1109/ISOIRS70157.2026.11545282,,4,,"RQ: Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment | Abstract: With the advancement of generative artificial intelligence (AI) technology, generative AI-based agent systems are increasingly being applied across multiple domains, and the demand for value alignment in these systems is also growing. This ",paywalled,paywalled,no,yes,,no,https://doi.org/10.1109/ISOIRS70157.2026.11545282
P042,P01_0248,"Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective","Bouneffouf, D.",2026,10.1145/3774905.3795091,,3,,"RQ: Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective | Abstract: The rapid deployment of Large Language Models (LLMs) in increasingly autonomous roles has raised fundamental questions about governance, accountability, and control. A recurring question is whether LLMs can govern themselves.",paywalled,paywalled,no,yes,,no,https://doi.org/10.1145/3774905.3795091
P043,P01_0250,Human-Machine Moral Divergence,"Firt, E.",2026,10.1007/978-3-032-15112-4_48,,3,,"RQ: Human-Machine Moral Divergence | Abstract: In machine ethics, a full-blown Artificial Moral Agent (AMA) represents the highest of four commonly acknowledged categories of artificial moral agents. Its three main characteristics are autonomy, moral comprehension, and consciousness-inc",paywalled,paywalled,no,yes,,no,https://doi.org/10.1007/978-3-032-15112-4_48
P044,P01_0251,Parallel Diffusion Solver via Residual Dirichlet Policy Optimization,"Wang, R.; Li, Z.; Zhu, B.; Yuan, L.; Zhang, H.; Yang, X.; Chang, X.; Zhang, C.",2026,10.1109/TPAMI.2026.3692227,,4,,RQ: Parallel Diffusion Solver via Residual Dirichlet Policy Optimization | Abstract: Diffusion models (DMs) have achieved state-of-the-art generative performance but suffer from high sampling latency due to their sequential denoising nature. Existing solver-based acceleration methods often face significant image quality deg,paywalled,paywalled,no,yes,,no,https://doi.org/10.1109/TPAMI.2026.3692227
P045,P01_0252,The Power of Stories: Narrative Priming in Networked Multi-Agent LLM Interactions,"Großmann, G.; Ivanova, L.; Poduru, S.L.; Tabrizian, M.; Mesabah, I.; Selby, D.A.; Vollmer, S.J.",2026,10.1007/978-3-032-09315-8_11,,3,,RQ: The Power of Stories: Narrative Priming in Networked Multi-Agent LLM Interactions | Abstract: Research suggests that large-scale human cooperation is driven by shared narratives that encode common beliefs and values. This study explores whether such narratives can similarly nudge LLM agents toward collaboration.,paywalled,paywalled,no,yes,,no,https://doi.org/10.1007/978-3-032-09315-8_11
P046,P01_0255,Multi-objective reinforcement learning for designing ethical multi-agent environments,"Rodriguez-Soto, M.; Lopez-Sanchez, M.; Rodriguez-Aguilar, J.A.",2025,10.1007/s00521-023-08898-y,,3,,"RQ: Multi-objective reinforcement learning for designing ethical multi-agent environments | Abstract: This paper tackles the open problem of value alignment in multi-agent systems. In particular, we propose an approach to build an ethical environment that guarantees that agents in the system learn a joint ethically-aligned behaviour while p",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1007/s00521-023-08898-y
P047,P01_0256,Quantitative Analysis Model for Multi-Component Gas Infrared Spectrum Based on the Transformer Structure,"Li, Z.",2026,10.3788/LOP250829,,3,,"RQ: Quantitative Analysis Model for Multi-Component Gas Infrared Spectrum Based on the Transformer Structure | Abstract: Objective Infrared spectroscopy integrated with chemometrics is pivotal for sample detection across diverse fields. However, its accuracy is compromised by high dimensionality, spectral peak overlap, and cross-sensitivity, particularly in l",paywalled,paywalled,no,yes,,no,https://doi.org/10.3788/LOP250829
P048,P01_0259,Could We Control Superintelligent AI?,"Yampolskiy, R.V.",2026,10.1002/9781394258840.ch19,,5,,"RQ: Could We Control Superintelligent AI? | Abstract: AI alignment is commonly treated as a single, urgent puzzle, yet the debates that swirl around it rely on mutually incompatible standards of what counts as success. This chapter shows that AI alignment in fact oscillates between three conce",paywalled,paywalled-confirmed,no,yes,,no,https://doi.org/10.1002/9781394258840.ch19
P049,P01_0261,FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making,"Pan, W.; Yu, Z.; Wu, Y.; Liang, X.; Jin, Z.; Fu, Q.; Shang, P.; Lin, B.; He, X.; Ye, J.",2026,10.1609/aaai.v40i21.38819,,4,,"RQ: FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making | Abstract: Ensuring alignment with human values is essential for modern large language models (LLMs), especially amid growing concerns around AI safety and social impact. Yet achieving such alignment remains challenging due to the limited, noisy, and ",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1609/aaai.v40i21.38819
P050,P01_0262,Reward Hacking Mitigation using Verifiable Composite Rewards,"Bin Tarek, M.F.; Beheshti, R.",2025,10.1145/3765612.3767230,,4,,"RQ: Reward Hacking Mitigation using Verifiable Composite Rewards | Abstract: Reinforcement Learning from Verifiable Rewards (RLVR) has recently shown that large language models (LLMs) can develop their own reasoning without direct supervision. However, applications in the medical domain, specifically for question an",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1145/3765612.3767230
P051,P01_0263,"They Do the Right Thing, Right? Large Language Models’ Decisions in Ethical Dilemmas Involving Robots","Yass-Coy, J.; Daniels, T.",2026,10.1007/978-3-032-30846-7_36,,3,,"RQ: They Do the Right Thing, Right? Large Language Models’ Decisions in Ethical Dilemmas Involving Robots | Abstract: Large language models (LLMs) have been presented with Trolley problems to analyze their alignment with human choices. The growing presence of autonomous vehicles (AVs) in cities and the imminent arrival of humanoid robots raise the question",paywalled,paywalled,no,yes,,no,https://doi.org/10.1007/978-3-032-30846-7_36
P052,P01_0264,AI Alignment: The Case for Including Animals,"Tse, Y.F.; Moret, A.; Ziesche, S.; Singer, P.",2025,10.1007/s13347-025-00979-1,,3,,"RQ: AI Alignment: The Case for Including Animals | Abstract: AI alignment efforts and proposals try to make AI systems ethical, safe and beneficial for humans by making them follow human intentions, preferences or values. However, these proposals largely disregard the vast majority of moral patients ",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1007/s13347-025-00979-1
P053,P01_0265,"A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning","Liu, T.; Ye, L.; Yan, W.",2026,10.1016/j.caeai.2026.100565,,4,,"RQ: A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning | Abstract: Recent advances in large language models have revitalized research on automated essay evaluation, yet critical concerns remain regarding their reliability, validity, and interpretability. This study presents a comparative analysis of five L",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1016/j.caeai.2026.100565
P054,P01_0267,NP-Hard Lower Bound Complexity for Semantic Self-Verification,"Young, R.",2026,10.18653/v1/2026.eacl-long.60,,3,,RQ: NP-Hard Lower Bound Complexity for Semantic Self-Verification | Abstract: We model Semantic Self-Verification (SSV) as the problem of determining whether a statement accurately characterizes its own semantic properties within a given interpretive framework that formalizes a challenge in AI safety and fairness: ca,retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.18653/v1/2026.eacl-long.60
P055,P01_0272,"Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Professional Contexts","Li, Z.; Xue, Y.; Qiao, Y.",2026,10.1109/AINIT70033.2026.11557612,,5,,"RQ: Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Profes | Abstract: Despite safety alignment, the Doubao AI system frequently displays procedural compliance yet substantive boundary transgression in professional contexts. We analyze 180 responses across six social work scenarios and three output modes, reve",paywalled,retrieved-manual,yes,no,,no,https://doi.org/10.1109/AINIT70033.2026.11557612
P056,P01_0273,Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning,"Wei, W.; Liu, Y.-A.; Zhang, R.; Guo, J.; Su, L.; Wang, S.; Yin, D.; de Rijke, M.; Cheng, X.",2026,10.1609/aaai.v40i40.40675,,4,,"RQ: Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning | Abstract: Retrieval-augmented generation (RAG) has proven to be effective in mitigating hallucinations in large language models, yet its effectiveness remains limited in complex, multi-step reasoning scenarios. Recent efforts have incorporated search",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1609/aaai.v40i40.40675
P057,P01_0274,A Method of Heuristic Human-LLM Collaborative Source Search,"Yi, C.; Sihang, Q.; Zhengqiu, Z.; Yatai, J.; Yong, Z.; Rusheng, J.",2025,10.16182/j.issn1004731x.joss.25-FZ0646E,,3,,"RQ: A Method of Heuristic Human-LLM Collaborative Source Search | Abstract: Traditional source search algorithms are prone to local optimization, and source search methods combining crowdsourcing and human-AI collaboration suffer from low cost-efficiency due to human intervention. In this study, we proposed a light",paywalled,paywalled,no,yes,,no,https://doi.org/10.16182/j.issn1004731x.joss.25-FZ0646E
