study_id,id,title,year,venue,architectures,benchmarks,seeds_runs
S011,P02_0023,Environment Agnostic Invariant Risk Minimization for Classification of Sequential Datasets,2021,Proceedings of the 27th ACM SIGKDD Conference on Knowledge D,Transformer-family; RNN-family; CNN; MLP; VAE/AE,Vision; OOD-CV; NLP-OOD,10
S012,P02_0031,Causal Disentangled Recommendation against User Preference Shifts,2023,ACM:F2,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent; VAE/AE,NLP-OOD,
S013,P02_0032,NILMBENCH2026: A Benchmark for Energy Disaggregation,2026,Proceedings of the 13th ACM International Conference on Syst,Transformer-family; RNN-family; CNN; GNN; VAE/AE; Diffusion,Math/MW; NLU-bench; Vision,3
S014,P02_0045,,2022,ACM:F2,RNN-family,Math/MW,10
S015,P02_0055,A.I. Robustness: a Human-Centered Perspective on Technological Challenges and Opportunities,2025,ACM:F2,Transformer-family; RNN-family; CNN; MLP; GNN; VAE/AE,COGS; Math/MW; Vision; NLP-OOD,
S016,P02_0058,A Survey of Model Inversion Attacks: An Interface-Prior Perspective,2026,Proceedings of the 2025 15th International Conference on Com,Transformer-family; CNN; MLP; GNN; RL-agent; Diffusion,Math/MW,
S017,P02_0060,AI Alignment: A Contemporary Survey,2025,ACM:F2,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent; VAE/AE,Math/MW; Vision; Robotics/RL; Tabular,
S018,P02_0064,Abstraction Alignment: Comparing Model-Learned and Human-Encoded Conceptual Relationships,2025,Proceedings of the 2025 CHI Conference on Human Factors in C,Transformer-family; CNN; GNN; Diffusion,COGS; Math/MW; Vision; OOD-CV; NLP-OOD,
S019,P02_0069,Uniformly Distributed Category Prototype-Guided Vision-Language Framework for Long-Tail Recognition,2023,Proceedings of the 31st ACM International Conference on Mult,Transformer-family; CNN,Vision,
S020,P02_0071,A Survey of Multilingual Neural Machine Translation,2020,ACM:F2,Transformer-family; RNN-family; CNN; MLP; RL-agent; VAE/AE,OOD-CV,
S021,P02_0072,Contrastive Curriculum Learning for Sequential User Behavior Modeling via Data Augmentation,2021,Proceedings of the 30th ACM International Conference on Info,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent,none-detected,
S022,P02_0073,Efficient Knowledge Graph Unlearning with Zeroth-order Information,2025,Proceedings of the 34th ACM International Conference on Info,Transformer-family; CNN; GNN; VAE/AE,Math/MW,
S023,P02_0075,Neural Dehydration: Effective Erasure of Black-box Watermarks from DNNs with Limited Data,2024,Proceedings of the 2024 on ACM SIGSAC Conference on Computer,Transformer-family; RNN-family; CNN,Math/MW; Vision,
S024,P02_0081,Evaluating Out-of-Distribution Robustness of TabPFN on Tabular Data,2025,2025 International Conference on Advances in Technology and ,Transformer-family,Tabular,
S025,P02_0082,On the Out-of-Distribution Evaluation of ML-Based End-to-End Communications Systems,2024,ICC 2024 - IEEE International Conference on Communications,CNN; VAE/AE,none-detected,
S026,P02_0087,Evading the Simplicity Bias: Training a Diverse Set of Models Discovers Solutions with Superior OOD Generalization,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Reco,Transformer-family; CNN; MLP; VAE/AE,COGS; Math/MW; Vision; OOD-CV; NLP-OOD,
S027,P02_0088,Compositional Generalization in Emergent Communication via Metropolis-Hastings Naming Game with Transformer Language Models,2026,IEEE Transactions on Cognitive and Developmental Systems,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent; VAE/AE,none-detected,
S028,P02_0092,Data Distributional Properties As Inductive Bias for Systematic Generalization,2025,2025 IEEE/CVF Conference on Computer Vision and Pattern Reco,Transformer-family; RNN-family; CNN; GNN; VAE/AE,COGS; gSCAN; Vision,3
S029,P02_0093,Dynamic Multi-Path Learning For Out-of-Distribution Node Classification on Heterophilic Graphs,2026,ICASSP 2026 - 2026 IEEE International Conference on Acoustic,Transformer-family; CNN; MLP; GNN,none-detected,
S030,P02_0096,Out-of-Distribution Generalization on Graphs: A Survey,2025,IEEE Transactions on Pattern Analysis and Machine Intelligen,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent; VAE/AE,Vision; NLP-OOD,
S031,P02_0110,Efficient Out-of-Distribution Generalization for Pre-trained GNNs via Prompt Learning,2026,IEEE Transactions on Artificial Intelligence,Transformer-family; CNN; MLP; GNN,Vision,3
S032,P02_0116,Complexity Control Facilitates Reasoning-Based Compositional Generalization in Transformers,2026,IEEE Transactions on Pattern Analysis and Machine Intelligen,Transformer-family; RNN-family; CNN; MLP; Diffusion,SCAN; COGS; Math/MW,16
S033,P02_0124,Handling Out-of-Distribution Data: A Survey,2025,IEEE Transactions on Knowledge and Data Engineering,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent; VAE/AE; Diffusion,SCAN; Math/MW; NLU-bench; Vision; OOD-CV; NLP-OOD; Tabular,
S034,P02_0126,The Many Faces of Robustness: A Critical Analysis of Out-of-Distribution Generalization,2021,2021 IEEE/CVF International Conference on Computer Vision (I,Transformer-family; CNN; MLP; RL-agent; VAE/AE,Vision,
S035,P02_0128,A System-Level Analysis of Cross-Domain Generalization Failure in Audio Deepfake Detection,2026,IEEE Access,Transformer-family; RNN-family; CNN; MLP; Diffusion,NLP-OOD,
S036,P02_0136,Defeating Multimodal Information Manipulation By A Web 3.0 Decentralized Identity (DID)-Based Accountability Framework,2025,2025 IEEE World AI IoT Congress (AIIoT),Transformer-family; CNN; VAE/AE; Diffusion,none-detected,
S037,P02_0150,Spatial-DiT: Generalizable 3D Visuomotor Policy for Cross-Object Manipulation via Multi-Scale Spatial Fusion,2026,2026 38th Chinese Control and Decision Conference (CCDC),Transformer-family; CNN; MLP; VAE/AE; Diffusion,Vision,
S038,P02_0151,Leveraging Vision-Language Models for Improving Domain Generalization in Image Classification,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Reco,Transformer-family; CNN; GNN,Vision; OOD-CV,
S039,P02_0154,"Roses are Red, Violets are Blue… But Should VQA expect Them To?",2021,2021 IEEE/CVF Conference on Computer Vision and Pattern Reco,Transformer-family; RNN-family; MLP; GNN,CLOSURE; Vision; NLP-OOD,
S040,P02_0179,General Greedy De-Bias Learning,2023,IEEE Transactions on Pattern Analysis and Machine Intelligen,Transformer-family; CNN; GNN,NLU-bench; Vision; NLP-OOD,
S041,P02_0200,Handling Dual Skewness in Citywide Crime Prediction Using Personalized Graph Federated Learning,2025,IEEE Transactions on Computational Social Systems,Transformer-family; RNN-family; CNN; GNN,Math/MW,
S042,P02_0238,Three approaches to facilitate invariant neurons and generalization to out-of-distribution orientations and illuminations,2022,Neural Networks,CNN; MLP; VAE/AE,Vision; NLP-OOD,
S043,P02_0280,SSGNN: Simple siamese graph neural networks for out-of-distribution generalization,2025,Knowledge-Based Systems,Transformer-family; CNN; MLP; GNN; VAE/AE,none-detected,10
S044,P02_0290,Boosting Rice Disease Diagnosis: A Systematic Benchmark of Five Deep Convolutional Neural Network Models in Precision Agriculture,2025,Agriculture (Switzerland),Transformer-family; RNN-family; CNN; MLP,COGS; Vision,
S045,P02_0322,A two-stage co-adversarial perturbation to mitigate out-of-distribution generalization of large-scale graph,2024,Expert Systems with Applications,Transformer-family; CNN; GNN,Math/MW,
S046,P02_0386,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,Transformer-family; CNN; MLP; GNN; VAE/AE,Vision; OOD-CV,
S047,P02_0410,Invariant Graph Transformer for Out-of-Distribution Generalization,2026,Proceedings of the ACM SIGKDD International Conference on Kn,Transformer-family; CNN; MLP; GNN; RL-agent,Math/MW,
S048,P02_0442,Producing plankton classifiers that are robust to dataset shift,2025,Limnology and Oceanography: Methods,Transformer-family; CNN; GNN,Math/MW; Vision; NLP-OOD,
S049,P02_0493,Coupled data-driven and experience-informed neural networks for prediction of pile base resistance with consideration of data limitation,2026,Engineering Applications of Artificial Intelligence,Transformer-family; RNN-family; CNN; MLP; GNN,Math/MW,
S050,P02_0495,MiMu: mitigating multiple shortcut learning behavior of transformers,2025,Frontiers of Computer Science,Transformer-family; CNN,COGS; Math/MW; NLU-bench; Vision; NLP-OOD,
S051,P02_0497,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,2022,Findings of the Association for Computational Linguistics: N,Transformer-family; RNN-family; GNN,SCAN; NLP-OOD,
S052,P02_0500,Accurate Classification of Pathological Whole-Slide Images for Out-of-Distribution Generalization,2025,International Journal of Intelligent Systems,Transformer-family; RNN-family; CNN; MLP,SCAN; OOD-CV,
S053,P02_0503,A Structure-aware Invariant Learning Framework for Node-level Graph OOD Generalization,2025,Proceedings of the ACM SIGKDD International Conference on Kn,Transformer-family; CNN; MLP; GNN; RL-agent,Math/MW,5
S054,P02_0507,I2CD: An Invertible Causal Framework for Compositional Zero-Shot Learning via Disentangle-Compose-Disentangle,2026,Proceedings of the AAAI Conference on Artificial Intelligenc,Transformer-family; MLP,NLP-OOD,
S055,P02_0510,Compositional Generalization for Neural Semantic Parsing via Span-level Supervised Attention,2021,NAACL-HLT 2021 - 2021 Conference of the North American Chapt,Transformer-family; RNN-family,CFQ; Math/MW,
S056,P02_0511,PTAN: Principal Token-aware Adjacent Network for Compositional Temporal Grounding,2024,ICMR 2024 - Proceedings of the 2024 International Conference,Transformer-family; RNN-family; CNN; MLP; RL-agent,COGS; Vision,
S057,P02_0514,Towards Domain-Aware Stable Meta Learning for Out-of-Distribution Generalization,2024,ACM Transactions on Knowledge Discovery from Data,Transformer-family; MLP; GNN; RL-agent; VAE/AE,Math/MW; Vision; OOD-CV,
S058,P02_0542,Bayesian Cross-Modal Alignment Learning for Few-Shot Out-of-Distribution Generalization,2023,Proceedings of the 37th AAAI Conference on Artificial Intell,Transformer-family; CNN; VAE/AE,Math/MW; Vision; OOD-CV,
S059,P02_0556,Spectral Distribution Alignment for Enhanced Generalization in Regression,2025,Lecture Notes in Computer Science,Transformer-family; CNN,Math/MW; Vision,3
S060,P02_0576,Improving Group Robustness on Spurious Correlation via Evidential Alignment,2025,Proceedings of the ACM SIGKDD International Conference on Kn,Transformer-family; CNN; MLP,COGS; Vision; OOD-CV,
S061,P02_0594,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,2020,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; PCFG; Math/MW; Vision,5
S062,P02_0595,Exploring Compositional Generalization (in COGS/ReCOGS_pos) by Transformers using Restricted Access Sequence Processing (RASP),2025,arXiv:benchmark,Transformer-family; RNN-family; MLP; RL-agent,COGS; SLOG,
S063,P02_0596,SLOG: A Structural Generalization Benchmark for Semantic Parsing,2023,arXiv:benchmark,Transformer-family; RNN-family; MLP,COGS; SLOG; Math/MW; Vision,
S064,P02_0597,Grounded Graph Decoding Improves Compositional Generalization in Question Answering,2021,arXiv:benchmark,Transformer-family; RNN-family; VAE/AE,SCAN; CFQ; Math/MW,
S065,P02_0598,Towards Understanding the Relationship between In-context Learning and Compositional Generalization,2024,arXiv:benchmark,Transformer-family; RNN-family; MLP; RL-agent,SCAN; COGS; CFQ; PCFG; Math/MW,2
S066,P02_0599,Compositional Generalization in Semantic Parsing: Pre-training vs. Specialized Architectures,2020,arXiv:benchmark,Transformer-family; RNN-family; CNN; GNN; RL-agent,SCAN; CFQ; CLOSURE; NLU-bench; Vision,
S067,P02_0600,Learning to Substitute Components for Compositional Generalization,2025,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; Math/MW,
S068,P02_0601,Span-based Semantic Parsing for Compositional Generalization,2020,arXiv:benchmark,Transformer-family; RNN-family; RL-agent; VAE/AE,SCAN; CLOSURE; Vision,
S069,P02_0602,Harnessing Dataset Cartography for Improved Compositional Generalization in Transformers,2023,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; Math/MW; NLU-bench,3
S070,P02_0603,Learning to Substitute Spans towards Improving Compositional Generalization,2023,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; Math/MW,
S071,P02_0604,On the Compositional Generalization Gap of In-Context Learning,2022,arXiv:benchmark,Transformer-family; RNN-family,SCAN; CFQ,
S072,P02_0605,Representational Homomorphism Predicts and Improves Compositional Generalization In Transformer Language Model,2026,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; gSCAN; Math/MW,5
S073,P02_0606,Compositional Generalization in Dependency Parsing,2021,arXiv:benchmark,Transformer-family; RNN-family,SCAN; COGS; CFQ; gSCAN; CLOSURE; Vision,
S074,P02_0607,Revisiting Iterative Back-Translation from the Perspective of Compositional Generalization,2020,arXiv:benchmark,Transformer-family; RNN-family,SCAN; CFQ; Math/MW; Vision,
S075,P02_0608,*-CFQ: Analyzing the Scalability of Machine Learning on a Compositional Task,2020,arXiv:benchmark,Transformer-family; RNN-family; CNN,CFQ; Tabular,
S076,P02_0609,Compositional Generalization Requires Compositional Parsers,2022,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; PCFG; CLOSURE,5
S077,P02_0610,Think before you act: A simple baseline for compositional generalization,2020,arXiv:benchmark,Transformer-family; RNN-family; CNN,SCAN; gSCAN; Math/MW; Vision,
S078,P02_0611,How Do In-Context Examples Affect Compositional Generalization?,2023,arXiv:benchmark,Transformer-family; RNN-family,SCAN; COGS; CFQ,
S079,P02_0612,Hierarchical Poset Decoding for Compositional Generalization in Language,2020,arXiv:benchmark,Transformer-family; RNN-family; RL-agent; VAE/AE,CFQ,
S080,P02_0613,Unlocking Compositional Generalization in Pre-trained Models Using Intermediate Representations,2021,arXiv:benchmark,Transformer-family; RNN-family; VAE/AE,SCAN; CFQ,
S081,P02_0614,Compositional Generalization by Learning Analytical Expressions,2020,arXiv:benchmark,Transformer-family; RNN-family; CNN; GNN; RL-agent,SCAN; COGS; CFQ; Math/MW; Vision,1
S082,P02_0615,Compositional Generalization in Multilingual Semantic Parsing over Wikidata,2021,arXiv:benchmark,Transformer-family; RNN-family,SCAN; COGS; CFQ; Math/MW; NLU-bench,
S083,P02_0616,Data Factors for Better Compositional Generalization,2023,arXiv:benchmark,Transformer-family; RNN-family; CNN; MLP,SCAN; COGS; CFQ; Math/MW,5
S084,P02_0617,Iterative Decoding for Compositional Generalization in Transformers,2021,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; CFQ; PCFG; Math/MW,
S085,P02_0618,Structural generalization in COGS: Supertagging is (almost) all you need,2023,arXiv:benchmark,Transformer-family; RNN-family,COGS; Math/MW,3
S086,P02_0619,When Can Transformers Ground and Compose: Insights from Compositional Generalization Benchmarks,2022,arXiv:benchmark,Transformer-family; RNN-family; CNN; MLP; GNN,COGS; gSCAN; CLOSURE; Math/MW; Vision,
S087,P02_0620,Compositional Generalization for Natural Language Interfaces to Web APIs,2021,arXiv:benchmark,Transformer-family; RNN-family; RL-agent,SCAN; COGS; CFQ,5
S088,P02_0621,Revisiting the Compositional Generalization Abilities of Neural Sequence Models,2022,arXiv:benchmark,Transformer-family; RNN-family,SCAN; COGS,
S089,P02_0622,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,2019,arXiv:benchmark,Transformer-family; RNN-family,SCAN; CFQ; Math/MW; Vision,
S090,P02_0623,Recursive Decoding: A Situated Cognition Approach to Compositional Generation in Grounded Language Understanding,2022,arXiv:benchmark,Transformer-family; RNN-family; CNN; MLP; RL-agent,SCAN; COGS; gSCAN; Math/MW; Vision; NLP-OOD,
S091,P02_0624,Compositional Generalization without Trees using Multiset Tagging and Latent Permutations,2023,arXiv:benchmark,Transformer-family; RNN-family; MLP; VAE/AE,COGS; Math/MW,10
S092,P02_0625,Compositional Generalization via Neural-Symbolic Stack Machines,2020,arXiv:benchmark,Transformer-family; RNN-family; CNN; RL-agent,SCAN; CLOSURE; Vision,5
S093,P02_0626,Compositional Generalization for Primitive Substitutions,2019,arXiv:benchmark,Transformer-family; RNN-family; CNN,SCAN; COGS; Vision,
S094,P02_0627,Uncontrolled Lexical Exposure Leads to Overestimation of Compositional Generalization in Pretrained Models,2022,arXiv:benchmark,Transformer-family; RNN-family; CNN; MLP,SCAN; COGS; CFQ,
S095,P02_0628,A Neuroscience-Inspired Dual-Process Model of Compositional Generalization,2025,arXiv:benchmark,Transformer-family; RNN-family; GNN; RL-agent,SCAN,4
S096,P02_0629,Compositional generalization in a deep seq2seq model by separating syntax and semantics,2019,arXiv:benchmark,Transformer-family; RNN-family; CNN; MLP; GNN,SCAN; Vision,25
S097,P02_0630,Compositional Generalization and Decomposition in Neural Program Synthesis,2022,arXiv:benchmark,Transformer-family; RNN-family; MLP; GNN; RL-agent,SCAN; COGS; CLOSURE; Math/MW; Vision,
S098,P02_0631,Learning to Recombine and Resample Data for Compositional Generalization,2020,arXiv:benchmark,Transformer-family; RNN-family; GNN; VAE/AE,SCAN; COGS; CLOSURE; Math/MW; Vision,
S099,P02_0632,Can Transformers Jump Around Right in Natural Language? Assessing Performance Transfer from SCAN,2021,arXiv:benchmark,Transformer-family; RNN-family; CNN; GNN; RL-agent,SCAN; Math/MW,
S100,P02_0633,Learning to Generalize Compositionally by Transferring Across Semantic Parsing Tasks,2021,arXiv:benchmark,Transformer-family; RNN-family; GNN,SCAN; COGS; Math/MW; Tabular,
S101,P02_0634,Compositional generalization in semantic parsing with pretrained transformers,2021,arXiv:benchmark,Transformer-family; RNN-family,SCAN; COGS; NLU-bench; Vision,
S102,P02_0635,CNNs found to jump around more skillfully than RNNs: Compositional generalization in seq2seq convolutional networks,2019,arXiv:benchmark,Transformer-family; RNN-family; CNN; GNN,SCAN; COGS; Math/MW,5
S103,P02_0636,SUBS: Subtree Substitution for Compositional Semantic Parsing,2022,arXiv:benchmark,Transformer-family; RNN-family; MLP; GNN,Math/MW,
S104,P02_0637,On graph-based reentrancy-free semantic parsing,2023,arXiv:benchmark,Transformer-family; RNN-family; VAE/AE,CLOSURE; Math/MW; Vision,
S105,P02_0638,LAGr: Labeling Aligned Graphs for Improving Systematic Generalization in Semantic Parsing,2021,arXiv:benchmark,Transformer-family; RNN-family,COGS; CFQ; CLOSURE; Math/MW; Vision,10
S106,P02_0639,ReCOGS: How Incidental Details of a Logical Form Overshadow an Evaluation of Semantic Interpretation,2023,arXiv:benchmark,Transformer-family; RNN-family,SCAN; COGS; Math/MW; NLP-OOD,20
S107,P02_0640,ReaSCAN: Compositional Reasoning in Language Grounding,2021,arXiv:benchmark,Transformer-family; RNN-family; CNN; GNN,SCAN; gSCAN; CLOSURE; Math/MW; Vision,3
S108,P02_0642,Compositional Semantic Parsing with Large Language Models,2022,arXiv:benchmark,Transformer-family; RNN-family,SCAN; COGS; CFQ; CLOSURE; Math/MW; NLU-bench; Vision,
S109,P02_0643,A Benchmark for Systematic Generalization in Grounded Language Understanding,2020,arXiv:benchmark,Transformer-family; RNN-family; CNN; RL-agent,SCAN; gSCAN; CLOSURE; Vision,3
S110,P02_0647,Compositional generalization through meta sequence-to-sequence learning,2019,arXiv:benchmark,Transformer-family; RNN-family,SCAN,
S111,P02_0648,Inducing Transformer's Compositional Generalization Ability via Auxiliary Sequence Prediction Tasks,2021,arXiv:benchmark,Transformer-family; RNN-family; CNN; MLP; RL-agent,SCAN; COGS; CFQ; gSCAN,5
S112,P02_0649,Laziness Is a Virtue When It Comes to Compositionality in Neural Semantic Parsing,2023,arXiv:benchmark,Transformer-family; RNN-family,SCAN; COGS; CFQ; Math/MW,
S113,P02_0651,Early-Warning Signals of Grokking via Loss-Landscape Geometry,2026,arXiv:benchmark,Transformer-family; RNN-family; MLP,SCAN; Math/MW,3
S114,P02_0654,A Compositional Framework for Open-ended Intelligence,2026,arXiv:benchmark,Transformer-family; RNN-family; GNN; RL-agent; Diffusion,SCAN; CLOSURE; Math/MW; NLP-OOD,
S115,P02_0657,Sequence-Level Mixed Sample Data Augmentation,2020,arXiv:benchmark,Transformer-family; RNN-family; CNN,SCAN,
S116,P02_0667,Does Data Scaling Lead to Visual Compositional Generalization?,2025,arXiv:broad,Transformer-family; CNN; MLP; Diffusion,Math/MW; Vision,
S117,P02_0668,Towards Robust Out-of-Distribution Generalization Bounds via Sharpness,2024,arXiv:broad,Transformer-family; MLP,Math/MW; Vision; OOD-CV,6
S118,P02_0669,Aggregation Hides Out-of-Distribution Generalization Failures from Spurious Correlations,2025,arXiv:broad,Transformer-family; CNN,SCAN; NLU-bench; Vision; OOD-CV,
S119,P02_0673,Learning to Think in Physics: Breaking Shortcut Learning in Scientific Diffusion via Representation Alignment,2026,arXiv:broad,Transformer-family; CNN; MLP; Diffusion,CoCoGen; Math/MW; Vision,3
S120,P02_0678,"Sharp analysis of out-of-distribution error for ""importance-weighted"" estimators in the overparameterized regime",2024,arXiv:broad,unknown,Math/MW; OOD-CV,
S121,P02_0679,Principled Out-of-Distribution Generalization via Simplicity,2025,arXiv:broad,Transformer-family; CNN; MLP; Diffusion,Math/MW; Vision,10
S122,P02_0688,Using Interventions to Improve Out-of-Distribution Generalization of Text-Matching Recommendation Systems,2022,arXiv:broad,Transformer-family; GNN,NLU-bench,3
S123,P02_0689,Correct-N-Contrast: A Contrastive Approach for Improving Robustness to Spurious Correlations,2022,arXiv:broad,Transformer-family; CNN; GNN; VAE/AE,COGS; Vision; OOD-CV,
S124,P02_0690,CausPref: Causal Preference Learning for Out-of-Distribution Recommendation,2022,arXiv:broad,Transformer-family; CNN; MLP; GNN; RL-agent,Math/MW,
S125,P02_0692,Fishr: Invariant Gradient Variances for Out-of-Distribution Generalization,2021,arXiv:broad,Transformer-family; CNN; MLP; VAE/AE,SCAN; Math/MW; Vision; OOD-CV,10
S126,P02_0693,Early Period of Training Impacts Adaptation for Out-of-Distribution Generalization: An Empirical Study,2024,arXiv:broad,Transformer-family; RNN-family; CNN; VAE/AE,Math/MW; NLU-bench; Vision; OOD-CV,6
S127,P02_0698,Invariance Principle Meets Information Bottleneck for Out-of-Distribution Generalization,2021,arXiv:broad,CNN; MLP; GNN; VAE/AE,Vision; OOD-CV,4
S128,P02_0700,What Matters to You? Towards Visual Representation Alignment for Robot Learning,2023,arXiv:broad,Transformer-family; CNN; RL-agent; VAE/AE,Math/MW; Vision; NLP-OOD,
S129,P02_0702,Benign Overfitting in Out-of-Distribution Generalization of Linear Models,2024,arXiv:broad,Transformer-family,Math/MW; Vision; NLP-OOD,10
S130,P02_0703,Can Agents Run Relay Race with Strangers? Generalization of RL to Out-of-Distribution Trajectories,2023,arXiv:broad,Transformer-family; RL-agent,none-detected,
S131,P02_0705,Diagnosing Generalization Failures from Representational Geometry Markers,2026,arXiv:broad,Transformer-family; RNN-family; CNN; MLP; RL-agent; VAE/AE,Math/MW; NLU-bench; Vision,
S132,P02_0708,Making Foresight Actionable: Repurposing Representation Alignment in World Action Models,2026,arXiv:broad,Transformer-family; MLP; VAE/AE; Diffusion,CLOSURE,
S133,P02_0712,Low-rank Orthogonal Subspace Intervention for Generalizable Face Forgery Detection,2026,arXiv:broad,Transformer-family; RNN-family; CNN; Diffusion,COGS; NLP-OOD,
S134,P02_0717,Incorporating Surrogate Gradient Norm to Improve Offline Optimization Techniques,2025,arXiv:broad,Transformer-family; GNN; RL-agent; VAE/AE; Diffusion,Math/MW; NLP-OOD,16
S135,P02_0719,Temporal Representation Alignment: Successor Features Enable Emergent Compositionality in Robot Instruction Following,2025,arXiv:broad,Transformer-family; CNN; MLP; GNN; RL-agent; Diffusion,COGS; Math/MW; Vision; NLP-OOD; Robotics/RL,10
S136,P02_0738,DSL: Understanding and Improving Softmax Recommender Systems with Competition-Aware Scaling,2026,arXiv:broad,Transformer-family; GNN,Math/MW,
S137,P02_0740,VLA^2: Empowering Vision-Language-Action Models with an Agentic Framework for Unseen Concept Manipulation,2025,arXiv:broad,Transformer-family; RL-agent,none-detected,
S138,P02_0741,Navigating High Dimensional Concept Space with Metalearning,2025,arXiv:broad,RNN-family; MLP,SCAN; PCFG,5
S139,P02_0753,Evaluating Reward Model Generalization via Pairwise Maximum Discrepancy Competitions,2026,arXiv:broad,Transformer-family; RL-agent,SCAN; Math/MW; OOD-CV,10
S140,P02_0757,FedSoup: Improving Generalization and Personalization in Federated Learning via Selective Model Interpolation,2023,arXiv:broad,RNN-family; CNN,none-detected,
S141,P02_0768,Neural Language of Thought Models,2024,arXiv:broad,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent; VAE/AE,SCAN; Vision,
S142,P02_0769,GA-Field: Geometry-Aware Vehicle Aerodynamic Field Prediction,2026,arXiv:broad,Transformer-family; CNN; MLP; GNN; VAE/AE; Diffusion,Math/MW,
S143,P02_0773,Robust OOD Graph Learning via Mean Constraints and Noise Reduction,2025,arXiv:broad,CNN; MLP; GNN,none-detected,
S144,P02_0783,Improving Latent Generalization Using Test-time Compute,2026,arXiv:broad,Transformer-family; RL-agent,SCAN; CLOSURE; Math/MW,
S145,P02_0789,Frequency Bias and OOD Generalization in Neural Operators under a Variable-Coefficient Wave Equation,2026,arXiv:broad,Transformer-family; RNN-family; CNN; GNN,Math/MW,
S146,P02_0791,SynthDocBench: Controlled Benchmark for Long-Context Visual Document Understanding,2026,arXiv:broad,Transformer-family; RNN-family; GNN,SCAN; Math/MW; Vision,
S147,P02_0795,TerraIncognita: A Dynamic Benchmark for Species Discovery Using Frontier Models,2025,arXiv:broad,Transformer-family; GNN,Math/MW; Vision,
S148,P02_0797,Predictable GRPO: A Closed-Form Model of Training Dynamics,2026,arXiv:broad,Transformer-family; MLP; GNN; RL-agent; Diffusion,CLOSURE; Math/MW; Tabular,
S149,P02_0798,Can Large Reasoning Models do Analogical Reasoning under Perceptual Uncertainty?,2025,arXiv:broad,Transformer-family; RL-agent; VAE/AE,Math/MW; NLP-OOD,
S150,P02_0810,Compositional Generalization via Semantic Tagging,2020,arXiv:primary,Transformer-family; RNN-family; RL-agent,SCAN; Vision,5
